Pokemon,Battle Rating,Energy Remaining,HP Remaining
Abomasnow Lf+IW/EB,439,8,0
Abomasnow (Shadow) Lf+IW/EB,763,0,69
Accelgor WSh+BBu/SiB,801,0,79
Accelgor (Shadow) WSh+BBu/SiB,763,0,69
Aerodactyl DB+RS/EP,328,15,0
Aerodactyl (Shadow) DB+RS/EP,159,26,0
Alakazam PC+FiP/SB,222,10,0
Alakazam (Shadow) PC+FiP/SB,239,2,0
Alomomola W+P/Bl,599,4,26
Altaria DB+SA/DgP,189,20,0
Altaria (Shadow) DB+SA/DgP,234,20,0
Ambipom A+AA/Re,193,26,0
Ambipom (Shadow) A+AA/HB,193,10,0
Amoonguss A+FoP/GK,174,20,0
Amoonguss (Shadow) A+FoP/GK,167,11,0
Ampharos VS+BrS/TBl,213,42,0
Ampharos (Shadow) VS+BrS/TBl,254,42,0
Annihilape LK+RF/CC,121,42,0
Annihilape (Shadow) LK+RF/CC,160,42,0
Appletun A+SeB/O,270,42,0
Araquanid BBi+WP/BBu,324,15,0
Arbok Ac+DP/SW,271,7,0
Arbok (Shadow) Ac+DP/SW,176,26,0
Arboliva ML+EP/TBl,748,0,65
Arcanine Sn+Cr/Ft,358,23,0
Arcanine (Hisuian) Sn+RS/Cr,365,15,0
Arcanine (Shadow) Sn+WC/PsF,263,42,0
Archeops WA+AP/Cr,135,37,0
Archeops (Shadow) WA+AP/Cr,131,21,0
Arctibax DB+Av/DC,352,15,0
Armaldo FC+RB/Li,128,26,0
Armaldo (Shadow) FC+RB/Li,141,10,0
Armarouge I+Psh/HW,102,13,0
Articuno PS+IW/Hu,125,38,0
Articuno (Galarian) PC+Fl/BrB,315,26,0
Articuno (Shadow) PS+IW/Hu,134,37,0
Audino ZH+BS/DV,363,24,0
Aurorus PS+WBI/MeB,81,18,0
Aurorus (Shadow) PS+WBI/MeB,86,37,0
Avalugg IF+IW/Cr,106,37,0
Avalugg (Hisuian) PS+RS/IW,79,2,0
Azelf Cf+Sw/FS,154,21,0
Banette SC+SB/DG,168,26,0
Banette (Shadow) SC+SB/DG,160,2,0
Barbaracle FC+SE/CrC,147,42,0
Basculin WG+AT/AJ,660,7,42
Baxcalibur DB+Av/DC,225,26,0
Beartic PS+IP/Li,163,37,0
Beedrill PSt+XS/DR,194,42,0
Beedrill (Shadow) PSt+XS/DR,194,42,0
Beheeyem Cf+RS/DP,119,21,0
Bellossom Ac+LB/DG,306,42,0
Bellossom (Shadow) Ac+LB/DG,349,42,0
Bewear SC+SP/Pbk,442,39,0
Bibarel RO+S/HF,717,7,57
Bibarel (Shadow) RO+S/HF,683,7,48
Blacephalon I+MdB/SB,96,5,0
Blastoise RO+HC/SkB,385,15,0
Blastoise (Shadow) RO+HC/SkB,469,15,0
Blaziken E+AuS/BB,240,26,0
Blaziken (Shadow) E+AuS/BB,211,2,0
Blissey ZH+WC/DG,309,39,0
Boldore MSl+RS/SE,140,42,0
Boldore (Shadow) MSl+RS/SE,159,26,0
Boltund Sp+Cr/T,706,0,54
Bouffalant MS+St/Mh,344,7,0
Braviary AS+Fl/CC,160,2,0
Braviary (Hisuian) AS+BrB/Fl,243,2,0
Breloom FPm+DyP/GK,473,50,0
Brionne WG+AJ/DV,660,7,42
Bruxish Cf+AT/PsF,134,29,0
