Pokemon,Battle Rating,Energy Remaining,HP Remaining
Abomasnow Lf+IW/EB,295,19,0
Abomasnow (Shadow) Lf+IW/EB,355,19,0
Accelgor WSh+BBu/SiB,754,1,57
Accelgor (Shadow) WSh+BBu/SiB,700,1,45
Aerodactyl DB+RS/EP,584,4,19
Aerodactyl (Shadow) DB+RS/EP,423,10,0
Alakazam PC+FiP/SB,158,41,0
Alakazam (Shadow) PC+FiP/SB,196,41,0
Alomomola W+P/Bl,400,13,0
Altaria DB+SA/DgP,265,28,0
Altaria (Shadow) DB+SA/DgP,307,10,0
Ambipom A+AA/Re,334,1,0
Ambipom (Shadow) A+AA/HB,128,32,0
Amoonguss A+FoP/GK,337,28,0
Amoonguss (Shadow) A+FoP/GK,368,1,0
Ampharos VS+BrS/TBl,207,1,0
Ampharos (Shadow) VS+BrS/TBl,230,1,0
Annihilape LK+RF/CC,102,41,0
Annihilape (Shadow) LK+RF/CC,127,41,0
Appletun A+SeB/O,312,10,0
Araquanid BBi+WP/BBu,660,13,36
Arbok Ac+DP/SW,387,19,0
Arbok (Shadow) Ac+DP/SW,450,10,0
Arboliva ML+EP/TBl,456,37,0
Arcanine Sn+Cr/Ft,325,1,0
Arcanine (Hisuian) Sn+RS/Cr,260,10,0
Arcanine (Shadow) Sn+WC/PsF,141,41,0
Archeops WA+AP/Cr,700,4,45
Archeops (Shadow) WA+AP/Cr,674,1,39
Arctibax DB+Av/DC,287,10,0
Armaldo FC+RB/Li,354,10,0
Armaldo (Shadow) FC+RB/Li,432,10,0
Armarouge I+Psh/HW,122,41,0
Articuno PS+IW/Hu,134,41,0
Articuno (Galarian) PC+Fl/BrB,402,1,0
Articuno (Shadow) PS+IW/Hu,131,23,0
Audino ZH+BS/DV,620,18,27
Aurorus PS+WBI/MeB,86,41,0
Aurorus (Shadow) PS+WBI/MeB,72,14,0
Avalugg IF+IW/Cr,57,14,0
Avalugg (Hisuian) PS+RS/IW,79,32,0
Azelf Cf+Sw/FS,129,23,0
Banette SC+SB/DG,415,1,0
Banette (Shadow) SC+SB/DG,167,32,0
Barbaracle FC+SE/CrC,687,4,42
Basculin WG+AT/AJ,464,10,0
Baxcalibur DB+Av/DC,320,10,0
Beartic PS+IP/Li,92,14,0
Beedrill PSt+XS/DR,154,41,0
Beedrill (Shadow) PSt+XS/DR,184,41,0
Beheeyem Cf+RS/DP,122,41,0
Bellossom Ac+LB/DG,58,41,0
Bellossom (Shadow) Ac+LB/DG,85,41,0
Bewear SC+SP/Pbk,477,28,0
Bibarel RO+S/HF,476,10,0
Bibarel (Shadow) RO+S/HF,566,1,15
Blacephalon I+MdB/SB,119,5,0
Blastoise RO+HC/SkB,304,10,0
Blastoise (Shadow) RO+HC/SkB,364,10,0
Blaziken E+AuS/BB,149,41,0
Blaziken (Shadow) E+AuS/BB,178,41,0
Blissey ZH+WC/DG,428,38,0
Boldore MSl+RS/SE,436,13,0
Boldore (Shadow) MSl+RS/SE,683,4,41
Boltund Sp+Cr/T,261,19,0
Bouffalant MS+St/Mh,288,10,0
Braviary AS+Fl/CC,714,4,48
