Pokemon,Battle Rating,Energy Remaining,HP Remaining
Aegislash (Shield) PC+SB/FC,359,36,0
Aggron DT+RT/T,416,32,0
Aggron (Shadow) DT+RT/T,208,62,0
Altaria DB+SA/Ft,720,0,60
Altaria (Shadow) DB+SA/Ft,628,0,35
Appletun A+EB/O,702,0,55
Arctibax DB+Av/DC,454,46,0
Aromatisse FW+Psh/M,128,50,0
Azumarill B+IB/PR,606,2,29
Bastiodon SD+SE/Ft,757,2,70
Bastiodon (Shadow) SD+SE/Ft,731,33,63
Baxcalibur DB+GlR/Av,672,96,47
Bisharp Sn+DP/IH,283,50,0
Bronzong Cf+WBW/Pbk,194,66,0
Carbink RTh+RS/M,805,0,83
Celesteela AS+BS/Bd,569,1,19
Clefable FW+MM/M,133,50,0
Cobalion DK+SSw/IH,120,26,0
Comfey VW+GK/DK,900,0,109
Corviknight SdA+AC/Pbk,132,50,0
Corviknight (Shadow) SdA+AC/Pbk,196,50,0
Dachsbun Ch+BS/PsF,643,0,39
Dedenne TS+D/PbC,467,32,0
Dialga DB+IH/DM,628,0,35
Dialga (Origin) DB+ROT/IH,628,0,35
Dialga (Shadow) DB+IH/DM,500,0,0
Diancie RTh+RS/M,709,0,57
Dipplin DT+SeB/O,650,0,41
Doublade SC+SSw/GB,142,26,0
Dragalge Ac+AT/O,428,50,0
Dragapult DT+SB/O,731,84,63
Dragonite DB+TP/SP,455,88,0
Dragonite (Shadow) DB+TP/SP,632,84,36
Drampa DB+Sw/DgP,507,100,2
Druddigon DT+NS/RT,467,31,0
Duraludon DT+DC/FC,672,0,47
Durant BBi+XS/SE,228,66,0
Empoleon MSo+HC/DrlP,591,1,25
Empoleon (Shadow) MSo+HC/DrlP,376,8,0
Enamorus (Incarnate) FW+Fl/DG,196,50,0
Enamorus (Therian) FW+MF/M,194,50,0
Escavalier BBi+RSh/DR,282,54,0
Escavalier (Shadow) BBi+DR/RSh,478,0,0
Eternatus DT+DyC/SlB,713,96,58
Excadrill MS+DR/RS,202,22,0
Excadrill (Shadow) MS+DR/RS,202,22,0
Exeggutor (Alolan) DT+SeB/DM,621,100,33
Exeggutor (Alolan) (Shadow) DT+SeB/DM,661,88,44
Ferrothorn BS+PW/FC,529,18,8
Ferrothorn (Shadow) BS+PW/FC,599,9,27
Flapple DB+Fl/SeB,702,88,55
Florges FW+CW/DV,511,0,3
Flygon MS+Tw/ST,354,26,0
Flygon (Shadow) MS+Tw/ST,432,80,0
Forretress VS+RT/ST,469,17,0
Forretress (Shadow) VS+RT/ST,401,8,0
Fraxure DT+AT/NS,536,88,10
Fraxure (Shadow) DT+AT/NS,738,68,65
Gabite MS+Tw/Dg,775,88,75
Gabite (Shadow) MS+Tw/Dg,790,72,79
Garchomp MS+ST/Tw,432,80,0
Garchomp (Shadow) MS+ST/Tw,493,80,0
Gardevoir Cf+TAx/SB,731,0,63
Gardevoir (Shadow) Cf+TAx/SB,665,0,45
Genesect FC+MgB/TBN,299,50,0
Genesect (Burn) FC+MgB/TBB,299,50,0
Genesect (Chill) FC+MgB/TBC,299,50,0
Genesect (Douse) FC+MgB/TBD,299,50,0
Genesect (Shock) FC+MgB/TBS,299,50,0
Gholdengo H+SB/PG,258,50,0
Giratina (Altered) SC+DC/SS,492,4,0
Giratina (Altered) (Shadow) SC+DC/SS,661,0,44
Giratina (Origin) SC+SB/DgP,661,0,44
Goodra DB+AT/PW,518,0,5
Granbull Ch+CC/Cr,584,0,23
Granbull (Shadow) Ch+CC/Cr,196,42,0
Grimmsnarl SkP+FoP/PR,146,50,0
Guzzlord DT+BrS/DC,365,50,0
Hatterene PC+Psh/PW,621,0,33
Haxorus DT+NS/DC,731,76,63
Haxorus (Shadow) DT+NS/DC,738,68,65
Heatran FS+MgS/EP,263,50,0
Heatran (Shadow) FS+MgS/EP,267,50,0
Hydrapple DT+SeB/O,617,0,32
Hydreigon DB+BrS/DgP,400,80,0
Hydreigon (Shadow) DB+BrS/Fl,665,76,45
Jirachi Cf+DD/AuS,228,50,0
Kartana FC+LB/SSw,284,26,0
Kingambit MSo+FoP/IH,529,1,8
Kingdra DB+S/Sw,379,42,0
Kingdra (Shadow) DB+S/Sw,431,88,0
Klang MSo+VG/Tb,716,1,59
Klefki A+FoP/PR,357,0,0
Klinklang MSo+MrS/FC,518,1,5
Kommo-o DT+ClS/UH,405,38,0
Kyurem DB+G/DC,392,34,0
Kyurem (Black) DT+FSh/FuB,687,88,51
Kyurem (White) DB+FuF/IBu,687,88,51
Lairon MSo+RT/RS,577,25,21
Lairon (Shadow) MSo+RT/RS,617,0,32
Latias DB+MsB/AuS,389,34,0
Latias (Shadow) DB+MsB/AuS,485,88,0
Latios DB+AuS/LrP,492,88,0
Latios (Shadow) DB+AuS/LrP,665,76,45
Lucario FPm+AuS/MM,168,14,0
Magneton VS+MgB/D,514,1,4
Magneton (Shadow) VS+MgB/D,308,50,0
Magnezone VS+WC/MrS,193,50,0
Magnezone (Shadow) VS+WC/MrS,242,34,0
Melmetal TS+DbI/DyP,155,26,0
Metagross SC+MM/Eq,190,50,0
Metagross (Shadow) SC+MM/Eq,283,50,0
Metang FC+Psh/GB,643,1,39
Metang (Shadow) FC+Psh/GB,617,16,32
Mimikyu SC+SS/PR,200,4,0
Mr. Mime Psy+SB/P,720,0,60
Naganadel PJ+DC/SlB,863,80,99
Necrozma (Dusk Mane) SC+DP/Stl,488,4,0
Ninetales (Alolan) PS+WBI/CW,148,42,0
Ninetales (Alolan) (Shadow) PS+WBI/CW,123,26,0
Noivern AS+HW/Hu,790,0,79
Noivern (Shadow) AS+HW/Hu,790,96,79
Orthworm MSl+RT/Eq,266,0,0
Palkia DB+AT/DM,547,88,13
Palkia (Origin) DB+AT/DM,558,84,16
Palkia (Shadow) DB+AT/DM,687,72,51
Perrserker SC+CC/FoP,227,42,0
Primarina W+DV/HC,458,8,0
Probopass Sp+RS/ZC,639,2,38
Probopass (Shadow) Sp+RS/ZC,643,13,39
Rapidash (Galarian) FW+BS/WC,654,0,42
Rayquaza DT+BkS/DrA,687,88,51
Regidrago DB+DrE/VG,373,42,0
Registeel LO+FC/FB,258,12,0
Registeel (Shadow) LO+FB/ZC,293,20,0
Reshiram FF+FuF/DM,595,92,26
Reshiram (Shadow) FF+FuF/DM,599,80,27
Revavroom MSo+GS/GB,577,1,21
Ribombee FW+DG/BBu,757,0,70
Salamence DT+Fl/BrS,687,23,51
Salamence (Shadow) DT+Fl/BrS,738,68,65
Sandslash (Alolan) SC+IP/DR,132,34,0
Sandslash (Alolan) (Shadow) SC+IP/DR,197,34,0
Scizor BP+NS/TBl,503,1,1
Scizor (Shadow) BP+NS/TBl,255,42,0
Shelgon DB+Tw/Ft,442,88,0
Shelgon (Shadow) DB+Tw/Ft,702,88,55
