Pokemon,Battle Rating,Energy Remaining,HP Remaining
Aegislash (Shield) PC+SB/FC,935,24,142
Aggron DT+RT/T,644,40,47
Aggron (Shadow) DT+RT/T,825,8,106
Altaria DB+SA/Ft,766,4,87
Altaria (Shadow) DB+SA/Ft,766,4,87
Appletun A+EB/O,490,40,0
Arctibax DB+Av/DC,659,4,52
Aromatisse FW+Psh/M,812,4,102
Azumarill B+IB/PR,825,8,106
Bastiodon SD+SE/Ft,736,0,77
Bastiodon (Shadow) SD+SE/Ft,739,8,78
Baxcalibur DB+GlR/Av,766,4,87
Bisharp Sn+DP/IH,825,8,106
Bronzong Cf+WBW/Pbk,656,24,51
Carbink RTh+RS/M,736,0,77
Celesteela AS+BS/Bd,723,8,73
Clefable FW+MM/M,788,4,94
Cobalion DK+SSw/IH,429,8,0
Comfey VW+GK/DK,883,4,125
Corviknight SdA+AC/Pbk,650,4,49
Corviknight (Shadow) SdA+AC/Pbk,677,8,58
Dachsbun Ch+BS/PsF,680,4,59
Dedenne TS+D/PbC,641,8,46
Dialga DB+IH/DM,791,8,95
Dialga (Origin) DB+ROT/IH,791,8,95
Dialga (Shadow) DB+IH/DM,690,8,62
Diancie RTh+RS/M,610,8,36
Dipplin DT+SeB/O,585,0,28
Doublade SC+SSw/GB,638,8,45
Dragalge Ac+AT/O,650,0,49
Dragapult DT+SB/O,769,4,88
Dragonite DB+TP/SP,766,4,87
Dragonite (Shadow) DB+TP/SP,396,32,0
Drampa DB+Sw/DgP,625,4,41
Druddigon DT+NS/RT,539,30,13
Duraludon DT+DC/FC,791,8,95
Durant BBi+XS/SE,690,8,62
Empoleon MSo+HC/DrlP,650,48,49
Empoleon (Shadow) MSo+HC/DrlP,822,32,105
Enamorus (Incarnate) FW+Fl/DG,901,56,131
Enamorus (Therian) FW+MF/M,431,32,0
Escavalier BBi+RSh/DR,690,8,62
Escavalier (Shadow) BBi+DR/RSh,674,8,57
Eternatus DT+DyC/SlB,791,8,95
Excadrill MS+DR/RS,422,24,0
Excadrill (Shadow) MS+DR/RS,564,8,21
Exeggutor (Alolan) DT+SeB/DM,650,18,49
Exeggutor (Alolan) (Shadow) DT+SeB/DM,702,4,66
Ferrothorn BS+PW/FC,730,48,75
Ferrothorn (Shadow) BS+PW/FC,812,0,102
Flapple DB+Fl/SeB,404,26,0
Florges FW+CW/DV,579,4,26
Flygon MS+Tw/ST,358,0,0
Flygon (Shadow) MS+Tw/ST,404,24,0
Forretress VS+RT/ST,478,12,0
Forretress (Shadow) VS+RT/ST,481,4,0
Fraxure DT+AT/NS,530,4,10
Fraxure (Shadow) DT+AT/NS,592,8,30
Gabite MS+Tw/Dg,292,40,0
Gabite (Shadow) MS+Tw/Dg,311,24,0
Garchomp MS+ST/Tw,358,24,0
Garchomp (Shadow) MS+ST/Tw,277,24,0
Gardevoir Cf+TAx/SB,717,8,71
Gardevoir (Shadow) Cf+TAx/SB,687,8,61
Genesect FC+MgB/TBN,791,8,95
Genesect (Burn) FC+MgB/TBB,791,8,95
Genesect (Chill) FC+MgB/TBC,791,8,95
Genesect (Douse) FC+MgB/TBD,791,8,95
Genesect (Shock) FC+MgB/TBS,791,8,95
Gholdengo H+SB/PG,757,8,84
Giratina (Altered) SC+DC/SS,446,8,0
Giratina (Altered) (Shadow) SC+DC/SS,311,24,0
Giratina (Origin) SC+SB/DgP,530,2,10
Goodra DB+AT/PW,533,8,11
Granbull Ch+CC/Cr,739,8,78
Granbull (Shadow) Ch+CC/Cr,665,8,54
Grimmsnarl SkP+FoP/PR,601,8,33
Guzzlord DT+BrS/DC,415,0,0
Hatterene PC+Psh/PW,726,8,74
Haxorus DT+NS/DC,659,4,52
Haxorus (Shadow) DT+NS/DC,604,8,34
Heatran FS+MgS/EP,156,24,0
Heatran (Shadow) FS+MgS/EP,186,24,0
Hydrapple DT+SeB/O,668,8,55
Hydreigon DB+BrS/DgP,647,4,48
Hydreigon (Shadow) DB+BrS/Fl,263,32,0
Jirachi Cf+DD/AuS,797,8,97
Kartana FC+LB/SSw,622,8,40
Kingambit MSo+FoP/IH,687,8,61
Kingdra DB+S/Sw,622,4,40
Kingdra (Shadow) DB+S/Sw,791,8,95
Klang MSo+VG/Tb,846,8,113
Klefki A+FoP/PR,723,8,73
Klinklang MSo+MrS/FC,837,8,110
Kommo-o DT+ClS/UH,364,40,0
Kyurem DB+G/DC,638,14,45
Kyurem (Black) DT+FSh/FuB,604,4,34
Kyurem (White) DB+FuF/IBu,269,38,0
Lairon MSo+RT/RS,846,8,113
Lairon (Shadow) MSo+RT/RS,846,8,113
Latias DB+MsB/AuS,393,40,0
Latias (Shadow) DB+MsB/AuS,607,4,35
Latios DB+AuS/LrP,622,4,40
Latios (Shadow) DB+AuS/LrP,293,32,0
Lucario FPm+AuS/MM,555,8,18
Magneton VS+MgB/D,300,48,0
Magneton (Shadow) VS+MgB/D,365,48,0
Magnezone VS+WC/MrS,261,48,0
Magnezone (Shadow) VS+WC/MrS,310,48,0
