Pokemon,Battle Rating,Energy Remaining,HP Remaining
Aegislash (Shield) PC+SB/FC,489,30,0
Aggron DT+RT/T,712,4,74
Aggron (Shadow) DT+RT/T,646,4,51
Altaria DB+SA/Ft,706,3,72
Altaria (Shadow) DB+SA/Ft,666,3,58
Appletun A+EB/O,646,3,51
Arctibax DB+Av/DC,620,3,42
Aromatisse FW+Psh/M,106,49,0
Azumarill B+IB/PR,531,5,11
Bastiodon SD+SE/Ft,640,18,49
Bastiodon (Shadow) SD+SE/Ft,580,4,28
Baxcalibur DB+GlR/Av,591,3,32
Bisharp Sn+DP/IH,560,10,21
Bronzong Cf+WBW/Pbk,795,16,103
Carbink RTh+RS/M,346,31,0
Celesteela AS+BS/Bd,632,4,46
Clefable FW+MM/M,180,2,0
Cobalion DK+SSw/IH,348,17,0
Comfey VW+GK/DK,449,31,0
Corviknight SdA+AC/Pbk,609,11,38
Corviknight (Shadow) SdA+AC/Pbk,574,4,26
Dachsbun Ch+BS/PsF,383,10,0
Dedenne TS+D/PbC,444,10,0
Dialga DB+IH/DM,511,3,4
Dialga (Origin) DB+ROT/IH,520,3,7
Dialga (Shadow) DB+IH/DM,925,2,148
Diancie RTh+RS/M,381,17,0
Dipplin DT+SeB/O,772,3,95
Doublade SC+SSw/GB,790,2,101
Dragalge Ac+AT/O,346,23,0
Dragapult DT+SB/O,942,2,154
Dragonite DB+TP/SP,890,3,136
Dragonite (Shadow) DB+TP/SP,637,9,48
Drampa DB+Sw/DgP,706,3,72
Druddigon DT+NS/RT,727,3,79
Duraludon DT+DC/FC,463,16,0
Durant BBi+XS/SE,461,23,0
Empoleon MSo+HC/DrlP,439,30,0
Empoleon (Shadow) MSo+HC/DrlP,424,9,0
Enamorus (Incarnate) FW+Fl/DG,315,2,0
Enamorus (Therian) FW+MF/M,259,2,0
Escavalier BBi+RSh/DR,500,37,0
Escavalier (Shadow) BBi+DR/RSh,500,16,0
Eternatus DT+DyC/SlB,409,9,0
Excadrill MS+DR/RS,646,23,51
Excadrill (Shadow) MS+DR/RS,629,2,45
Exeggutor (Alolan) DT+SeB/DM,729,3,80
Exeggutor (Alolan) (Shadow) DT+SeB/DM,706,16,72
Ferrothorn BS+PW/FC,275,9,0
Ferrothorn (Shadow) BS+PW/FC,325,9,0
Flapple DB+Fl/SeB,706,3,72
Florges FW+CW/DV,363,3,0
Flygon MS+Tw/ST,770,3,94
Flygon (Shadow) MS+Tw/ST,744,23,85
Forretress VS+RT/ST,490,11,0
Forretress (Shadow) VS+RT/ST,548,4,17
Fraxure DT+AT/NS,758,16,90
Fraxure (Shadow) DT+AT/NS,729,2,80
Gabite MS+Tw/Dg,695,16,68
Gabite (Shadow) MS+Tw/Dg,841,2,119
Garchomp MS+ST/Tw,767,3,93
Garchomp (Shadow) MS+ST/Tw,718,23,76
Gardevoir Cf+TAx/SB,729,3,80
Gardevoir (Shadow) Cf+TAx/SB,922,9,147
Genesect FC+MgB/TBN,188,42,0
Genesect (Burn) FC+MgB/TBB,188,42,0
Genesect (Chill) FC+MgB/TBC,188,42,0
Genesect (Douse) FC+MgB/TBD,188,42,0
