Pokemon,Battle Rating,Energy Remaining,HP Remaining
Aegislash (Shield) PC+SB/FC,517,0,5
Aggron DT+RT/T,589,10,26
Aggron (Shadow) DT+RT/T,958,0,134
Altaria DB+SA/Ft,554,5,16
Altaria (Shadow) DB+SA/Ft,445,35,0
Appletun A+EB/O,338,15,0
Arctibax DB+Av/DC,760,35,76
Aromatisse FW+Psh/M,534,0,10
Azumarill B+IB/PR,712,10,62
Bastiodon SD+SE/Ft,671,40,50
Bastiodon (Shadow) SD+SE/Ft,832,20,97
Baxcalibur DB+GlR/Av,698,15,58
Bisharp Sn+DP/IH,712,20,62
Bronzong Cf+WBW/Pbk,578,0,23
Carbink RTh+RS/M,876,20,110
Celesteela AS+BS/Bd,650,0,44
Clefable FW+MM/M,395,30,0
Cobalion DK+SSw/IH,705,0,60
Comfey VW+GK/DK,368,10,0
Corviknight SdA+AC/Pbk,609,0,32
Corviknight (Shadow) SdA+AC/Pbk,568,0,20
Dachsbun Ch+BS/PsF,602,0,30
Dedenne TS+D/PbC,575,20,22
Dialga DB+IH/DM,602,0,30
Dialga (Origin) DB+ROT/IH,609,0,32
Dialga (Shadow) DB+IH/DM,565,35,19
Diancie RTh+RS/M,856,0,104
Dipplin DT+SeB/O,342,25,0
Doublade SC+SSw/GB,419,30,0
Dragalge Ac+AT/O,306,35,0
Dragapult DT+SB/O,599,5,29
Dragonite DB+TP/SP,623,15,36
Dragonite (Shadow) DB+TP/SP,592,5,27
Drampa DB+Sw/DgP,702,15,59
Druddigon DT+NS/RT,461,45,0
Duraludon DT+DC/FC,537,0,11
Durant BBi+XS/SE,544,30,13
Empoleon MSo+HC/DrlP,294,30,0
Empoleon (Shadow) MSo+HC/DrlP,344,30,0
Enamorus (Incarnate) FW+Fl/DG,626,0,37
Enamorus (Therian) FW+MF/M,523,20,7
Escavalier BBi+RSh/DR,602,30,30
Escavalier (Shadow) BBi+DR/RSh,640,10,41
Eternatus DT+DyC/SlB,355,40,0
Excadrill MS+DR/RS,715,0,63
Excadrill (Shadow) MS+DR/RS,650,0,44
Exeggutor (Alolan) DT+SeB/DM,461,25,0
Exeggutor (Alolan) (Shadow) DT+SeB/DM,616,5,34
Ferrothorn BS+PW/FC,215,30,0
Ferrothorn (Shadow) BS+PW/FC,203,0,0
Flapple DB+Fl/SeB,493,25,0
Florges FW+CW/DV,398,30,0
Flygon MS+Tw/ST,780,15,82
Flygon (Shadow) MS+Tw/ST,773,5,80
Forretress VS+RT/ST,527,0,8
Forretress (Shadow) VS+RT/ST,429,30,0
Fraxure DT+AT/NS,845,5,101
Fraxure (Shadow) DT+AT/NS,811,5,91
Gabite MS+Tw/Dg,739,10,70
Gabite (Shadow) MS+Tw/Dg,856,0,104
Garchomp MS+ST/Tw,804,5,89
Garchomp (Shadow) MS+ST/Tw,756,10,75
Gardevoir Cf+TAx/SB,488,20,0
Gardevoir (Shadow) Cf+TAx/SB,753,10,74
Genesect FC+MgB/TBN,647,20,43
Genesect (Burn) FC+MgB/TBB,647,20,43
Genesect (Chill) FC+MgB/TBC,647,20,43
Genesect (Douse) FC+MgB/TBD,647,20,43
Genesect (Shock) FC+MgB/TBS,440,0,0
Gholdengo H+SB/PG,517,30,5
Giratina (Altered) SC+DC/SS,348,45,0
Giratina (Altered) (Shadow) SC+DC/SS,425,45,0
Giratina (Origin) SC+SB/DgP,425,35,0
Goodra DB+AT/PW,440,35,0
Granbull Ch+CC/Cr,571,30,21
Granbull (Shadow) Ch+CC/Cr,712,10,62
Grimmsnarl SkP+FoP/PR,750,5,73
Guzzlord DT+BrS/DC,753,25,74
Hatterene PC+Psh/PW,487,10,0
Haxorus DT+NS/DC,852,5,103
Haxorus (Shadow) DT+NS/DC,821,5,94
Heatran FS+MgS/EP,904,0,118
Heatran (Shadow) FS+MgS/EP,739,0,70
Hydrapple DT+SeB/O,393,25,0
Hydreigon DB+BrS/DgP,787,5,84
