Pokemon,Battle Rating,Energy Remaining,HP Remaining
Aegislash (Shield) PC+SB/FC,436,0,0
Aggron DT+RT/T,613,4,31
Aggron (Shadow) DT+RT/T,562,15,17
Altaria DB+SA/Ft,338,21,0
Altaria (Shadow) DB+SA/Ft,399,21,0
Appletun A+EB/O,540,7,11
Arctibax DB+Av/DC,828,7,90
Aromatisse FW+Psh/M,762,4,72
Azumarill B+IB/PR,832,1,91
Bastiodon SD+SE/Ft,733,1,64
Bastiodon (Shadow) SD+SE/Ft,689,4,52
Baxcalibur DB+GlR/Av,843,0,94
Bisharp Sn+DP/IH,510,4,3
Bronzong Cf+WBW/Pbk,525,0,7
Carbink RTh+RS/M,821,39,88
Celesteela AS+BS/Bd,437,21,0
Clefable FW+MM/M,660,1,44
Cobalion DK+SSw/IH,256,1,0
Comfey VW+GK/DK,908,4,112
Corviknight SdA+AC/Pbk,344,7,0
Corviknight (Shadow) SdA+AC/Pbk,277,21,0
Dachsbun Ch+BS/PsF,748,4,68
Dedenne TS+D/PbC,671,4,47
Dialga DB+IH/DM,408,28,0
Dialga (Origin) DB+ROT/IH,401,28,0
Dialga (Shadow) DB+IH/DM,496,28,0
Diancie RTh+RS/M,740,25,66
Dipplin DT+SeB/O,594,14,26
Doublade SC+SSw/GB,394,28,0
Dragalge Ac+AT/O,616,0,32
Dragapult DT+SB/O,843,0,94
Dragonite DB+TP/SP,529,35,8
Dragonite (Shadow) DB+TP/SP,486,0,0
Drampa DB+Sw/DgP,594,28,26
Druddigon DT+NS/RT,569,0,19
Duraludon DT+DC/FC,532,0,9
Durant BBi+XS/SE,514,0,4
Empoleon MSo+HC/DrlP,329,25,0
Empoleon (Shadow) MSo+HC/DrlP,357,11,0
Enamorus (Incarnate) FW+Fl/DG,886,25,106
Enamorus (Therian) FW+MF/M,385,35,0
Escavalier BBi+RSh/DR,339,28,0
Escavalier (Shadow) BBi+DR/RSh,382,14,0
Eternatus DT+DyC/SlB,602,35,28
Excadrill MS+DR/RS,609,1,30
Excadrill (Shadow) MS+DR/RS,529,4,8
Exeggutor (Alolan) DT+SeB/DM,449,21,0
Exeggutor (Alolan) (Shadow) DT+SeB/DM,791,14,80
Ferrothorn BS+PW/FC,700,0,55
Ferrothorn (Shadow) BS+PW/FC,551,0,14
Flapple DB+Fl/SeB,554,28,15
Florges FW+CW/DV,689,8,52
Flygon MS+Tw/ST,708,1,57
Flygon (Shadow) MS+Tw/ST,656,4,43
Forretress VS+RT/ST,383,0,0
Forretress (Shadow) VS+RT/ST,254,7,0
Fraxure DT+AT/NS,671,7,47
Fraxure (Shadow) DT+AT/NS,635,0,37
Gabite MS+Tw/Dg,656,4,43
Gabite (Shadow) MS+Tw/Dg,700,0,55
Garchomp MS+ST/Tw,704,1,56
Garchomp (Shadow) MS+ST/Tw,653,4,42
Gardevoir Cf+TAx/SB,806,0,84
Gardevoir (Shadow) Cf+TAx/SB,766,25,73
Genesect FC+MgB/TBN,613,0,31
Genesect (Burn) FC+MgB/TBB,397,14,0
Genesect (Chill) FC+MgB/TBC,613,0,31
Genesect (Douse) FC+MgB/TBD,397,14,0
Genesect (Shock) FC+MgB/TBS,397,14,0
Gholdengo H+SB/PG,435,14,0
Giratina (Altered) SC+DC/SS,500,7,0
Giratina (Altered) (Shadow) SC+DC/SS,408,14,0
Giratina (Origin) SC+SB/DgP,425,14,0
Goodra DB+AT/PW,410,35,0
Granbull Ch+CC/Cr,791,7,80
Granbull (Shadow) Ch+CC/Cr,766,0,73
Grimmsnarl SkP+FoP/PR,645,7,40
Guzzlord DT+BrS/DC,370,15,0
Hatterene PC+Psh/PW,737,0,65
Haxorus DT+NS/DC,682,7,50
Haxorus (Shadow) DT+NS/DC,627,0,35
Heatran FS+MgS/EP,86,21,0
Heatran (Shadow) FS+MgS/EP,88,7,0
Hydrapple DT+SeB/O,598,0,27
Hydreigon DB+BrS/DgP,616,1,32
Hydreigon (Shadow) DB+BrS/Fl,410,0,0
Jirachi Cf+DD/AuS,562,0,17
Kartana FC+LB/SSw,605,14,29
Kingambit MSo+FoP/IH,365,25,0
Kingdra DB+S/Sw,375,32,0
Kingdra (Shadow) DB+S/Sw,460,15,0
Klang MSo+VG/Tb,489,7,0
Klefki A+FoP/PR,576,15,21
Klinklang MSo+MrS/FC,580,14,22
Kommo-o DT+ClS/UH,459,15,0
Kyurem DB+G/DC,649,4,41
Kyurem (Black) DT+FSh/FuB,843,0,94
Kyurem (White) DB+FuF/IBu,843,0,94
Lairon MSo+RT/RS,605,22,29
Lairon (Shadow) MSo+RT/RS,864,4,100
Latias DB+MsB/AuS,580,28,22
Latias (Shadow) DB+MsB/AuS,850,0,96
Latios DB+AuS/LrP,613,0,31
Latios (Shadow) DB+AuS/LrP,347,35,0
Lucario FPm+AuS/MM,372,39,0
Magneton VS+MgB/D,296,7,0
Magneton (Shadow) VS+MgB/D,166,35,0
Magnezone VS+WC/MrS,257,0,0
Magnezone (Shadow) VS+WC/MrS,287,0,0
Melmetal TS+DbI/DyP,427,0,0
Metagross SC+MM/Eq,417,21,0
Metagross (Shadow) SC+MM/Eq,470,7,0
Metang FC+Psh/GB,642,0,39
Metang (Shadow) FC+Psh/GB,642,35,39
Mimikyu SC+SS/PR,422,14,0
Mr. Mime Psy+SB/P,843,0,94
Naganadel PJ+DC/SlB,854,14,97
Necrozma (Dusk Mane) SC+DP/Stl,503,28,1
Ninetales (Alolan) PS+WBI/CW,737,32,65
Ninetales (Alolan) (Shadow) PS+WBI/CW,864,18,100
Noivern AS+HW/Hu,445,35,0
Noivern (Shadow) AS+HW/Hu,631,35,36
Orthworm MSl+RT/Eq,321,0,0
Palkia DB+AT/DM,605,1,29
Palkia (Origin) DB+AT/DM,605,1,29
Palkia (Shadow) DB+AT/DM,286,39,0
Perrserker SC+CC/FoP,327,14,0
Primarina W+DV/HC,675,4,48
Probopass Sp+RS/ZC,387,39,0
Probopass (Shadow) Sp+RS/ZC,521,4,6
Rapidash (Galarian) FW+BS/WC,886,0,106
Rayquaza DT+BkS/DrA,482,14,0
Regidrago DB+DrE/VG,598,0,27
Registeel LO+FC/FB,376,32,0
Registeel (Shadow) LO+FB/ZC,278,39,0
Reshiram FF+FuF/DM,113,7,0
Reshiram (Shadow) FF+FuF/DM,113,0,0
Revavroom MSo+GS/GB,660,0,44
Ribombee FW+DG/BBu,886,0,106
Salamence DT+Fl/BrS,675,14,48
Salamence (Shadow) DT+Fl/BrS,638,0,38
Sandslash (Alolan) SC+IP/DR,490,0,0
Sandslash (Alolan) (Shadow) SC+IP/DR,514,0,4
Scizor BP+NS/TBl,500,0,0
Scizor (Shadow) BP+NS/TBl,500,35,0
Shelgon DB+Tw/Ft,422,14,0
Shelgon (Shadow) DB+Tw/Ft,678,7,49
Shiinotic A+M/SeB,791,7,80
Shiinotic (Shadow) A+M/SeB,740,0,66
Skarmory AS+BrB/SA,369,14,0
Skarmory (Shadow) AS+BrB/SA,466,14,0
Sliggoo DB+BS/DgP,605,0,29
Slurpuff FW+EB/Ft,795,4,81
Solgaleo FS+PsF/IH,148,35,0
Stakataka RTh+SE/Bd,587,15,24
Steelix TF+PsF/Eq,395,22,0
Steelix (Shadow) TF+PsF/Eq,315,32,0
Stunfisk (Galarian) MS+RS/Eq,278,15,0
Sylveon FW+M/SB,613,1,31
Tapu Bulu BS+GK/NM,770,7,74
Tapu Fini WG+S/NM,700,1,55
Tapu Koko VS+Tb/NM,689,4,52
Tapu Lele A+NM/Psh,740,0,66
Tatsugiri (Curly) WG+S/O,496,15,0
Tatsugiri (Droopy) WG+S/O,496,15,0
Tatsugiri (Stretchy) WG+S/O,496,15,0
Tinkaton FW+GH/Bd,638,1,38
Togedemaru TS+FeS/WC,234,28,0
Togekiss Pk+Psh/AuS,543,4,12
Togetic FW+Psh/HW,507,4,2
Turtonator I+DC/Ov,130,28,0
Tyrantrum DT+RT/Cr,843,7,94
Tyrantrum (Shadow) DT+MeB/RT,813,0,86
Weezing (Galarian) FW+BrS/Ov,329,25,0
Weezing (Galarian) (Shadow) FW+BrS/Ov,462,0,0
Whimsicott FW+M/SeB,864,4,100
