Pokemon,Battle Rating,Energy Remaining,HP Remaining
Lapras Psy+SpA/IB,598,1,36
Corviknight SdA+AC/Pbk,409,39,0
Registeel LO+FC/ZC,358,2,0
Florges FW+CW/DV,486,30,0
Grumpig Psy+DyP/SB,213,51,0
Giratina (Altered) DB+DC/SS,576,7,28
Dusknoir A+DyP/ShP,205,51,0
Corviknight (Shadow) SdA+AC/Pbk,406,7,0
Regidrago DB+DrE/VG,606,22,39
Dusknoir (Shadow) A+DyP/ShP,256,51,0
Moltres (Galarian) SkP+Fl/BrB,332,59,0
Clefable FW+MM/M,416,14,0
Walrein PS+ISp/Eq,427,30,0
Cresselia PC+GK/M,595,2,35
Lapras (Shadow) Psy+SpA/IB,417,30,0
Cradily Ac+RT/GK,272,59,0
Dondozo W+S/O,598,1,36
Kingdra DB+S/Sw,573,22,27
Walrein (Shadow) PS+ISp/Eq,487,30,0
Annihilape (Shadow) LK+RF/CC,223,35,0
Empoleon (Shadow) MSo+HC/DrlP,98,35,0
Malamar (Shadow) Psy+FoP/SP,197,35,0
Giratina (Altered) (Shadow) DB+DC/SS,460,6,0
Grumpig (Shadow) Psy+DyP/SB,248,51,0
Lickilicky RO+BS/SB,388,30,0
Annihilape LK+RF/CC,196,35,0
Forretress VS+RT/ST,260,40,0
Empoleon MSo+HC/DrlP,98,35,0
Blastoise RO+HC/SkB,424,14,0
Doublade SC+SSw/GB,124,43,0
Kingdra (Shadow) DB+S/Sw,581,6,30
Malamar Psy+FoP/SP,416,6,0
Togekiss Pk+Psh/AuS,305,35,0
Aromatisse FW+Psh/M,524,38,9
Oranguru Cf+BrS/TBl,453,38,0
Ninetales (Alolan) PS+WBI/CW,392,22,0
Feraligatr (Shadow) SC+HC/IB,513,6,5
Weezing (Galarian) (Shadow) FW+BrS/Sl,227,43,0
Weezing (Galarian) FW+BrS/Sl,363,14,0
Milotic W+AT/Wr,655,38,57
Registeel (Shadow) LO+FC/ZC,227,14,0
Crustle FC+XS/RW,170,35,0
Guzzlord DT+BrS/DC,633,7,49
Turtonator I+BrS/DC,144,19,0
Drapion PSt+Cr/AT,473,7,0
Hydreigon (Shadow) DB+BrS/Fl,436,20,0
Sylveon FW+M/SB,598,38,36
Dragalge DT+AT/O,442,14,0
Tentacruel Ac+Sc/Pbk,301,14,0
Aurorus PS+WBI/MeB,429,6,0
Ninetales (Alolan) (Shadow) PS+WBI/CW,433,22,0
Cresselia (Shadow) PC+GK/M,573,1,27
Goodra DB+AT/PW,639,22,51
Malamar (Mega) Psy+FoP/SP,199,51,0
Seaking Pk+DR/IW,430,30,0
Cobalion DK+SSw/SE,104,43,0
Kommo-o DT+ClS/UH,324,43,0
Latias DB+MsB/AuS,297,35,0
Miltank RO+BS/IB,368,30,0
Golisopod FC+XS/AJ,145,35,0
Melmetal TS+DbI/DyP,270,6,0
Milotic (Shadow) W+AT/Wr,633,6,49
Ninetales E+WBF/EB,103,19,0
Samurott FC+HC/Mh,174,51,0
Toucannon (Shadow) Pk+BBl/DrlP,443,20,0
Articuno PS+IW/Hu,381,7,0
Feraligatr SC+HC/IB,674,6,64
Raikou TS+WC/AuS,587,6,32
Tentacruel (Shadow) Ac+Sc/Pbk,366,6,0
Toucannon Pk+BBl/DrlP,380,35,0
Aurorus (Shadow) PS+WBI/MeB,601,6,37
Cradily (Shadow) Ac+RT/GK,477,6,0
Kyurem DB+G/DC,241,51,0
Primarina W+DV/HC,672,6,63
Swampert MS+HC/Eq,797,6,109
Altaria (Mega) DB+SA/M,724,6,82
Gyarados DB+AT/Tw,625,6,46
Hippowdon SdA+WBR/EP,653,6,56
Raikou (Shadow) TS+WC/AuS,294,43,0
Steelix TF+PsF/Eq,691,1,70
Ninetales (Shadow) E+WBF/EB,103,19,0
Samurott (Shadow) FC+HC/Mh,145,35,0
Stunfisk TS+MB/D,825,6,119
Crustle (Shadow) FC+XS/RW,203,35,0
Poliwrath MS+IW/DyP,535,30,13
Abomasnow (Shadow) PS+WBI/EB,519,7,7
Hippowdon (Shadow) SdA+WBR/EP,612,6,41
Drapion (Shadow) PSt+AT/Cr,418,14,0
Orthworm MSl+RT/Eq,386,26,0
Runerigus SC+RT/SB,800,6,110
Seismitoad MS+EP/IW,800,6,110
Steelix (Shadow) TF+PsF/Cr,631,1,48
Blastoise (Shadow) RO+HC/IB,603,6,38
Dudunsparce RO+BS/DR,465,7,0
Jirachi Cf+DD/AuS,147,51,0
Primeape KC+RF/CC,217,27,0
Regirock LO+SE/FB,448,14,0
Forretress (Shadow) VS+RT/ST,242,6,0
Stunfisk (Galarian) MS+RS/Eq,385,30,0
Grimmsnarl SkP+FoP/PR,278,51,0
Latias (Shadow) DB+MsB/AuS,371,35,0
Lugia DT+A/Fl,508,15,3
Sandslash (Alolan) PS+IP/DR,225,30,0
Gyarados (Shadow) DB+AT/Tw,527,6,10
Mandibuzz Sn+FoP/SB,598,1,36
Tapu Fini WG+S/NM,565,46,24
Articuno (Shadow) PS+IW/Hu,465,7,0
Cofagrigus SC+SB/DP,500,15,0
Sandslash (Alolan) (Shadow) PS+IP/DR,320,15,0
Gastrodon MSl+BS/EP,721,6,81
Skeledirge I+TSo/SB,91,19,0
Mantine WA+Tw/WP,473,15,0
Nidoqueen MSl+PF/EP,644,6,53
Bronzong Cf+WBW/Pbk,286,7,0
Greedent MS+BS/TBl,642,1,52
Oinkologne (Female) MSl+BS/TBl,538,1,14
Abomasnow PS+WBI/EB,480,7,0
Primeape (Shadow) KC+RF/IP,248,19,0
Zapdos TS+DrlP/Tb,560,6,22
Coalossal FS+RS/FmC,113,51,0
Machamp (Shadow) KC+CrC/RS,226,19,0
Spiritomb SkP+SB/RT,484,7,0
Ampharos VS+BrS/TBl,726,6,83
Bombirdier SkP+Fl/RT,702,6,74
Ludicolo A+WBW/EB,650,7,55
Umbreon Sn+FoP/LR,603,1,38
Solrock Psy+WBF/RS,176,27,0
Swampert (Shadow) MS+HC/Eq,740,6,88
Trevenant (Shadow) SC+SB/SeB,467,51,0
Zapdos (Shadow) TS+DrlP/Tb,401,12,0
Latias (Mega) DB+AuS/MsB,346,35,0
Giratina (Origin) SC+SB/DgP,510,14,4
Gourgeist (Super) I+SB/SeB,270,20,0
Cetitan PS+ISp/SP,358,6,0
Blaziken (Shadow) E+AuS/BB,178,27,0
Gliscor WA+Acr/NS,647,6,54
Slurpuff FW+EB/Ft,209,51,0
Trevenant SC+SB/SeB,395,51,0
Hydreigon DB+BrS/DgP,443,51,0
Lunatone Psy+WBI/RS,196,35,0
Ampharos (Shadow) VS+BrS/TBl,674,6,64
Gallade (Shadow) PC+CC/LB,240,27,0
Politoed MS+WBW/Eq,713,46,78
Politoed (Shadow) MS+WBW/Eq,819,6,117
Poliwrath (Shadow) MS+IW/DyP,129,35,0
Zeraora VS+PF/WC,726,6,83
Rapidash (Shadow) I+WC/DR,106,3,0
Talonflame I+Fl/BrB,169,19,0
Gourgeist (Average) I+SB/SeB,275,20,0
Virizion DK+LB/SSw,274,43,0
Drifblim H+IW/SB,554,22,20
Gourgeist (Large) I+SB/SeB,256,20,0
Rapidash I+WC/DR,113,19,0
Dodrio Pk+DrlP/BrB,393,35,0
Uxie Cf+Sw/FS,353,30,0
Nidoqueen (Shadow) MSl+PF/EP,811,6,114
Regice LO+T/Bl,571,1,26
Magnezone VS+WC/MrS,390,22,0
Mawile (Mega) FW+VG/IH,321,22,0
Pelipper WA+WBW/Hu,257,51,0
Toxicroak (Shadow) PSt+DyP/SB,269,35,0
Xerneas Geo+CC/M,242,43,0
Flamigo WA+UH/BrB,380,35,0
Golurk (Shadow) A+ShP/DyP,433,43,0
Conkeldurr (Shadow) FPm+DyP/BrS,264,35,0
Drifblim (Shadow) H+SB/IW,354,51,0
Heracross FC+UH/RT,239,35,0
Latios (Shadow) DB+AuS/LrP,461,20,0
Pangoro KC+CC/NS,210,27,0
Dragonite (Shadow) DB+TP/SP,797,64,109
Skuntank (Shadow) PJ+Cr/TBl,267,51,0
Bellossom (Shadow) Ac+LB/DG,554,6,20
Lucario FPm+AuS/SB,193,43,0
Perrserker SC+CC/FoP,146,43,0
Throh LK+FB/BS,393,14,0
Yveltal SkP+DP/ObW,702,6,74
Garganacl MS+RB/RT,411,30,0
Regirock (Shadow) LO+SE/FB,193,43,0
Skuntank PJ+Cr/TBl,382,6,0
Palossand A+SB/ST,718,6,80
Genesect (Shock) FC+XS/TBS,161,35,0
Machamp KC+CrC/RS,198,27,0
Victini Cf+VC/Psh,286,51,0
Decidueye (Hisuian) PC+AuS/TBl,307,35,0
Electivire (Shadow) TS+WC/IP,680,6,66
Electrode (Hisuian) TS+WC/EB,898,6,146
Gallade PC+CC/LB,206,27,0
Genesect (Burn) FC+XS/TBB,161,35,0
Gourgeist (Small) I+SB/SeB,272,27,0
Greninja (Shadow) WSh+HC/NS,674,6,64
Toxicroak PSt+DyP/SB,239,35,0
Cofagrigus (Shadow) SC+SB/DP,237,59,0
Starmie (Shadow) Psy+AJ/PG,225,51,0
Latios DB+AuS/LrP,376,35,0
Slowbro Cf+DrP/IB,376,14,0
Victreebel (Shadow) Ac+LB/SlB,464,28,0
Amoonguss (Shadow) A+FoP/GK,530,7,11
