Pokemon,Battle Rating,Energy Remaining,HP Remaining
Lapras Psy+SpA/IB,318,1,0
Corviknight SdA+AC/Pbk,481,42,0
Registeel LO+FC/ZC,250,34,0
Florges FW+CW/DV,508,10,3
Grumpig Psy+DyP/SB,421,28,0
Giratina (Altered) DB+DC/SS,661,12,59
Dusknoir A+DyP/ShP,315,37,0
Corviknight (Shadow) SdA+AC/Pbk,479,2,0
Regidrago DB+DrE/VG,622,4,45
Dusknoir (Shadow) A+DyP/ShP,323,13,0
Moltres (Galarian) SkP+Fl/BrB,427,21,0
Clefable FW+MM/M,455,2,0
Walrein PS+ISp/Eq,297,20,0
Cresselia PC+GK/M,411,9,0
Lapras (Shadow) Psy+SpA/IB,365,1,0
Cradily Ac+RT/GK,505,2,2
Dondozo W+S/O,617,0,43
Kingdra DB+S/Sw,693,4,71
Walrein (Shadow) PS+ISp/Eq,342,20,0
Annihilape (Shadow) LK+RF/CC,320,5,0
Empoleon (Shadow) MSo+HC/DrlP,142,13,0
Malamar (Shadow) Psy+FoP/SP,308,13,0
Giratina (Altered) (Shadow) DB+DC/SS,592,4,34
Grumpig (Shadow) Psy+DyP/SB,304,13,0
Lickilicky RO+BS/SB,352,28,0
Annihilape LK+RF/CC,273,5,0
Forretress VS+RT/ST,285,34,0
Empoleon MSo+HC/DrlP,268,20,0
Blastoise RO+HC/SkB,418,17,0
Doublade SC+SSw/GB,197,29,0
Kingdra (Shadow) DB+S/Sw,672,4,63
Malamar Psy+FoP/SP,488,10,0
Togekiss Pk+Psh/AuS,505,21,2
Aromatisse FW+Psh/M,581,10,30
Oranguru Cf+BrS/TBl,647,1,54
Ninetales (Alolan) PS+WBI/CW,341,18,0
Feraligatr (Shadow) SC+HC/IB,477,20,0
Weezing (Galarian) (Shadow) FW+BrS/Sl,384,37,0
Weezing (Galarian) FW+BrS/Sl,319,37,0
Milotic W+AT/Wr,470,9,0
Registeel (Shadow) LO+FC/ZC,143,21,0
Crustle FC+XS/RW,266,13,0
Guzzlord DT+BrS/DC,672,4,63
Turtonator I+BrS/DC,281,21,0
Drapion PSt+Cr/AT,467,2,0
Hydreigon (Shadow) DB+BrS/Fl,849,5,128
Sylveon FW+M/SB,644,18,53
Dragalge DT+AT/O,581,4,30
Tentacruel Ac+Sc/Pbk,307,28,0
Aurorus PS+WBI/MeB,301,4,0
Ninetales (Alolan) (Shadow) PS+WBI/CW,354,2,0
Cresselia (Shadow) PC+GK/M,490,1,0
Goodra DB+AT/PW,740,4,88
Malamar (Mega) Psy+FoP/SP,490,10,0
Seaking Pk+DR/IW,366,36,0
Cobalion DK+SSw/SE,157,21,0
Kommo-o DT+ClS/UH,524,4,9
Latias DB+MsB/AuS,492,21,0
Miltank RO+BS/IB,399,18,0
Golisopod FC+XS/AJ,212,21,0
Melmetal TS+DbI/DyP,189,29,0
Milotic (Shadow) W+AT/Wr,628,1,47
Ninetales E+WBF/EB,50,32,0
Samurott FC+HC/Mh,220,21,0
Toucannon (Shadow) Pk+BBl/DrlP,220,40,0
Articuno PS+IW/Hu,346,4,0
Feraligatr SC+HC/IB,418,36,0
Raikou TS+WC/AuS,606,12,39
Tentacruel (Shadow) Ac+Sc/Pbk,349,4,0
Toucannon Pk+BBl/DrlP,188,40,0
Aurorus (Shadow) PS+WBI/MeB,364,4,0
Cradily (Shadow) Ac+RT/GK,427,13,0
Kyurem DB+G/DC,642,4,52
Primarina W+DV/HC,431,34,0
Swampert MS+HC/Eq,672,2,63
Altaria (Mega) DB+SA/M,568,21,25
Gyarados DB+AT/Tw,669,2,62
Hippowdon SdA+WBR/EP,688,2,69
Raikou (Shadow) TS+WC/AuS,535,4,13
Steelix TF+PsF/Eq,655,7,57
Ninetales (Shadow) E+WBF/EB,50,32,0
Samurott (Shadow) FC+HC/Mh,242,21,0
Stunfisk TS+MB/D,844,2,126
Crustle (Shadow) FC+XS/RW,100,40,0
Poliwrath MS+IW/DyP,347,20,0
Abomasnow (Shadow) PS+WBI/EB,500,2,0
Hippowdon (Shadow) SdA+WBR/EP,669,21,62
Drapion (Shadow) PSt+AT/Cr,579,2,29
Orthworm MSl+RT/Eq,376,7,0
Runerigus SC+RT/SB,592,2,34
Seismitoad MS+EP/IW,650,1,55
Steelix (Shadow) TF+PsF/Cr,560,7,22
Blastoise (Shadow) RO+HC/IB,394,28,0
Dudunsparce RO+BS/DR,513,1,5
Jirachi Cf+DD/AuS,201,29,0
Primeape KC+RF/CC,119,40,0
Regirock LO+SE/FB,221,21,0
Forretress (Shadow) VS+RT/ST,322,18,0
Stunfisk (Galarian) MS+RS/Eq,383,2,0
Grimmsnarl SkP+FoP/PR,396,29,0
Latias (Shadow) DB+MsB/AuS,521,5,8
Lugia DT+A/Fl,587,2,32
Sandslash (Alolan) PS+IP/DR,283,1,0
Gyarados (Shadow) DB+AT/Tw,617,4,43
Mandibuzz Sn+FoP/SB,795,2,108
Tapu Fini WG+S/NM,457,23,0
Articuno (Shadow) PS+IW/Hu,312,21,0
Cofagrigus SC+SB/DP,543,18,16
Sandslash (Alolan) (Shadow) PS+IP/DR,271,20,0
Gastrodon MSl+BS/EP,601,1,37
Skeledirge I+TSo/SB,183,21,0
Mantine WA+Tw/WP,385,20,0
Nidoqueen MSl+PF/EP,713,37,78
Bronzong Cf+WBW/Pbk,289,10,0
Greedent MS+BS/TBl,532,9,12
Oinkologne (Female) MSl+BS/TBl,590,1,33
Abomasnow PS+WBI/EB,500,18,0
Primeape (Shadow) KC+RF/IP,584,4,31
Zapdos TS+DrlP/Tb,612,5,41
Coalossal FS+RS/FmC,137,21,0
Machamp (Shadow) KC+CrC/RS,139,40,0
Spiritomb SkP+SB/RT,530,2,11
Ampharos VS+BrS/TBl,756,2,94
Bombirdier SkP+Fl/RT,827,13,120
Ludicolo A+WBW/EB,672,10,63
Umbreon Sn+FoP/LR,497,7,0
Solrock Psy+WBF/RS,306,21,0
Swampert (Shadow) MS+HC/Eq,759,12,95
Trevenant (Shadow) SC+SB/SeB,890,5,143
Zapdos (Shadow) TS+DrlP/Tb,524,5,9
Latias (Mega) DB+AuS/MsB,879,5,139
Giratina (Origin) SC+SB/DgP,612,4,41
Gourgeist (Super) I+SB/SeB,428,21,0
Cetitan PS+ISp/SP,366,20,0
Blaziken (Shadow) E+AuS/BB,97,40,0
Gliscor WA+Acr/NS,890,5,143
Slurpuff FW+EB/Ft,270,13,0
Trevenant SC+SB/SeB,784,13,104
Hydreigon DB+BrS/DgP,721,5,81
Lunatone Psy+WBI/RS,325,29,0
Ampharos (Shadow) VS+BrS/TBl,743,4,89
Gallade (Shadow) PC+CC/LB,131,40,0
