Pokemon,Battle Rating,Energy Remaining,HP Remaining
Lapras Psy+SpA/IB,606,4,36
Corviknight SdA+AC/Pbk,409,33,0
Registeel LO+FC/ZC,707,7,70
Florges FW+CW/DV,461,25,0
Grumpig Psy+DyP/SB,347,49,0
Giratina (Altered) DB+DC/SS,159,44,0
Dusknoir A+DyP/ShP,336,33,0
Corviknight (Shadow) SdA+AC/Pbk,647,38,50
Regidrago DB+DrE/VG,184,28,0
Dusknoir (Shadow) A+DyP/ShP,382,33,0
Moltres (Galarian) SkP+Fl/BrB,683,38,62
Clefable FW+MM/M,514,4,5
Walrein PS+ISp/Eq,571,54,24
Cresselia PC+GK/M,387,36,0
Lapras (Shadow) Psy+SpA/IB,493,38,0
Cradily Ac+RT/GK,358,57,0
Dondozo W+S/O,647,9,50
Kingdra DB+S/Sw,343,33,0
Walrein (Shadow) PS+ISp/Eq,520,38,7
Annihilape (Shadow) LK+RF/CC,370,22,0
Empoleon (Shadow) MSo+HC/DrlP,863,6,123
Malamar (Shadow) Psy+FoP/SP,380,33,0
Giratina (Altered) (Shadow) DB+DC/SS,205,44,0
Grumpig (Shadow) Psy+DyP/SB,353,33,0
Lickilicky RO+BS/SB,295,54,0
Annihilape LK+RF/CC,317,22,0
Forretress VS+RT/ST,683,4,62
Empoleon MSo+HC/DrlP,869,22,125
Blastoise RO+HC/SkB,621,54,41
Doublade SC+SSw/GB,559,4,20
Kingdra (Shadow) DB+S/Sw,356,17,0
Malamar Psy+FoP/SP,355,49,0
Togekiss Pk+Psh/AuS,636,38,46
Aromatisse FW+Psh/M,508,4,3
Oranguru Cf+BrS/TBl,588,4,30
Ninetales (Alolan) PS+WBI/CW,538,4,13
Feraligatr (Shadow) SC+HC/IB,745,22,83
Weezing (Galarian) (Shadow) FW+BrS/Sl,401,33,0
Weezing (Galarian) FW+BrS/Sl,609,4,37
Milotic W+AT/Wr,450,38,0
Registeel (Shadow) LO+FC/ZC,677,57,60
Crustle FC+XS/RW,326,33,0
Guzzlord DT+BrS/DC,173,44,0
Turtonator I+BrS/DC,204,38,0
Drapion PSt+Cr/AT,615,4,39
Hydreigon (Shadow) DB+BrS/Fl,270,17,0
Sylveon FW+M/SB,579,4,27
Dragalge DT+AT/O,197,28,0
Tentacruel Ac+Sc/Pbk,727,54,77
Aurorus PS+WBI/MeB,301,33,0
Ninetales (Alolan) (Shadow) PS+WBI/CW,322,17,0
Cresselia (Shadow) PC+GK/M,495,41,0
Goodra DB+AT/PW,192,28,0
Malamar (Mega) Psy+FoP/SP,369,49,0
Seaking Pk+DR/IW,869,22,125
Cobalion DK+SSw/SE,317,54,0
Kommo-o DT+ClS/UH,310,33,0
Latias DB+MsB/AuS,279,54,0
Miltank RO+BS/IB,502,20,1
Golisopod FC+XS/AJ,538,38,13
Melmetal TS+DbI/DyP,698,9,67
Milotic (Shadow) W+AT/Wr,636,38,46
Ninetales E+WBF/EB,333,38,0
Samurott FC+HC/Mh,745,22,83
Toucannon (Shadow) Pk+BBl/DrlP,831,51,112
Articuno PS+IW/Hu,565,15,22
Feraligatr SC+HC/IB,786,22,97
Raikou TS+WC/AuS,653,4,52
Tentacruel (Shadow) Ac+Sc/Pbk,710,38,71
Toucannon Pk+BBl/DrlP,828,22,111
Aurorus (Shadow) PS+WBI/MeB,350,33,0
Cradily (Shadow) Ac+RT/GK,330,4,0
Kyurem DB+G/DC,227,38,0
Primarina W+DV/HC,701,67,68
Swampert MS+HC/Eq,225,38,0
Altaria (Mega) DB+SA/M,665,4,56
Gyarados DB+AT/Tw,834,35,113
Hippowdon SdA+WBR/EP,312,22,0
Raikou (Shadow) TS+WC/AuS,612,4,38
Steelix TF+PsF/Eq,355,41,0
Ninetales (Shadow) E+WBF/EB,371,33,0
Samurott (Shadow) FC+HC/Mh,816,51,107
Stunfisk TS+MB/D,266,25,0
Crustle (Shadow) FC+XS/RW,340,17,0
Poliwrath MS+IW/DyP,591,38,31
Abomasnow (Shadow) PS+WBI/EB,218,22,0
Hippowdon (Shadow) SdA+WBR/EP,375,22,0
Drapion (Shadow) PSt+AT/Cr,385,33,0
Orthworm MSl+RT/Eq,399,4,0
Runerigus SC+RT/SB,330,9,0
Seismitoad MS+EP/IW,181,38,0
Steelix (Shadow) TF+PsF/Cr,450,12,0
Blastoise (Shadow) RO+HC/IB,582,38,28
Dudunsparce RO+BS/DR,329,54,0
Jirachi Cf+DD/AuS,594,4,32
Primeape KC+RF/CC,343,6,0
Regirock LO+SE/FB,665,9,56
Forretress (Shadow) VS+RT/ST,615,4,39
Stunfisk (Galarian) MS+RS/Eq,364,9,0
Grimmsnarl SkP+FoP/PR,568,54,23
Latias (Shadow) DB+MsB/AuS,242,22,0
Lugia DT+A/Fl,668,4,57
Sandslash (Alolan) PS+IP/DR,277,22,0
