Pokemon,Battle Rating,Energy Remaining,HP Remaining
Lapras Psy+SpA/IB,597,0,33
Corviknight SdA+AC/Pbk,559,0,20
Registeel LO+FC/ZC,559,3,20
Florges FW+CW/DV,633,0,45
Grumpig Psy+DyP/SB,591,0,31
Giratina (Altered) DB+DC/SS,313,11,0
Dusknoir A+DyP/ShP,386,40,0
Corviknight (Shadow) SdA+AC/Pbk,562,24,21
Regidrago DB+DrE/VG,215,24,0
Dusknoir (Shadow) A+DyP/ShP,361,8,0
Moltres (Galarian) SkP+Fl/BrB,541,24,14
Clefable FW+MM/M,517,0,6
Walrein PS+ISp/Eq,480,19,0
Cresselia PC+GK/M,406,11,0
Lapras (Shadow) Psy+SpA/IB,562,35,21
Cradily Ac+RT/GK,450,6,0
Dondozo W+S/O,556,0,19
Kingdra DB+S/Sw,352,24,0
Walrein (Shadow) PS+ISp/Eq,636,8,46
Annihilape (Shadow) LK+RF/CC,383,8,0
Empoleon (Shadow) MSo+HC/DrlP,612,8,38
Malamar (Shadow) Psy+FoP/SP,502,0,1
Giratina (Altered) (Shadow) DB+DC/SS,235,35,0
Grumpig (Shadow) Psy+DyP/SB,380,24,0
Lickilicky RO+BS/SB,442,0,0
Annihilape LK+RF/CC,364,24,0
Forretress VS+RT/ST,500,16,0
Empoleon MSo+HC/DrlP,680,8,61
Blastoise RO+HC/SkB,659,40,54
Doublade SC+SSw/GB,361,24,0
Kingdra (Shadow) DB+S/Sw,428,24,0
Malamar Psy+FoP/SP,544,0,15
Togekiss Pk+Psh/AuS,710,8,71
Aromatisse FW+Psh/M,505,0,2
Oranguru Cf+BrS/TBl,480,0,0
Ninetales (Alolan) PS+WBI/CW,335,24,0
Feraligatr (Shadow) SC+HC/IB,588,3,30
Weezing (Galarian) (Shadow) FW+BrS/Sl,418,24,0
Weezing (Galarian) FW+BrS/Sl,357,24,0
Milotic W+AT/Wr,642,40,48
Registeel (Shadow) LO+FC/ZC,677,32,60
Crustle FC+XS/RW,310,8,0
Guzzlord DT+BrS/DC,214,40,0
Turtonator I+BrS/DC,334,0,0
Drapion PSt+Cr/AT,514,0,5
Hydreigon (Shadow) DB+BrS/Fl,330,24,0
Sylveon FW+M/SB,514,0,5
Dragalge DT+AT/O,214,24,0
Tentacruel Ac+Sc/Pbk,579,40,27
Aurorus PS+WBI/MeB,387,19,0
Ninetales (Alolan) (Shadow) PS+WBI/CW,395,24,0
Cresselia (Shadow) PC+GK/M,422,0,0
Goodra DB+AT/PW,245,35,0
Malamar (Mega) Psy+FoP/SP,544,0,15
Seaking Pk+DR/IW,639,3,47
Cobalion DK+SSw/SE,345,40,0
Kommo-o DT+ClS/UH,208,8,0
Latias DB+MsB/AuS,209,8,0
Miltank RO+BS/IB,445,0,0
Golisopod FC+XS/AJ,642,8,48
Melmetal TS+DbI/DyP,573,0,25
Milotic (Shadow) W+AT/Wr,834,8,113
Ninetales E+WBF/EB,333,24,0
Samurott FC+HC/Mh,627,3,43
Toucannon (Shadow) Pk+BBl/DrlP,721,8,75
Articuno PS+IW/Hu,647,40,50
Feraligatr SC+HC/IB,653,8,52
Raikou TS+WC/AuS,334,19,0
