Pokemon,Battle Rating,Energy Remaining,HP Remaining
Lapras Psy+SpA/IB,765,0,96
Corviknight SdA+AC/Pbk,331,42,0
Registeel LO+FC/ZC,939,0,159
Florges FW+CW/DV,241,2,0
Grumpig Psy+DyP/SB,345,26,0
Giratina (Altered) DB+DC/SS,468,26,0
Dusknoir A+DyP/ShP,315,10,0
Corviknight (Shadow) SdA+AC/Pbk,391,42,0
Regidrago DB+DrE/VG,338,18,0
Dusknoir (Shadow) A+DyP/ShP,361,10,0
Moltres (Galarian) SkP+Fl/BrB,303,26,0
Clefable FW+MM/M,269,18,0
Walrein PS+ISp/Eq,610,0,40
Cresselia PC+GK/M,406,26,0
Lapras (Shadow) Psy+SpA/IB,707,0,75
Cradily Ac+RT/GK,886,0,140
Dondozo W+S/O,469,7,0
Kingdra DB+S/Sw,776,0,100
Walrein (Shadow) PS+ISp/Eq,776,0,100
Annihilape (Shadow) LK+RF/CC,500,7,0
Empoleon (Shadow) MSo+HC/DrlP,823,2,117
Malamar (Shadow) Psy+FoP/SP,610,0,40
Giratina (Altered) (Shadow) DB+DC/SS,316,26,0
Grumpig (Shadow) Psy+DyP/SB,412,26,0
Lickilicky RO+BS/SB,919,0,152
Annihilape LK+RF/CC,500,7,0
Forretress VS+RT/ST,621,7,44
Empoleon MSo+HC/DrlP,544,0,16
Blastoise RO+HC/SkB,676,7,64
Doublade SC+SSw/GB,372,10,0
Kingdra (Shadow) DB+S/Sw,709,0,76
Malamar Psy+FoP/SP,308,0,0
Togekiss Pk+Psh/AuS,426,2,0
Aromatisse FW+Psh/M,272,18,0
Oranguru Cf+BrS/TBl,469,16,0
Ninetales (Alolan) PS+WBI/CW,552,7,19
Feraligatr (Shadow) SC+HC/IB,421,2,0
Weezing (Galarian) (Shadow) FW+BrS/Sl,282,26,0
Weezing (Galarian) FW+BrS/Sl,431,26,0
Milotic W+AT/Wr,544,7,16
Registeel (Shadow) LO+FC/ZC,939,0,159
Crustle FC+XS/RW,881,0,138
Guzzlord DT+BrS/DC,803,0,110
Turtonator I+BrS/DC,327,16,0
Drapion PSt+Cr/AT,616,15,42
Hydreigon (Shadow) DB+BrS/Fl,734,2,85
Sylveon FW+M/SB,263,18,0
Dragalge DT+AT/O,282,26,0
Tentacruel Ac+Sc/Pbk,558,4,21
Aurorus PS+WBI/MeB,654,10,56
Ninetales (Alolan) (Shadow) PS+WBI/CW,588,0,32
Cresselia (Shadow) PC+GK/M,285,26,0
Goodra DB+AT/PW,640,0,51
Malamar (Mega) Psy+FoP/SP/Psb+,665,0,60
Seaking Pk+DR/IW,571,0,26
Cobalion DK+SSw/SE,919,0,152
Kommo-o DT+ClS/UH,803,0,110
Latias DB+MsB/AuS,408,26,0
Miltank RO+BS/IB,919,0,152
Golisopod FC+XS/AJ,621,7,44
Melmetal TS+DbI/DyP,734,0,85
Milotic (Shadow) W+AT/Wr,726,0,82
Ninetales E+WBF/EB,358,26,0
Samurott FC+HC/Mh,632,0,48
Toucannon (Shadow) Pk+BBl/DrlP,349,2,0
Articuno PS+IW/Hu,350,34,0
Feraligatr SC+HC/IB,505,0,2
Raikou TS+WC/AuS,859,0,130
Tentacruel (Shadow) Ac+Sc/Pbk,505,7,2
Toucannon Pk+BBl/DrlP,286,2,0
Aurorus (Shadow) PS+WBI/MeB,599,2,36
Cradily (Shadow) Ac+RT/GK,886,0,140
Kyurem DB+G/DC,765,0,96
Primarina W+DV/HC,345,26,0
Swampert MS+HC/Eq,657,0,57
Altaria (Mega) DB+SA/M,326,26,0
Gyarados DB+AT/Tw,390,42,0
Hippowdon SdA+WBR/EP,388,42,0
Raikou (Shadow) TS+WC/AuS,848,2,126
Steelix TF+PsF/Eq,809,0,112
Ninetales (Shadow) E+WBF/EB,638,0,50
Samurott (Shadow) FC+HC/Mh,582,0,30
Stunfisk TS+MB/D,535,15,13
Crustle (Shadow) FC+XS/RW,881,0,138
Poliwrath MS+IW/DyP,588,5,32
Abomasnow (Shadow) PS+WBI/EB,588,10,32
