Pokemon,Battle Rating,Energy Remaining,HP Remaining
Lapras Psy+SpA/IB,283,4,0
Corviknight SdA+AC/Pbk,678,4,57
Registeel LO+FC/ZC,361,28,0
Florges FW+CW/DV,540,4,13
Grumpig Psy+DyP/SB,612,9,36
Giratina (Altered) DB+DC/SS,775,1,88
Dusknoir A+DyP/ShP,606,1,34
Corviknight (Shadow) SdA+AC/Pbk,562,41,20
Regidrago DB+DrE/VG,662,1,52
Dusknoir (Shadow) A+DyP/ShP,515,1,5
Moltres (Galarian) SkP+Fl/BrB,675,1,56
Clefable FW+MM/M,559,17,19
Walrein PS+ISp/Eq,110,48,0
Cresselia PC+GK/M,631,4,42
Lapras (Shadow) Psy+SpA/IB,370,4,0
Cradily Ac+RT/GK,834,1,107
Dondozo W+S/O,325,4,0
Kingdra DB+S/Sw,625,1,40
Walrein (Shadow) PS+ISp/Eq,162,48,0
Annihilape (Shadow) LK+RF/CC,295,30,0
Empoleon (Shadow) MSo+HC/DrlP,148,0,0
Malamar (Shadow) Psy+FoP/SP,518,1,6
Giratina (Altered) (Shadow) DB+DC/SS,665,1,53
Grumpig (Shadow) Psy+DyP/SB,333,46,0
Lickilicky RO+BS/SB,345,1,0
Annihilape LK+RF/CC,634,1,43
Forretress VS+RT/ST,153,24,0
Empoleon MSo+HC/DrlP,126,32,0
Blastoise RO+HC/SkB,159,16,0
Doublade SC+SSw/GB,317,9,0
Kingdra (Shadow) DB+S/Sw,372,46,0
Malamar Psy+FoP/SP,750,17,80
Togekiss Pk+Psh/AuS,600,46,32
Aromatisse FW+Psh/M,603,9,33
Oranguru Cf+BrS/TBl,434,41,0
Ninetales (Alolan) PS+WBI/CW,284,3,0
Feraligatr (Shadow) SC+HC/IB,509,2,3
Weezing (Galarian) (Shadow) FW+BrS/Sl,621,1,39
Weezing (Galarian) FW+BrS/Sl,681,9,58
Milotic W+AT/Wr,181,40,0
Registeel (Shadow) LO+FC/ZC,365,33,0
Crustle FC+XS/RW,286,46,0
Guzzlord DT+BrS/DC,634,1,43
Turtonator I+BrS/DC,257,30,0
Drapion PSt+Cr/AT,684,17,59
Hydreigon (Shadow) DB+BrS/Fl,740,22,77
Sylveon FW+M/SB,656,9,50
Dragalge DT+AT/O,565,1,21
Tentacruel Ac+Sc/Pbk,369,20,0
Aurorus PS+WBI/MeB,245,46,0
Ninetales (Alolan) (Shadow) PS+WBI/CW,363,9,0
Cresselia (Shadow) PC+GK/M,600,4,32
Goodra DB+AT/PW,687,1,60
Malamar (Mega) Psy+FoP/SP,768,9,86
Seaking Pk+DR/IW,360,4,0
Cobalion DK+SSw/SE,163,16,0
Kommo-o DT+ClS/UH,753,46,81
Latias DB+MsB/AuS,553,46,17
Miltank RO+BS/IB,324,1,0
Golisopod FC+XS/AJ,606,2,34
Melmetal TS+DbI/DyP,280,46,0
Milotic (Shadow) W+AT/Wr,163,24,0
Ninetales E+WBF/EB,166,16,0
Samurott FC+HC/Mh,581,2,26
Toucannon (Shadow) Pk+BBl/DrlP,750,14,80
Articuno PS+IW/Hu,406,49,0
Feraligatr SC+HC/IB,204,48,0
Raikou TS+WC/AuS,278,22,0
Tentacruel (Shadow) Ac+Sc/Pbk,183,40,0
Toucannon Pk+BBl/DrlP,759,30,83
Aurorus (Shadow) PS+WBI/MeB,287,46,0
Cradily (Shadow) Ac+RT/GK,781,1,90
