Pokemon,Battle Rating,Energy Remaining,HP Remaining
Lapras Psy+SpA/IB,376,5,0
Corviknight SdA+AC/Pbk,558,4,18
Registeel LO+FC/ZC,720,31,68
Florges FW+CW/DV,519,0,6
Grumpig Psy+DyP/SB,418,4,0
Giratina (Altered) DB+DC/SS,232,22,0
Dusknoir A+DyP/ShP,478,13,0
Corviknight (Shadow) SdA+AC/Pbk,357,5,0
Regidrago DB+DrE/VG,315,5,0
Dusknoir (Shadow) A+DyP/ShP,766,4,82
Moltres (Galarian) SkP+Fl/BrB,325,14,0
Clefable FW+MM/M,479,40,0
Walrein PS+ISp/Eq,477,32,0
Cresselia PC+GK/M,427,9,0
Lapras (Shadow) Psy+SpA/IB,450,5,0
Cradily Ac+RT/GK,551,1,16
Dondozo W+S/O,259,23,0
Kingdra DB+S/Sw,307,5,0
Walrein (Shadow) PS+ISp/Eq,902,5,124
Annihilape (Shadow) LK+RF/CC,564,4,20
Empoleon (Shadow) MSo+HC/DrlP,918,5,129
Malamar (Shadow) Psy+FoP/SP,394,5,0
Giratina (Altered) (Shadow) DB+DC/SS,277,4,0
Grumpig (Shadow) Psy+DyP/SB,485,4,0
Lickilicky RO+BS/SB,620,1,37
Annihilape LK+RF/CC,488,4,0
Forretress VS+RT/ST,863,4,112
Empoleon MSo+HC/DrlP,918,5,129
Blastoise RO+HC/SkB,277,5,0
Doublade SC+SSw/GB,665,4,51
Kingdra (Shadow) DB+S/Sw,362,5,0
Malamar Psy+FoP/SP,327,5,0
Togekiss Pk+Psh/AuS,83,45,0
Aromatisse FW+Psh/M,477,22,0
Oranguru Cf+BrS/TBl,321,23,0
Ninetales (Alolan) PS+WBI/CW,769,4,83
Feraligatr (Shadow) SC+HC/IB,402,5,0
Weezing (Galarian) (Shadow) FW+BrS/Sl,564,4,20
Weezing (Galarian) FW+BrS/Sl,493,31,0
Milotic W+AT/Wr,280,5,0
Registeel (Shadow) LO+FC/ZC,961,4,142
Crustle FC+XS/RW,470,4,0
Guzzlord DT+BrS/DC,519,1,6
Turtonator I+BrS/DC,542,1,13
Drapion PSt+Cr/AT,359,32,0
Hydreigon (Shadow) DB+BrS/Fl,636,5,42
Sylveon FW+M/SB,488,31,0
Dragalge DT+AT/O,292,13,0
Tentacruel Ac+Sc/Pbk,245,4,0
Aurorus PS+WBI/MeB,918,5,129
Ninetales (Alolan) (Shadow) PS+WBI/CW,724,4,69
Cresselia (Shadow) PC+GK/M,384,31,0
Goodra DB+AT/PW,344,32,0
Malamar (Mega) Psy+FoP/SP/Psb+,460,4,0
Seaking Pk+DR/IW,354,5,0
Cobalion DK+SSw/SE,675,14,54
Kommo-o DT+ClS/UH,339,5,0
Latias DB+MsB/AuS,323,13,0
Miltank RO+BS/IB,655,1,48
Golisopod FC+XS/AJ,269,5,0
Melmetal TS+DbI/DyP,759,5,80
Milotic (Shadow) W+AT/Wr,342,5,0
Ninetales E+WBF/EB,597,1,30
Samurott FC+HC/Mh,362,5,0
Toucannon (Shadow) Pk+BBl/DrlP,724,5,69
Articuno PS+IW/Hu,902,4,124
Feraligatr SC+HC/IB,330,5,0
Raikou TS+WC/AuS,82,45,0
Tentacruel (Shadow) Ac+Sc/Pbk,284,4,0
Toucannon Pk+BBl/DrlP,94,45,0
Aurorus (Shadow) PS+WBI/MeB,902,5,124
Cradily (Shadow) Ac+RT/GK,840,14,105
Kyurem DB+G/DC,837,5,104
Primarina W+DV/HC,335,4,0
Swampert MS+HC/Eq,336,5,0
Altaria (Mega) DB+SA/M,319,4,0
