Pokemon,Battle Rating,Energy Remaining,HP Remaining
Lapras Psy+SpA/IB,622,3,51
Corviknight SdA+AC/Pbk,300,21,0
Registeel LO+FC/ZC,291,7,0
Florges FW+CW/DV,533,7,14
Grumpig Psy+DyP/SB,473,12,0
Giratina (Altered) DB+DC/SS,543,3,18
Dusknoir A+DyP/ShP,378,17,0
Corviknight (Shadow) SdA+AC/Pbk,238,26,0
Regidrago DB+DrE/VG,634,8,56
Dusknoir (Shadow) A+DyP/ShP,285,40,0
Moltres (Galarian) SkP+Fl/BrB,455,26,0
Clefable FW+MM/M,528,3,12
Walrein PS+ISp/Eq,574,44,31
Cresselia PC+GK/M,500,2,0
Lapras (Shadow) Psy+SpA/IB,701,17,84
Cradily Ac+RT/GK,526,7,11
Dondozo W+S/O,637,3,57
Kingdra DB+S/Sw,673,8,72
Walrein (Shadow) PS+ISp/Eq,673,8,72
Annihilape (Shadow) LK+RF/CC,557,8,24
Empoleon (Shadow) MSo+HC/DrlP,449,35,0
Malamar (Shadow) Psy+FoP/SP,543,8,18
Giratina (Altered) (Shadow) DB+DC/SS,704,8,85
Grumpig (Shadow) Psy+DyP/SB,362,8,0
Lickilicky RO+BS/SB,435,3,0
Annihilape LK+RF/CC,632,8,55
Forretress VS+RT/ST,432,7,0
Empoleon MSo+HC/DrlP,405,53,0
Blastoise RO+HC/SkB,701,26,84
Doublade SC+SSw/GB,306,53,0
Kingdra (Shadow) DB+S/Sw,625,8,52
Malamar Psy+FoP/SP,463,35,0
Togekiss Pk+Psh/AuS,658,3,66
Aromatisse FW+Psh/M,502,3,1
Oranguru Cf+BrS/TBl,456,30,0
Ninetales (Alolan) PS+WBI/CW,593,3,39
Feraligatr (Shadow) SC+HC/IB,562,8,26
Weezing (Galarian) (Shadow) FW+BrS/Sl,493,53,0
Weezing (Galarian) FW+BrS/Sl,401,53,0
Milotic W+AT/Wr,692,17,80
Registeel (Shadow) LO+FC/ZC,311,21,0
Crustle FC+XS/RW,393,8,0
Guzzlord DT+BrS/DC,680,8,75
Turtonator I+BrS/DC,514,3,6
Drapion PSt+Cr/AT,359,35,0
Hydreigon (Shadow) DB+BrS/Fl,752,4,105
Sylveon FW+M/SB,417,53,0
Dragalge DT+AT/O,538,3,16
Tentacruel Ac+Sc/Pbk,390,26,0
Aurorus PS+WBI/MeB,485,26,0
Ninetales (Alolan) (Shadow) PS+WBI/CW,504,3,2
Cresselia (Shadow) PC+GK/M,415,57,0
Goodra DB+AT/PW,778,8,116
Malamar (Mega) Psy+FoP/SP/Psb+,480,35,0
Seaking Pk+DR/IW,600,3,42
Cobalion DK+SSw/SE,699,3,83
Kommo-o DT+ClS/UH,752,31,105
Latias DB+MsB/AuS,774,8,114
Miltank RO+BS/IB,564,7,27
Golisopod FC+XS/AJ,439,26,0
Melmetal TS+DbI/DyP,368,39,0
Milotic (Shadow) W+AT/Wr,632,8,55
Ninetales E+WBF/EB,443,39,0
Samurott FC+HC/Mh,351,58,0
Toucannon (Shadow) Pk+BBl/DrlP,504,8,2
Articuno PS+IW/Hu,409,39,0
Feraligatr SC+HC/IB,637,8,57
Raikou TS+WC/AuS,759,8,108
Tentacruel (Shadow) Ac+Sc/Pbk,437,26,0
Toucannon Pk+BBl/DrlP,465,17,0
Aurorus (Shadow) PS+WBI/MeB,682,8,76
Cradily (Shadow) Ac+RT/GK,562,12,26
Kyurem DB+G/DC,701,8,84
Primarina W+DV/HC,620,8,50
Swampert MS+HC/Eq,716,8,90
Altaria (Mega) DB+SA/M,750,8,104
Gyarados DB+AT/Tw,588,3,37
Hippowdon SdA+WBR/EP,762,8,109
Raikou (Shadow) TS+WC/AuS,697,8,82
Steelix TF+PsF/Eq,343,48,0
Ninetales (Shadow) E+WBF/EB,355,53,0
Samurott (Shadow) FC+HC/Mh,434,58,0
Stunfisk TS+MB/D,646,3,61
Crustle (Shadow) FC+XS/RW,263,40,0
Poliwrath MS+IW/DyP,713,3,89
Abomasnow (Shadow) PS+WBI/EB,486,35,0
Hippowdon (Shadow) SdA+WBR/EP,737,8,99
Drapion (Shadow) PSt+AT/Cr,405,26,0
Orthworm MSl+RT/Eq,344,16,0
Runerigus SC+RT/SB,474,8,0
Seismitoad MS+EP/IW,687,8,78
Steelix (Shadow) TF+PsF/Cr,466,48,0
Blastoise (Shadow) RO+HC/IB,677,8,74
Dudunsparce RO+BS/DR,627,12,53
Jirachi Cf+DD/AuS,418,7,0
Primeape KC+RF/CC,641,58,59
Regirock LO+SE/FB,552,3,22
Forretress (Shadow) VS+RT/ST,352,21,0
Stunfisk (Galarian) MS+RS/Eq,413,39,0
Grimmsnarl SkP+FoP/PR,347,58,0
Latias (Shadow) DB+MsB/AuS,692,8,80
Lugia DT+A/Fl,411,12,0
Sandslash (Alolan) PS+IP/DR,364,30,0
Gyarados (Shadow) DB+AT/Tw,687,8,78
Mandibuzz Sn+FoP/SB,469,21,0
Tapu Fini WG+S/NM,711,35,88
Articuno (Shadow) PS+IW/Hu,443,44,0
Cofagrigus SC+SB/DP,208,58,0
Sandslash (Alolan) (Shadow) PS+IP/DR,391,3,0
Gastrodon MSl+BS/EP,742,8,101
Skeledirge I+TSo/SB,272,8,0
Mantine WA+Tw/WP,564,48,27
Nidoqueen MSl+PF/EP,579,3,33
Bronzong Cf+WBW/Pbk,213,53,0
Greedent MS+BS/TBl,456,30,0
Oinkologne (Female) MSl+BS/TBl,495,48,0
Abomasnow PS+WBI/EB,407,53,0
Primeape (Shadow) KC+RF/IP,798,13,124
Zapdos TS+DrlP/Tb,560,35,25
Coalossal FS+RS/FmC,418,30,0
Machamp (Shadow) KC+CrC/RS,814,31,131
Spiritomb SkP+SB/RT,567,8,28
Ampharos VS+BrS/TBl,452,53,0
Bombirdier SkP+Fl/RT,649,8,62
Ludicolo A+WBW/EB,410,44,0
Umbreon Sn+FoP/LR,458,21,0
Solrock Psy+WBF/RS,673,8,72
Swampert (Shadow) MS+HC/Eq,826,4,136
Trevenant (Shadow) SC+SB/SeB,330,58,0
Zapdos (Shadow) TS+DrlP/Tb,620,8,50
Latias (Mega) DB+AuS/MsB,766,8,111
Giratina (Origin) SC+SB/DgP,625,8,52
Gourgeist (Super) I+SB/SeB,357,8,0
Cetitan PS+ISp/SP,550,3,21
Blaziken (Shadow) E+AuS/BB,572,58,30
Gliscor WA+Acr/NS,579,3,33
Slurpuff FW+EB/Ft,603,3,43
Trevenant SC+SB/SeB,416,8,0
Hydreigon DB+BrS/DgP,774,31,114
Lunatone Psy+WBI/RS,673,8,72
Ampharos (Shadow) VS+BrS/TBl,603,8,43
Gallade (Shadow) PC+CC/LB,721,8,92
Politoed MS+WBW/Eq,692,26,80
Politoed (Shadow) MS+WBW/Eq,754,8,106
Poliwrath (Shadow) MS+IW/DyP,783,8,118
Zeraora VS+PF/WC,658,17,66
Rapidash (Shadow) I+WC/DR,448,26,0
Talonflame I+Fl/BrB,504,3,2
Gourgeist (Average) I+SB/SeB,340,8,0
Virizion DK+LB/SSw,762,8,109
Drifblim H+IW/SB,222,58,0
Gourgeist (Large) I+SB/SeB,367,8,0
Rapidash I+WC/DR,538,3,16
Dodrio Pk+DrlP/BrB,519,8,8
Uxie Cf+Sw/FS,646,7,61
Nidoqueen (Shadow) MSl+PF/EP,596,26,40
Regice LO+T/Bl,442,30,0
Magnezone VS+WC/MrS,401,35,0
Mawile (Mega) FW+VG/IH,416,12,0
Pelipper WA+WBW/Hu,496,53,0
Toxicroak (Shadow) PSt+DyP/SB,675,40,73
Xerneas Geo+CC/M,567,3,28
Flamigo WA+UH/BrB,600,8,42
Golurk (Shadow) A+ShP/DyP,442,40,0
Conkeldurr (Shadow) FPm+DyP/BrS,759,40,108
Drifblim (Shadow) H+SB/IW,270,58,0
Heracross FC+UH/RT,670,8,71
Latios (Shadow) DB+AuS/LrP,677,8,74
Pangoro KC+CC/NS,670,58,71
Dragonite (Shadow) DB+TP/SP,641,58,59
Skuntank (Shadow) PJ+Cr/TBl,426,8,0
Bellossom (Shadow) Ac+LB/DG,460,44,0
Lucario FPm+AuS/SB,680,8,75
Perrserker SC+CC/FoP,292,35,0
Throh LK+FB/BS,781,8,117
Yveltal SkP+DP/ObW,545,8,19
Garganacl MS+RB/RT,514,7,6
Regirock (Shadow) LO+SE/FB,634,26,56
Skuntank PJ+Cr/TBl,357,35,0
Palossand A+SB/ST,591,8,38
Genesect (Shock) FC+XS/TBS,196,40,0
Machamp KC+CrC/RS,723,8,93
Victini Cf+VC/Psh,454,12,0
Decidueye (Hisuian) PC+AuS/TBl,725,8,94
Electivire (Shadow) TS+WC/IP,692,8,80
Electrode (Hisuian) TS+WC/EB,471,35,0
Gallade PC+CC/LB,759,8,108
Genesect (Burn) FC+XS/TBB,196,40,0
Gourgeist (Small) I+SB/SeB,358,8,0
Greninja (Shadow) WSh+HC/NS,603,8,43
Toxicroak PSt+DyP/SB,533,8,14
Cofagrigus (Shadow) SC+SB/DP,276,58,0
Starmie (Shadow) Psy+AJ/PG,629,8,54
Latios DB+AuS/LrP,704,8,85
Slowbro Cf+DrP/IB,682,3,76
Victreebel (Shadow) Ac+LB/SlB,567,26,28
Amoonguss (Shadow) A+FoP/GK,348,8,0
Avalugg IF+IW/Cr,550,3,21
Genesect (Chill) FC+XS/TBC,196,40,0
Hawlucha LK+FlP/AA,752,8,105
Victreebel Ac+LB/SlB,470,53,0
Blaziken E+AuS/BB,543,8,18
Conkeldurr FPm+DyP/BrS,668,8,70
Magnezone (Shadow) VS+WC/MrS,416,8,0
Mew SC+Psh/WC,670,3,71
Barbaracle FC+CrC/SE,685,8,77
Dhelmise SC+SB/BrS,297,49,0
Reshiram (Shadow) DB+FuF/SE,379,49,0
Electivire TS+WC/IP,752,8,105
Flygon (Shadow) DT+Tw/ST,627,8,53
Abomasnow (Mega) PS+WBI/EB,490,53,0
Camerupt I+EP/RT,543,35,18
Gholdengo H+SB/PG,190,58,0
Oinkologne MSl+BS/TBl,641,3,59
Starmie Psy+AJ/PG,670,8,71
Armarouge I+Psh/FmC,420,3,0
Golurk A+ShP/DyP,502,8,1
Palkia DB+AT/DM,735,8,98
Typhlosion I+BB/TP,331,8,0
Typhlosion (Shadow) I+BB/TP,410,8,0
Clodsire PSt+SE/Eq,644,21,60
Ferrothorn BS+PW/FC,431,7,0
Flygon DT+Tw/ST,687,8,78
Zygarde (50% Forme) DT+Cr/Eq,653,17,64
Decidueye A+FP/SSh,431,8,0
Gogoat VW+LB/RS,588,3,37
Palkia (Origin) DB+AT/DM,733,8,97
Gliscor (Shadow) WA+Acr/NS,453,35,0
Salamence (Shadow) DT+Fl/BrS,586,40,36
Bellossom Ac+LB/DG,596,3,40
Dubwool DK+BS/Pbk,531,3,13
Marshadow SC+CC/TP,651,58,63
Sliggoo DB+BS/DgP,764,8,110
Amoonguss A+FoP/GK,423,3,0
Baxcalibur DB+GlR/Av,740,8,100
Genesect (Douse) FC+XS/TBD,196,40,0
Slowbro (Galarian) Cf+DrP/SlB,502,7,1
Slowbro (Shadow) Cf+DrP/IB,778,8,116
Thievul SkP+NS/PR,557,8,24
Throh (Shadow) LK+BS/BkB,752,8,105
Gigalith LO+SP/MeB,538,8,16
Overqwil PJ+AT/DP,402,8,0
Ursaring (Shadow) SC+Sw/CC,598,8,41
Talonflame (Shadow) I+Fl/BrB,363,8,0
Shelgon (Shadow) DB+Tw/Ft,593,8,39
Charizard (Mega X) DB+BB/AC,646,8,61
Hariyama FPm+UH/HS,817,8,132
Scrafty C+FoP/TP,774,8,114
Garchomp (Shadow) DT+ST/Tw,622,8,51
Wailord RO+S/Bl,721,8,92
Dialga (Origin) DB+ROT/IH,445,26,0
Drampa DB+Sw/DgP,740,8,100
Piloswine PS+ISp/Av,625,8,52
Altaria DB+SA/Ft,682,26,76
Blacephalon I+MdB/SB,543,8,18
Medicham (Mega) PC+DyP/IP,788,8,120
Charizard DB+BB/AC,370,44,0
Dragonite DB+TP/SP,725,8,94
Ferrothorn (Shadow) BS+PW/FC,359,3,0
Venusaur VW+FP/Sl,389,53,0
Dragonite (Mega) DB+SP/TP/O+,716,8,90
Morpeko (Full Belly) TS+AuW/PsF,428,40,0
Piloswine (Shadow) PS+Av/ISp,622,8,51
Venusaur (Shadow) VW+FP/Sl,449,35,0
Hypno Cf+TP/SB,452,21,0
Incineroar Sn+BrS/BB,382,35,0
Sableye (Mega) SC+FoP/PG,576,8,32
Toxtricity Ac+WC/PUP,512,17,5
Vikavolt (Shadow) VS+XS/D,378,40,0
Gyarados (Mega) DB+AT/Cr,533,8,14
Salamence (Mega) DT+Fl/BrS,641,8,59
Toedscruel MSl+SeB/EP,596,21,40
Tyranitar DB+BrS/SE,620,8,50
Altaria (Shadow) DB+SA/Ft,776,8,115
Suicune IF+IB/Sc,620,3,50
Greninja WSh+HC/NS,656,8,65
Sandslash MS+NS/RT,754,8,106
Shelgon DB+Tw/Ft,675,8,73
Deoxys (Defense) C+PB/RS,581,34,34
Garchomp DT+ST/Tw,682,8,76
Gengar (Shadow) SC+ShP/SB,381,31,0
Roserade PSt+WBF/LfS,661,17,67
Scizor BP+NS/TBl,335,35,0
Swampert (Mega) MS+HC/Sl,848,4,145
Hariyama (Shadow) FPm+UH/HS,781,8,117
Magneton (Shadow) VS+D/MgB,422,44,0
Scizor (Shadow) BP+NS/TBl,379,35,0
