Pokemon,Battle Rating,Energy Remaining,HP Remaining
Lapras Psy+SpA/IB,352,32,0
Corviknight SdA+AC/Pbk,396,12,0
Registeel LO+FC/ZC,252,40,0
Florges FW+CW/DV,370,0,0
Grumpig Psy+DyP/SB,786,0,86
Giratina (Altered) DB+DC/SS,257,40,0
Dusknoir A+DyP/ShP,369,28,0
Corviknight (Shadow) SdA+AC/Pbk,437,8,0
Regidrago DB+DrE/VG,425,20,0
Dusknoir (Shadow) A+DyP/ShP,373,16,0
Moltres (Galarian) SkP+Fl/BrB,468,68,0
Clefable FW+MM/M,240,0,0
Walrein PS+ISp/Eq,410,32,0
Cresselia PC+GK/M,683,0,55
Lapras (Shadow) Psy+SpA/IB,404,12,0
Cradily Ac+RT/GK,550,32,15
Dondozo W+S/O,362,28,0
Kingdra DB+S/Sw,199,40,0
Walrein (Shadow) PS+ISp/Eq,736,24,71
Annihilape (Shadow) LK+RF/CC,223,40,0
Empoleon (Shadow) MSo+HC/DrlP,193,40,0
Malamar (Shadow) Psy+FoP/SP,806,80,92
Giratina (Altered) (Shadow) DB+DC/SS,329,24,0
Grumpig (Shadow) Psy+DyP/SB,786,0,86
Lickilicky RO+BS/SB,556,4,17
Annihilape LK+RF/CC,204,40,0
Forretress VS+RT/ST,273,16,0
Empoleon MSo+HC/DrlP,129,40,0
Blastoise RO+HC/SkB,349,4,0
Doublade SC+SSw/GB,171,4,0
Kingdra (Shadow) DB+S/Sw,264,40,0
Malamar Psy+FoP/SP,796,0,89
Togekiss Pk+Psh/AuS,449,40,0
Aromatisse FW+Psh/M,358,36,0
Oranguru Cf+BrS/TBl,770,0,81
Ninetales (Alolan) PS+WBI/CW,401,36,0
Feraligatr (Shadow) SC+HC/IB,254,40,0
Weezing (Galarian) (Shadow) FW+BrS/Sl,343,20,0
Weezing (Galarian) FW+BrS/Sl,401,12,0
Milotic W+AT/Wr,347,4,0
Registeel (Shadow) LO+FC/ZC,248,24,0
Crustle FC+XS/RW,460,12,0
Guzzlord DT+BrS/DC,690,0,57
Turtonator I+BrS/DC,394,20,0
Drapion PSt+Cr/AT,424,20,0
Hydreigon (Shadow) DB+BrS/Fl,470,40,0
Sylveon FW+M/SB,316,40,0
Dragalge DT+AT/O,302,16,0
Tentacruel Ac+Sc/Pbk,298,40,0
Aurorus PS+WBI/MeB,427,16,0
Ninetales (Alolan) (Shadow) PS+WBI/CW,360,16,0
Cresselia (Shadow) PC+GK/M,836,16,101
Goodra DB+AT/PW,460,32,0
Malamar (Mega) Psy+FoP/SP,796,0,89
Seaking Pk+DR/IW,610,24,33
Cobalion DK+SSw/SE,141,16,0
Kommo-o DT+ClS/UH,302,16,0
Latias DB+MsB/AuS,786,0,86
Miltank RO+BS/IB,576,0,23
Golisopod FC+XS/AJ,216,40,0
Melmetal TS+DbI/DyP,251,20,0
Milotic (Shadow) W+AT/Wr,441,4,0
Ninetales E+WBF/EB,386,28,0
Samurott FC+HC/Mh,231,40,0
Toucannon (Shadow) Pk+BBl/DrlP,191,40,0
Articuno PS+IW/Hu,431,32,0
Feraligatr SC+HC/IB,191,40,0
Raikou TS+WC/AuS,556,4,17
Tentacruel (Shadow) Ac+Sc/Pbk,298,24,0
Toucannon Pk+BBl/DrlP,776,8,83
Aurorus (Shadow) PS+WBI/MeB,467,16,0
Cradily (Shadow) Ac+RT/GK,886,4,116
Kyurem DB+G/DC,471,20,0
Primarina W+DV/HC,335,16,0
Swampert MS+HC/Eq,485,24,0
Altaria (Mega) DB+SA/M,358,32,0
Gyarados DB+AT/Tw,412,12,0
Hippowdon SdA+WBR/EP,402,32,0
Raikou (Shadow) TS+WC/AuS,268,40,0
Steelix TF+PsF/Eq,358,12,0
Ninetales (Shadow) E+WBF/EB,418,20,0
Samurott (Shadow) FC+HC/Mh,231,40,0
Stunfisk TS+MB/D,526,4,8
Crustle (Shadow) FC+XS/RW,510,0,3
Poliwrath MS+IW/DyP,387,0,0
Abomasnow (Shadow) PS+WBI/EB,596,0,29
Hippowdon (Shadow) SdA+WBR/EP,556,28,17
Drapion (Shadow) PSt+AT/Cr,457,20,0
Orthworm MSl+RT/Eq,279,40,0
Runerigus SC+RT/SB,280,32,0
Seismitoad MS+EP/IW,593,0,28
Steelix (Shadow) TF+PsF/Cr,389,12,0
Blastoise (Shadow) RO+HC/IB,382,4,0
Dudunsparce RO+BS/DR,430,32,0
Jirachi Cf+DD/AuS,394,12,0
Primeape KC+RF/CC,197,36,0
Regirock LO+SE/FB,493,4,0
Forretress (Shadow) VS+RT/ST,297,16,0
Stunfisk (Galarian) MS+RS/Eq,320,0,0
Grimmsnarl SkP+FoP/PR,676,12,53
Latias (Shadow) DB+MsB/AuS,371,40,0
Lugia DT+A/Fl,442,40,0
Sandslash (Alolan) PS+IP/DR,453,0,0
Gyarados (Shadow) DB+AT/Tw,181,36,0
Mandibuzz Sn+FoP/SB,720,0,66
Tapu Fini WG+S/NM,343,40,0
Articuno (Shadow) PS+IW/Hu,490,32,0
Cofagrigus SC+SB/DP,330,32,0
Sandslash (Alolan) (Shadow) PS+IP/DR,345,40,0
Gastrodon MSl+BS/EP,429,28,0
Skeledirge I+TSo/SB,363,16,0
Mantine WA+Tw/WP,385,32,0
Nidoqueen MSl+PF/EP,259,28,0
Bronzong Cf+WBW/Pbk,444,32,0
Greedent MS+BS/TBl,556,0,17
Oinkologne (Female) MSl+BS/TBl,566,0,20
Abomasnow PS+WBI/EB,663,0,49
Primeape (Shadow) KC+RF/IP,448,20,0
Zapdos TS+DrlP/Tb,640,4,42
Coalossal FS+RS/FmC,281,28,0
Machamp (Shadow) KC+CrC/RS,180,36,0
Spiritomb SkP+SB/RT,468,40,0
Ampharos VS+BrS/TBl,536,20,11
Bombirdier SkP+Fl/RT,596,40,29
Ludicolo A+WBW/EB,786,0,86
Umbreon Sn+FoP/LR,723,44,67
Solrock Psy+WBF/RS,334,40,0
Swampert (Shadow) MS+HC/Eq,217,36,0
Trevenant (Shadow) SC+SB/SeB,563,4,19
Zapdos (Shadow) TS+DrlP/Tb,560,0,18
Latias (Mega) DB+AuS/MsB,786,0,86
Giratina (Origin) SC+SB/DgP,343,24,0
Gourgeist (Super) I+SB/SeB,392,20,0
Cetitan PS+ISp/SP,566,36,20
Blaziken (Shadow) E+AuS/BB,133,40,0
Gliscor WA+Acr/NS,291,16,0
Slurpuff FW+EB/Ft,456,0,0
Trevenant SC+SB/SeB,497,16,0
Hydreigon DB+BrS/DgP,786,0,86
Lunatone Psy+WBI/RS,334,40,0
Ampharos (Shadow) VS+BrS/TBl,497,4,0
Gallade (Shadow) PC+CC/LB,289,36,0
Politoed MS+WBW/Eq,373,20,0
Politoed (Shadow) MS+WBW/Eq,475,20,0
Poliwrath (Shadow) MS+IW/DyP,553,0,16
Zeraora VS+PF/WC,275,40,0
Rapidash (Shadow) I+WC/DR,210,40,0
Talonflame I+Fl/BrB,756,0,77
Gourgeist (Average) I+SB/SeB,428,20,0
Virizion DK+LB/SSw,425,32,0
Drifblim H+IW/SB,520,0,6
Gourgeist (Large) I+SB/SeB,408,20,0
Rapidash I+WC/DR,448,16,0
Dodrio Pk+DrlP/BrB,526,0,8
Uxie Cf+Sw/FS,756,12,77
Nidoqueen (Shadow) MSl+PF/EP,356,28,0
Regice LO+T/Bl,690,0,57
Magnezone VS+WC/MrS,295,40,0
Mawile (Mega) FW+VG/IH,202,24,0
Pelipper WA+WBW/Hu,433,16,0
Toxicroak (Shadow) PSt+DyP/SB,316,40,0
Xerneas Geo+CC/M,431,28,0
Flamigo WA+UH/BrB,342,16,0
Golurk (Shadow) A+ShP/DyP,361,4,0
Conkeldurr (Shadow) FPm+DyP/BrS,357,4,0
Drifblim (Shadow) H+SB/IW,323,16,0
Heracross FC+UH/RT,334,12,0
Latios (Shadow) DB+AuS/LrP,461,40,0
Pangoro KC+CC/NS,473,4,0
Dragonite (Shadow) DB+TP/SP,210,40,0
Skuntank (Shadow) PJ+Cr/TBl,800,8,90
Bellossom (Shadow) Ac+LB/DG,633,0,40
Lucario FPm+AuS/SB,272,16,0
Perrserker SC+CC/FoP,331,40,0
Throh LK+FB/BS,226,32,0
Yveltal SkP+DP/ObW,623,28,37
Garganacl MS+RB/RT,449,0,0
Regirock (Shadow) LO+SE/FB,400,8,0
Skuntank PJ+Cr/TBl,613,0,34
Palossand A+SB/ST,265,28,0
Genesect (Shock) FC+XS/TBS,389,16,0
Machamp KC+CrC/RS,354,8,0
Victini Cf+VC/Psh,448,16,0
Decidueye (Hisuian) PC+AuS/TBl,660,16,48
Electivire (Shadow) TS+WC/IP,355,40,0
Electrode (Hisuian) TS+WC/EB,573,0,22
Gallade PC+CC/LB,663,12,49
Genesect (Burn) FC+XS/TBB,389,16,0
Gourgeist (Small) I+SB/SeB,466,20,0
Greninja (Shadow) WSh+HC/NS,446,36,0
Toxicroak PSt+DyP/SB,292,40,0
Cofagrigus (Shadow) SC+SB/DP,341,24,0
Starmie (Shadow) Psy+AJ/PG,448,40,0
Latios DB+AuS/LrP,786,0,86
Slowbro Cf+DrP/IB,736,12,71
Victreebel (Shadow) Ac+LB/SlB,566,0,20
Amoonguss (Shadow) A+FoP/GK,696,28,59
Avalugg IF+IW/Cr,390,40,0
Genesect (Chill) FC+XS/TBC,389,16,0
Hawlucha LK+FlP/AA,331,32,0
Victreebel Ac+LB/SlB,630,12,39
Blaziken E+AuS/BB,133,40,0
Conkeldurr FPm+DyP/BrS,354,16,0
Magnezone (Shadow) VS+WC/MrS,401,40,0
Mew SC+Psh/WC,633,0,40
Barbaracle FC+CrC/SE,419,12,0
Dhelmise SC+SB/BrS,650,0,45
Reshiram (Shadow) DB+FuF/SE,716,0,65
Electivire TS+WC/IP,285,40,0
Flygon (Shadow) DT+Tw/ST,733,0,70
Abomasnow (Mega) PS+WBI/EB,550,0,15
Camerupt I+EP/RT,350,16,0
Gholdengo H+SB/PG,278,16,0
Oinkologne MSl+BS/TBl,540,0,12
Starmie Psy+AJ/PG,374,40,0
Armarouge I+Psh/FmC,526,0,8
Golurk A+ShP/DyP,361,16,0
Palkia DB+AT/DM,506,0,2
Typhlosion I+BB/TP,437,16,0
Typhlosion (Shadow) I+BB/TP,503,0,1
Clodsire PSt+SE/Eq,332,32,0
Ferrothorn BS+PW/FC,409,28,0
Flygon DT+Tw/ST,546,16,14
Zygarde (50% Forme) DT+Cr/Eq,427,40,0
Decidueye A+FP/SSh,477,28,0
Gogoat VW+LB/RS,633,0,40
Palkia (Origin) DB+AT/DM,503,0,1
Gliscor (Shadow) WA+Acr/NS,317,16,0
Salamence (Shadow) DT+Fl/BrS,590,0,27
Bellossom Ac+LB/DG,703,0,61
Dubwool DK+BS/Pbk,553,0,16
Marshadow SC+CC/TP,271,4,0
Sliggoo DB+BS/DgP,448,24,0
Amoonguss A+FoP/GK,438,40,0
Baxcalibur DB+GlR/Av,786,0,86
Genesect (Douse) FC+XS/TBD,389,16,0
Slowbro (Galarian) Cf+DrP/SlB,530,0,9
Slowbro (Shadow) Cf+DrP/IB,730,0,69
Thievul SkP+NS/PR,620,0,36
Throh (Shadow) LK+BS/BkB,436,0,0
Gigalith LO+SP/MeB,450,16,0
Overqwil PJ+AT/DP,623,12,37
Ursaring (Shadow) SC+Sw/CC,307,40,0
Talonflame (Shadow) I+Fl/BrB,716,0,65
Shelgon (Shadow) DB+Tw/Ft,271,40,0
Charizard (Mega X) DB+BB/AC,480,8,0
Hariyama FPm+UH/HS,278,16,0
Scrafty C+FoP/TP,452,32,0
Garchomp (Shadow) DT+ST/Tw,733,0,70
Wailord RO+S/Bl,397,4,0
Dialga (Origin) DB+ROT/IH,332,20,0
Drampa DB+Sw/DgP,786,0,86
Piloswine PS+ISp/Av,441,16,0
Altaria DB+SA/Ft,506,0,2
Blacephalon I+MdB/SB,188,40,0
Medicham (Mega) PC+DyP/IP,679,20,54
Charizard DB+BB/AC,786,0,86
Dragonite DB+TP/SP,479,28,0
Ferrothorn (Shadow) BS+PW/FC,437,28,0
Venusaur VW+FP/Sl,437,24,0
Dragonite (Mega) DB+SP/TP,500,28,0
Morpeko (Full Belly) TS+AuW/PsF,482,36,0
Piloswine (Shadow) PS+Av/ISp,520,4,6
Venusaur (Shadow) VW+FP/Sl,493,4,0
Hypno Cf+TP/SB,756,12,77
Incineroar Sn+BrS/BB,556,8,17
Sableye (Mega) SC+FoP/PG,500,24,0
Toxtricity Ac+WC/PUP,387,40,0
Vikavolt (Shadow) VS+XS/D,350,40,0
Gyarados (Mega) DB+AT/Cr,516,0,5
Salamence (Mega) DT+Fl/BrS,488,16,0
Toedscruel MSl+SeB/EP,786,8,86
Tyranitar DB+BrS/SE,786,0,86
Altaria (Shadow) DB+SA/Ft,414,36,0
Suicune IF+IB/Sc,730,0,69
Greninja WSh+HC/NS,383,36,0
Sandslash MS+NS/RT,407,40,0
Shelgon DB+Tw/Ft,786,4,86
Deoxys (Defense) C+PB/RS,796,16,89
Garchomp DT+ST/Tw,570,12,21
Gengar (Shadow) SC+ShP/SB,161,40,0
Roserade PSt+WBF/LfS,245,40,0
Scizor BP+NS/TBl,149,40,0
Swampert (Mega) MS+HC/Sl,279,40,0
Hariyama (Shadow) FPm+UH/HS,352,16,0
Magneton (Shadow) VS+D/MgB,247,40,0
Scizor (Shadow) BP+NS/TBl,222,40,0
Enamorus (Therian) FW+MF/M,385,16,0
Raichu (Alolan) TS+TBl/WC,426,40,0
Kingambit MSo+FoP/FB,431,16,0
Meganium VW+FP/Eq,850,4,105
Snorlax L+BS/Eq,703,0,61
Tyranitar (Shadow) DB+BrS/SE,786,0,86
Charizard (Shadow) DB+BB/AC,786,0,86
