Pokemon,Battle Rating,Energy Remaining,HP Remaining
Lapras Psy+SpA/IB,320,14,0
Corviknight SdA+AC/Pbk,370,12,0
Registeel LO+FC/ZC,273,3,0
Florges FW+CW/DV,696,31,60
Grumpig Psy+DyP/SB,438,14,0
Giratina (Altered) DB+DC/SS,299,8,0
Dusknoir A+DyP/ShP,369,32,0
Corviknight (Shadow) SdA+AC/Pbk,300,38,0
Regidrago DB+DrE/VG,330,40,0
Dusknoir (Shadow) A+DyP/ShP,394,38,0
Moltres (Galarian) SkP+Fl/BrB,532,5,10
Clefable FW+MM/M,650,40,46
Walrein PS+ISp/Eq,272,22,0
Cresselia PC+GK/M,601,3,31
Lapras (Shadow) Psy+SpA/IB,387,14,0
Cradily Ac+RT/GK,458,26,0
Dondozo W+S/O,436,17,0
Kingdra DB+S/Sw,356,40,0
Walrein (Shadow) PS+ISp/Eq,330,22,0
Annihilape (Shadow) LK+RF/CC,248,37,0
Empoleon (Shadow) MSo+HC/DrlP,265,11,0
Malamar (Shadow) Psy+FoP/SP,391,40,0
Giratina (Altered) (Shadow) DB+DC/SS,346,8,0
Grumpig (Shadow) Psy+DyP/SB,633,5,41
Lickilicky RO+BS/SB,471,26,0
Annihilape LK+RF/CC,339,11,0
Forretress VS+RT/ST,294,38,0
Empoleon MSo+HC/DrlP,227,11,0
Blastoise RO+HC/SkB,379,5,0
Doublade SC+SSw/GB,299,20,0
Kingdra (Shadow) DB+S/Sw,431,40,0
Malamar Psy+FoP/SP,650,8,46
Togekiss Pk+Psh/AuS,715,4,66
Aromatisse FW+Psh/M,578,40,24
Oranguru Cf+BrS/TBl,745,8,75
Ninetales (Alolan) PS+WBI/CW,696,31,60
Feraligatr (Shadow) SC+HC/IB,433,40,0
Weezing (Galarian) (Shadow) FW+BrS/Sl,601,5,31
Weezing (Galarian) FW+BrS/Sl,620,23,37
Milotic W+AT/Wr,604,8,32
Registeel (Shadow) LO+FC/ZC,368,3,0
Crustle FC+XS/RW,627,20,39
Guzzlord DT+BrS/DC,614,8,35
Turtonator I+BrS/DC,529,8,9
Drapion PSt+Cr/AT,500,4,0
Hydreigon (Shadow) DB+BrS/Fl,522,31,7
Sylveon FW+M/SB,578,40,24
Dragalge DT+AT/O,282,14,0
Tentacruel Ac+Sc/Pbk,301,8,0
Aurorus PS+WBI/MeB,432,29,0
Ninetales (Alolan) (Shadow) PS+WBI/CW,712,4,65
Cresselia (Shadow) PC+GK/M,454,17,0
Goodra DB+AT/PW,519,8,6
Malamar (Mega) Psy+FoP/SP,673,5,53
Seaking Pk+DR/IW,389,40,0
Cobalion DK+SSw/SE,296,38,0
Kommo-o DT+ClS/UH,379,40,0
Latias DB+MsB/AuS,382,40,0
Miltank RO+BS/IB,412,41,0
Golisopod FC+XS/AJ,375,40,0
Melmetal TS+DbI/DyP,299,11,0
Milotic (Shadow) W+AT/Wr,432,5,0
Ninetales E+WBF/EB,568,5,21
Samurott FC+HC/Mh,391,40,0
Toucannon (Shadow) Pk+BBl/DrlP,311,19,0
Articuno PS+IW/Hu,421,32,0
Feraligatr SC+HC/IB,358,40,0
Raikou TS+WC/AuS,384,31,0
Tentacruel (Shadow) Ac+Sc/Pbk,378,8,0
Toucannon Pk+BBl/DrlP,418,31,0
Aurorus (Shadow) PS+WBI/MeB,280,28,0
Cradily (Shadow) Ac+RT/GK,663,8,50
Kyurem DB+G/DC,343,40,0
Primarina W+DV/HC,633,4,41
Swampert MS+HC/Eq,189,28,0
Altaria (Mega) DB+SA/M,872,4,114
Gyarados DB+AT/Tw,412,40,0
Hippowdon SdA+WBR/EP,236,19,0
Raikou (Shadow) TS+WC/AuS,317,37,0
Steelix TF+PsF/Eq,297,11,0
Ninetales (Shadow) E+WBF/EB,516,2,5
Samurott (Shadow) FC+HC/Mh,451,31,0
Stunfisk TS+MB/D,376,11,0
Crustle (Shadow) FC+XS/RW,310,28,0
Poliwrath MS+IW/DyP,316,40,0
Abomasnow (Shadow) PS+WBI/EB,712,4,65
Hippowdon (Shadow) SdA+WBR/EP,274,19,0
Drapion (Shadow) PSt+AT/Cr,500,3,0
Orthworm MSl+RT/Eq,285,20,0
Runerigus SC+RT/SB,712,3,65
Seismitoad MS+EP/IW,308,2,0
Steelix (Shadow) TF+PsF/Cr,620,3,37
Blastoise (Shadow) RO+HC/IB,427,5,0
Dudunsparce RO+BS/DR,435,5,0
Jirachi Cf+DD/AuS,319,29,0
Primeape KC+RF/CC,482,2,0
Regirock LO+SE/FB,380,29,0
Forretress (Shadow) VS+RT/ST,319,11,0
Stunfisk (Galarian) MS+RS/Eq,172,28,0
Grimmsnarl SkP+FoP/PR,901,4,123
Latias (Shadow) DB+MsB/AuS,426,31,0
Lugia DT+A/Fl,347,5,0
Sandslash (Alolan) PS+IP/DR,290,11,0
Gyarados (Shadow) DB+AT/Tw,450,31,0
Mandibuzz Sn+FoP/SB,712,0,65
Tapu Fini WG+S/NM,588,5,27
Articuno (Shadow) PS+IW/Hu,350,31,0
Cofagrigus SC+SB/DP,513,4,4
Sandslash (Alolan) (Shadow) PS+IP/DR,339,11,0
Gastrodon MSl+BS/EP,167,28,0
Skeledirge I+TSo/SB,588,29,27
Mantine WA+Tw/WP,500,17,0
Nidoqueen MSl+PF/EP,229,28,0
Bronzong Cf+WBW/Pbk,444,30,0
Greedent MS+BS/TBl,447,8,0
Oinkologne (Female) MSl+BS/TBl,381,5,0
Abomasnow PS+WBI/EB,692,31,59
Primeape (Shadow) KC+RF/IP,673,13,53
Zapdos TS+DrlP/Tb,436,31,0
Coalossal FS+RS/FmC,624,3,38
Machamp (Shadow) KC+CrC/RS,341,37,0
Spiritomb SkP+SB/RT,381,41,0
Ampharos VS+BrS/TBl,568,5,21
Bombirdier SkP+Fl/RT,607,5,33
Ludicolo A+WBW/EB,741,31,74
Umbreon Sn+FoP/LR,620,3,37
Solrock Psy+WBF/RS,519,29,6
Swampert (Shadow) MS+HC/Eq,214,28,0
Trevenant (Shadow) SC+SB/SeB,653,5,47
Zapdos (Shadow) TS+DrlP/Tb,611,22,34
Latias (Mega) DB+AuS/MsB,440,40,0
Giratina (Origin) SC+SB/DgP,364,8,0
Gourgeist (Super) I+SB/SeB,627,8,39
Cetitan PS+ISp/SP,330,40,0
Blaziken (Shadow) E+AuS/BB,441,10,0
Gliscor WA+Acr/NS,443,29,0
Slurpuff FW+EB/Ft,696,22,60
Trevenant SC+SB/SeB,663,14,50
Hydreigon DB+BrS/DgP,522,5,7
Lunatone Psy+WBI/RS,519,29,6
Ampharos (Shadow) VS+BrS/TBl,440,40,0
Gallade (Shadow) PC+CC/LB,777,2,85
Politoed MS+WBW/Eq,274,13,0
Politoed (Shadow) MS+WBW/Eq,332,13,0
