Pokemon,Battle Rating,Energy Remaining,HP Remaining
Lapras Psy+SpA/IB,736,19,63
Corviknight SdA+AC/Pbk,362,36,0
Registeel LO+FC/ZC,560,0,16
Florges FW+CW/DV,258,11,0
Grumpig Psy+DyP/SB,274,38,0
Giratina (Altered) DB+DC/SS,296,3,0
Dusknoir A+DyP/ShP,302,11,0
Corviknight (Shadow) SdA+AC/Pbk,398,28,0
Regidrago DB+DrE/VG,459,19,0
Dusknoir (Shadow) A+DyP/ShP,357,2,0
Moltres (Galarian) SkP+Fl/BrB,376,28,0
Clefable FW+MM/M,295,11,0
Walrein PS+ISp/Eq,793,1,78
Cresselia PC+GK/M,286,3,0
Lapras (Shadow) Psy+SpA/IB,781,1,75
Cradily Ac+RT/GK,250,47,0
Dondozo W+S/O,695,3,52
Kingdra DB+S/Sw,323,20,0
Walrein (Shadow) PS+ISp/Eq,759,1,69
Annihilape (Shadow) LK+RF/CC,458,2,0
Empoleon (Shadow) MSo+HC/DrlP,793,1,78
Malamar (Shadow) Psy+FoP/SP,272,20,0
Giratina (Altered) (Shadow) DB+DC/SS,373,3,0
Grumpig (Shadow) Psy+DyP/SB,301,29,0
Lickilicky RO+BS/SB,906,1,108
Annihilape LK+RF/CC,507,3,2
Forretress VS+RT/ST,411,36,0
Empoleon MSo+HC/DrlP,827,1,87
Blastoise RO+HC/SkB,605,3,28
Doublade SC+SSw/GB,233,20,0
Kingdra (Shadow) DB+S/Sw,725,1,60
Malamar Psy+FoP/SP,250,38,0
Togekiss Pk+Psh/AuS,281,11,0
Aromatisse FW+Psh/M,320,29,0
Oranguru Cf+BrS/TBl,250,29,0
Ninetales (Alolan) PS+WBI/CW,511,3,3
Feraligatr (Shadow) SC+HC/IB,695,2,52
Weezing (Galarian) (Shadow) FW+BrS/Sl,360,2,0
Weezing (Galarian) FW+BrS/Sl,323,20,0
Milotic W+AT/Wr,403,38,0
Registeel (Shadow) LO+FC/ZC,902,28,107
Crustle FC+XS/RW,336,29,0
Guzzlord DT+BrS/DC,537,28,10
Turtonator I+BrS/DC,475,28,0
Drapion PSt+Cr/AT,241,47,0
Hydreigon (Shadow) DB+BrS/Fl,725,1,60
Sylveon FW+M/SB,346,29,0
Dragalge DT+AT/O,418,9,0
Tentacruel Ac+Sc/Pbk,703,3,54
Aurorus PS+WBI/MeB,793,1,78
Ninetales (Alolan) (Shadow) PS+WBI/CW,759,1,69
Cresselia (Shadow) PC+GK/M,369,3,0
Goodra DB+AT/PW,460,19,0
Malamar (Mega) Psy+FoP/SP/Psb+,222,29,0
Seaking Pk+DR/IW,462,11,0
Cobalion DK+SSw/SE,759,1,69
Kommo-o DT+ClS/UH,793,1,78
Latias DB+MsB/AuS,386,3,0
Miltank RO+BS/IB,714,19,57
Golisopod FC+XS/AJ,343,20,0
Melmetal TS+DbI/DyP,676,1,47
Milotic (Shadow) W+AT/Wr,485,10,0
Ninetales E+WBF/EB,276,47,0
Samurott FC+HC/Mh,770,20,72
Toucannon (Shadow) Pk+BBl/DrlP,556,1,15
Articuno PS+IW/Hu,140,63,0
Feraligatr SC+HC/IB,459,11,0
Raikou TS+WC/AuS,827,1,87
Tentacruel (Shadow) Ac+Sc/Pbk,654,3,41
Toucannon Pk+BBl/DrlP,624,1,33
Aurorus (Shadow) PS+WBI/MeB,759,1,69
Cradily (Shadow) Ac+RT/GK,793,1,78
Kyurem DB+G/DC,710,1,56
Primarina W+DV/HC,725,11,60
Swampert MS+HC/Eq,906,2,108
Altaria (Mega) DB+SA/M,436,3,0
Gyarados DB+AT/Tw,409,38,0
Hippowdon SdA+WBR/EP,442,38,0
Raikou (Shadow) TS+WC/AuS,793,1,78
Steelix TF+PsF/Eq,423,27,0
Ninetales (Shadow) E+WBF/EB,590,1,24
Samurott (Shadow) FC+HC/Mh,740,2,64
Stunfisk TS+MB/D,612,3,30
Crustle (Shadow) FC+XS/RW,710,1,56
Poliwrath MS+IW/DyP,665,3,44
Abomasnow (Shadow) PS+WBI/EB,759,1,69
Hippowdon (Shadow) SdA+WBR/EP,650,20,40
Drapion (Shadow) PSt+AT/Cr,473,19,0
Orthworm MSl+RT/Eq,691,2,51
Runerigus SC+RT/SB,556,3,15
Seismitoad MS+EP/IW,691,29,51
Steelix (Shadow) TF+PsF/Cr,718,10,58
Blastoise (Shadow) RO+HC/IB,552,3,14
Dudunsparce RO+BS/DR,718,1,58
Jirachi Cf+DD/AuS,397,18,0
Primeape KC+RF/CC,575,2,20
Regirock LO+SE/FB,714,28,57
Forretress (Shadow) VS+RT/ST,447,28,0
Stunfisk (Galarian) MS+RS/Eq,238,47,0
Grimmsnarl SkP+FoP/PR,624,19,33
Latias (Shadow) DB+MsB/AuS,268,20,0
Lugia DT+A/Fl,161,38,0
Sandslash (Alolan) PS+IP/DR,793,1,78
Gyarados (Shadow) DB+AT/Tw,434,11,0
Mandibuzz Sn+FoP/SB,265,10,0
Tapu Fini WG+S/NM,676,3,47
Articuno (Shadow) PS+IW/Hu,175,73,0
Cofagrigus SC+SB/DP,556,3,15
Sandslash (Alolan) (Shadow) PS+IP/DR,759,1,69
Gastrodon MSl+BS/EP,789,2,77
Skeledirge I+TSo/SB,408,3,0
Mantine WA+Tw/WP,312,29,0
Nidoqueen MSl+PF/EP,411,38,0
Bronzong Cf+WBW/Pbk,75,54,0
Greedent MS+BS/TBl,729,1,61
Oinkologne (Female) MSl+BS/TBl,785,1,76
Abomasnow PS+WBI/EB,793,1,78
Primeape (Shadow) KC+RF/IP,275,37,0
Zapdos TS+DrlP/Tb,288,2,0
Coalossal FS+RS/FmC,669,2,45
Machamp (Shadow) KC+CrC/RS,680,2,48
Spiritomb SkP+SB/RT,444,12,0
Ampharos VS+BrS/TBl,691,10,51
Bombirdier SkP+Fl/RT,440,18,0
Ludicolo A+WBW/EB,333,20,0
Umbreon Sn+FoP/LR,642,1,38
Solrock Psy+WBF/RS,530,3,8
Swampert (Shadow) MS+HC/Eq,875,2,100
Trevenant (Shadow) SC+SB/SeB,321,11,0
Zapdos (Shadow) TS+DrlP/Tb,353,2,0
Latias (Mega) DB+AuS/MsB,290,29,0
Giratina (Origin) SC+SB/DgP,387,3,0
Gourgeist (Super) I+SB/SeB,360,3,0
Cetitan PS+ISp/SP,793,1,78
Blaziken (Shadow) E+AuS/BB,793,1,78
Gliscor WA+Acr/NS,321,29,0
Slurpuff FW+EB/Ft,318,11,0
Trevenant SC+SB/SeB,270,11,0
Hydreigon DB+BrS/DgP,725,1,60
Lunatone Psy+WBI/RS,530,3,8
Ampharos (Shadow) VS+BrS/TBl,740,1,64
Gallade (Shadow) PC+CC/LB,500,20,0
Politoed MS+WBW/Eq,654,3,41
Politoed (Shadow) MS+WBW/Eq,472,29,0
Poliwrath (Shadow) MS+IW/DyP,624,38,33
Zeraora VS+PF/WC,755,1,68
Rapidash (Shadow) I+WC/DR,703,1,54
Talonflame I+Fl/BrB,395,18,0
Gourgeist (Average) I+SB/SeB,384,3,0
Virizion DK+LB/SSw,605,28,28
Drifblim H+IW/SB,237,38,0
Gourgeist (Large) I+SB/SeB,370,3,0
Rapidash I+WC/DR,748,1,66
Dodrio Pk+DrlP/BrB,624,1,33
Uxie Cf+Sw/FS,347,3,0
Nidoqueen (Shadow) MSl+PF/EP,593,38,25
Regice LO+T/Bl,906,28,108
Magnezone VS+WC/MrS,770,1,72
Mawile (Mega) FW+VG/IH,123,55,0
Pelipper WA+WBW/Hu,359,2,0
Toxicroak (Shadow) PSt+DyP/SB,815,2,84
Xerneas Geo+CC/M,575,3,20
Flamigo WA+UH/BrB,691,1,51
Golurk (Shadow) A+ShP/DyP,526,2,7
Conkeldurr (Shadow) FPm+DyP/BrS,789,2,77
Drifblim (Shadow) H+SB/IW,262,20,0
Heracross FC+UH/RT,695,10,52
Latios (Shadow) DB+AuS/LrP,484,10,0
Pangoro KC+CC/NS,672,1,46
Dragonite (Shadow) DB+TP/SP,695,10,52
Skuntank (Shadow) PJ+Cr/TBl,691,1,51
Bellossom (Shadow) Ac+LB/DG,793,1,78
Lucario FPm+AuS/SB,770,1,72
Perrserker SC+CC/FoP,691,1,51
Throh LK+FB/BS,706,3,55
Yveltal SkP+DP/ObW,374,18,0
Garganacl MS+RB/RT,699,2,53
Regirock (Shadow) LO+SE/FB,924,1,113
Skuntank PJ+Cr/TBl,250,47,0
Palossand A+SB/ST,440,29,0
Genesect (Shock) FC+XS/TBS,710,1,56
Machamp KC+CrC/RS,736,1,63
Victini Cf+VC/Psh,334,29,0
Decidueye (Hisuian) PC+AuS/TBl,601,1,27
Electivire (Shadow) TS+WC/IP,815,2,84
Electrode (Hisuian) TS+WC/EB,860,1,96
Gallade PC+CC/LB,500,3,0
Genesect (Burn) FC+XS/TBB,710,1,56
Gourgeist (Small) I+SB/SeB,414,3,0
