Pokemon,Battle Rating,Energy Remaining,HP Remaining
Lapras Psy+SpA/IB,465,10,0
Corviknight SdA+AC/Pbk,453,10,0
Registeel LO+FC/ZC,563,0,26
Florges FW+CW/DV,363,20,0
Grumpig Psy+DyP/SB,539,28,16
Giratina (Altered) DB+DC/SS,500,2,0
Dusknoir A+DyP/ShP,568,4,28
Corviknight (Shadow) SdA+AC/Pbk,529,2,12
Regidrago DB+DrE/VG,169,54,0
Dusknoir (Shadow) A+DyP/ShP,306,46,0
Moltres (Galarian) SkP+Fl/BrB,287,12,0
Clefable FW+MM/M,356,28,0
Walrein PS+ISp/Eq,332,20,0
Cresselia PC+GK/M,656,2,64
Lapras (Shadow) Psy+SpA/IB,541,2,17
Cradily Ac+RT/GK,397,50,0
Dondozo W+S/O,563,50,26
Kingdra DB+S/Sw,493,36,0
Walrein (Shadow) PS+ISp/Eq,385,12,0
Annihilape (Shadow) LK+RF/CC,531,4,13
Empoleon (Shadow) MSo+HC/DrlP,553,28,22
Malamar (Shadow) Psy+FoP/SP,441,20,0
Giratina (Altered) (Shadow) DB+DC/SS,502,4,1
Grumpig (Shadow) Psy+DyP/SB,536,4,15
Lickilicky RO+BS/SB,214,44,0
Annihilape LK+RF/CC,605,4,43
Forretress VS+RT/ST,718,2,89
Empoleon MSo+HC/DrlP,605,2,43
Blastoise RO+HC/SkB,713,2,87
Doublade SC+SSw/GB,598,4,40
Kingdra (Shadow) DB+S/Sw,578,4,32
Malamar Psy+FoP/SP,369,20,0
Togekiss Pk+Psh/AuS,561,2,25
Aromatisse FW+Psh/M,353,28,0
Oranguru Cf+BrS/TBl,434,2,0
Ninetales (Alolan) PS+WBI/CW,325,12,0
Feraligatr (Shadow) SC+HC/IB,191,46,0
Weezing (Galarian) (Shadow) FW+BrS/Sl,425,12,0
Weezing (Galarian) FW+BrS/Sl,387,36,0
Milotic W+AT/Wr,732,2,95
Registeel (Shadow) LO+FC/ZC,512,26,5
Crustle FC+XS/RW,420,52,0
Guzzlord DT+BrS/DC,323,4,0
Turtonator I+BrS/DC,622,44,50
Drapion PSt+Cr/AT,522,2,9
Hydreigon (Shadow) DB+BrS/Fl,163,46,0
Sylveon FW+M/SB,340,28,0
Dragalge DT+AT/O,166,46,0
Tentacruel Ac+Sc/Pbk,620,2,49
Aurorus PS+WBI/MeB,310,12,0
Ninetales (Alolan) (Shadow) PS+WBI/CW,398,12,0
Cresselia (Shadow) PC+GK/M,612,2,46
Goodra DB+AT/PW,483,36,0
Malamar (Mega) Psy+FoP/SP,359,20,0
Seaking Pk+DR/IW,479,18,0
Cobalion DK+SSw/SE,762,2,107
Kommo-o DT+ClS/UH,178,46,0
Latias DB+MsB/AuS,522,4,9
Miltank RO+BS/IB,353,2,0
Golisopod FC+XS/AJ,649,2,61
Melmetal TS+DbI/DyP,620,2,49
Milotic (Shadow) W+AT/Wr,683,2,75
Ninetales E+WBF/EB,715,2,88
Samurott FC+HC/Mh,620,2,49
Toucannon (Shadow) Pk+BBl/DrlP,399,20,0
Articuno PS+IW/Hu,278,36,0
Feraligatr SC+HC/IB,474,52,0
Raikou TS+WC/AuS,801,78,123
Tentacruel (Shadow) Ac+Sc/Pbk,573,2,30
Toucannon Pk+BBl/DrlP,279,36,0
Aurorus (Shadow) PS+WBI/MeB,357,4,0
Cradily (Shadow) Ac+RT/GK,466,50,0
Kyurem DB+G/DC,204,54,0
Primarina W+DV/HC,605,52,43
Swampert MS+HC/Eq,440,52,0
Altaria (Mega) DB+SA/M,372,12,0
Gyarados DB+AT/Tw,428,20,0
Hippowdon SdA+WBR/EP,502,2,1
Raikou (Shadow) TS+WC/AuS,901,4,164
Steelix TF+PsF/Eq,632,0,54
Ninetales (Shadow) E+WBF/EB,637,2,56
Samurott (Shadow) FC+HC/Mh,625,28,51
Stunfisk TS+MB/D,598,18,40
Crustle (Shadow) FC+XS/RW,593,44,38
Poliwrath MS+IW/DyP,389,10,0
Abomasnow (Shadow) PS+WBI/EB,423,12,0
Hippowdon (Shadow) SdA+WBR/EP,461,36,0
Drapion (Shadow) PSt+AT/Cr,336,20,0
Orthworm MSl+RT/Eq,490,50,0
Runerigus SC+RT/SB,406,12,0
Seismitoad MS+EP/IW,406,10,0
Steelix (Shadow) TF+PsF/Cr,622,18,50
Blastoise (Shadow) RO+HC/IB,512,2,5
Dudunsparce RO+BS/DR,412,34,0
Jirachi Cf+DD/AuS,678,4,73
Primeape KC+RF/CC,583,28,34
Regirock LO+SE/FB,472,26,0
Forretress (Shadow) VS+RT/ST,585,26,35
Stunfisk (Galarian) MS+RS/Eq,605,34,43
Grimmsnarl SkP+FoP/PR,140,46,0
Latias (Shadow) DB+MsB/AuS,386,54,0
Lugia DT+A/Fl,472,52,0
Sandslash (Alolan) PS+IP/DR,330,20,0
Gyarados (Shadow) DB+AT/Tw,493,12,0
Mandibuzz Sn+FoP/SB,348,2,0
Tapu Fini WG+S/NM,590,2,37
Articuno (Shadow) PS+IW/Hu,328,28,0
Cofagrigus SC+SB/DP,474,12,0
Sandslash (Alolan) (Shadow) PS+IP/DR,391,12,0
Gastrodon MSl+BS/EP,588,2,36
Skeledirge I+TSo/SB,588,4,36
Mantine WA+Tw/WP,526,2,11
Nidoqueen MSl+PF/EP,588,2,36
Bronzong Cf+WBW/Pbk,561,12,25
Greedent MS+BS/TBl,531,8,13
Oinkologne (Female) MSl+BS/TBl,388,42,0
Abomasnow PS+WBI/EB,352,12,0
Primeape (Shadow) KC+RF/IP,752,4,103
Zapdos TS+DrlP/Tb,595,36,39
Coalossal FS+RS/FmC,568,0,28
Machamp (Shadow) KC+CrC/RS,779,12,114
Spiritomb SkP+SB/RT,346,12,0
Ampharos VS+BrS/TBl,464,52,0
Bombirdier SkP+Fl/RT,335,20,0
Ludicolo A+WBW/EB,377,44,0
Umbreon Sn+FoP/LR,306,2,0
Solrock Psy+WBF/RS,671,4,70
Swampert (Shadow) MS+HC/Eq,504,44,2
Trevenant (Shadow) SC+SB/SeB,324,46,0
Zapdos (Shadow) TS+DrlP/Tb,737,4,97
Latias (Mega) DB+AuS/MsB,507,4,3
Giratina (Origin) SC+SB/DgP,269,54,0
Gourgeist (Super) I+SB/SeB,610,28,45
Cetitan PS+ISp/SP,362,20,0
Blaziken (Shadow) E+AuS/BB,735,4,96
Gliscor WA+Acr/NS,403,52,0
Slurpuff FW+EB/Ft,620,2,49
Trevenant SC+SB/SeB,288,46,0
Hydreigon DB+BrS/DgP,123,46,0
Lunatone Psy+WBI/RS,661,4,66
Ampharos (Shadow) VS+BrS/TBl,531,28,13
Gallade (Shadow) PC+CC/LB,703,4,83
Politoed MS+WBW/Eq,735,2,96
Politoed (Shadow) MS+WBW/Eq,439,52,0
Poliwrath (Shadow) MS+IW/DyP,454,10,0
Zeraora VS+PF/WC,683,36,75
Rapidash (Shadow) I+WC/DR,698,4,81
Talonflame I+Fl/BrB,531,2,13
Gourgeist (Average) I+SB/SeB,627,12,52
Virizion DK+LB/SSw,688,2,77
Drifblim H+IW/SB,502,36,1
Gourgeist (Large) I+SB/SeB,607,20,44
Rapidash I+WC/DR,605,36,43
Dodrio Pk+DrlP/BrB,343,20,0
Uxie Cf+Sw/FS,750,2,102
Nidoqueen (Shadow) MSl+PF/EP,450,52,0
Regice LO+T/Bl,462,18,0
Magnezone VS+WC/MrS,698,36,81
Mawile (Mega) FW+VG/IH,517,2,7
Pelipper WA+WBW/Hu,610,2,45
Toxicroak (Shadow) PSt+DyP/SB,590,4,37
Xerneas Geo+CC/M,407,20,0
Flamigo WA+UH/BrB,757,20,105
Golurk (Shadow) A+ShP/DyP,334,38,0
Conkeldurr (Shadow) FPm+DyP/BrS,725,4,92
Drifblim (Shadow) H+SB/IW,272,46,0
Heracross FC+UH/RT,561,2,25
Latios (Shadow) DB+AuS/LrP,450,54,0
Pangoro KC+CC/NS,401,36,0
Dragonite (Shadow) DB+TP/SP,602,4,42
Skuntank (Shadow) PJ+Cr/TBl,568,2,28
Bellossom (Shadow) Ac+LB/DG,607,2,44
Lucario FPm+AuS/SB,818,12,130
Perrserker SC+CC/FoP,422,20,0
Throh LK+FB/BS,799,10,122
Yveltal SkP+DP/ObW,284,12,0
Garganacl MS+RB/RT,462,8,0
Regirock (Shadow) LO+SE/FB,531,2,13
Skuntank PJ+Cr/TBl,607,2,44
Palossand A+SB/ST,491,4,0
Genesect (Shock) FC+XS/TBS,720,20,90
Machamp KC+CrC/RS,659,52,65
Victini Cf+VC/Psh,696,4,80
Decidueye (Hisuian) PC+AuS/TBl,541,2,17
Electivire (Shadow) TS+WC/IP,705,4,84
Electrode (Hisuian) TS+WC/EB,723,2,91
Gallade PC+CC/LB,732,4,95
Genesect (Burn) FC+XS/TBB,720,20,90
Gourgeist (Small) I+SB/SeB,617,4,48
Greninja (Shadow) WSh+HC/NS,476,28,0
Toxicroak PSt+DyP/SB,605,36,43
Cofagrigus (Shadow) SC+SB/DP,284,54,0
Starmie (Shadow) Psy+AJ/PG,639,4,57
Latios DB+AuS/LrP,343,54,0
Slowbro Cf+DrP/IB,781,20,115
Victreebel (Shadow) Ac+LB/SlB,774,4,112
Amoonguss (Shadow) A+FoP/GK,395,28,0
Avalugg IF+IW/Cr,283,28,0
Genesect (Chill) FC+XS/TBC,519,20,8
Hawlucha LK+FlP/AA,683,2,75
Victreebel Ac+LB/SlB,651,36,62
Blaziken E+AuS/BB,747,12,101
Conkeldurr FPm+DyP/BrS,718,36,89
Magnezone (Shadow) VS+WC/MrS,781,12,115
Mew SC+Psh/WC,696,4,80
Barbaracle FC+CrC/SE,627,2,52
Dhelmise SC+SB/BrS,282,38,0
Reshiram (Shadow) DB+FuF/SE,288,54,0
Electivire TS+WC/IP,556,20,23
Flygon (Shadow) DT+Tw/ST,206,38,0
Abomasnow (Mega) PS+WBI/EB,425,12,0
Camerupt I+EP/RT,627,2,52
Gholdengo H+SB/PG,329,46,0
Oinkologne MSl+BS/TBl,428,42,0
Starmie Psy+AJ/PG,666,4,68
Armarouge I+Psh/FmC,737,4,97
Golurk A+ShP/DyP,509,4,4
Palkia DB+AT/DM,255,54,0
Typhlosion I+BB/TP,691,44,78
Typhlosion (Shadow) I+BB/TP,688,4,77
Clodsire PSt+SE/Eq,595,50,39
Ferrothorn BS+PW/FC,723,10,91
Flygon DT+Tw/ST,522,12,9
Zygarde (50% Forme) DT+Cr/Eq,445,44,0
Decidueye A+FP/SSh,551,4,21
Gogoat VW+LB/RS,644,2,59
Palkia (Origin) DB+AT/DM,261,54,0
Gliscor (Shadow) WA+Acr/NS,447,28,0
Salamence (Shadow) DT+Fl/BrS,281,46,0
Bellossom Ac+LB/DG,649,2,61
Dubwool DK+BS/Pbk,434,26,0
Marshadow SC+CC/TP,666,4,68
