Pokemon,Battle Rating,Energy Remaining,HP Remaining
Lapras Psy+SpA/IB,495,6,0
Corviknight SdA+AC/Pbk,445,40,0
Registeel LO+FC/ZC,458,29,0
Florges FW+CW/DV,118,2,0
Grumpig Psy+DyP/SB,683,3,126
Giratina (Altered) DB+DC/SS,534,3,24
Dusknoir A+DyP/ShP,610,3,76
Corviknight (Shadow) SdA+AC/Pbk,612,4,77
Regidrago DB+DrE/VG,347,14,0
Dusknoir (Shadow) A+DyP/ShP,536,28,25
Moltres (Galarian) SkP+Fl/BrB,414,41,0
Clefable FW+MM/M,157,16,0
Walrein PS+ISp/Eq,375,3,0
Cresselia PC+GK/M,569,4,48
Lapras (Shadow) Psy+SpA/IB,581,4,56
Cradily Ac+RT/GK,422,18,0
Dondozo W+S/O,555,6,38
Kingdra DB+S/Sw,530,3,21
Walrein (Shadow) PS+ISp/Eq,322,4,0
Annihilape (Shadow) LK+RF/CC,323,2,0
Empoleon (Shadow) MSo+HC/DrlP,501,5,1
Malamar (Shadow) Psy+FoP/SP,913,3,284
Giratina (Altered) (Shadow) DB+DC/SS,472,16,0
Grumpig (Shadow) Psy+DyP/SB,637,3,94
Lickilicky RO+BS/SB,561,6,42
Annihilape LK+RF/CC,262,2,0
Forretress VS+RT/ST,517,19,12
Empoleon MSo+HC/DrlP,537,4,26
Blastoise RO+HC/SkB,543,6,30
Doublade SC+SSw/GB,708,3,143
Kingdra (Shadow) DB+S/Sw,568,16,47
Malamar Psy+FoP/SP,642,4,98
Togekiss Pk+Psh/AuS,271,15,0
Aromatisse FW+Psh/M,156,16,0
Oranguru Cf+BrS/TBl,758,5,177
Ninetales (Alolan) PS+WBI/CW,234,3,0
Feraligatr (Shadow) SC+HC/IB,572,3,50
Weezing (Galarian) (Shadow) FW+BrS/Sl,200,16,0
Weezing (Galarian) FW+BrS/Sl,251,3,0
Milotic W+AT/Wr,562,4,43
Registeel (Shadow) LO+FC/ZC,434,4,0
Crustle FC+XS/RW,306,38,0
Guzzlord DT+BrS/DC,384,3,0
Turtonator I+BrS/DC,612,3,77
Drapion PSt+Cr/AT,561,18,42
Hydreigon (Shadow) DB+BrS/Fl,507,4,5
Sylveon FW+M/SB,147,26,0
Dragalge DT+AT/O,333,14,0
Tentacruel Ac+Sc/Pbk,669,4,116
Aurorus PS+WBI/MeB,278,38,0
Ninetales (Alolan) (Shadow) PS+WBI/CW,158,14,0
Cresselia (Shadow) PC+GK/M,321,16,0
Goodra DB+AT/PW,616,3,80
Malamar (Mega) Psy+FoP/SP,647,74,101
Seaking Pk+DR/IW,406,27,0
Cobalion DK+SSw/SE,182,38,0
Kommo-o DT+ClS/UH,339,14,0
Latias DB+MsB/AuS,558,4,40
Miltank RO+BS/IB,384,17,0
Golisopod FC+XS/AJ,361,28,0
Melmetal TS+DbI/DyP,382,15,0
Milotic (Shadow) W+AT/Wr,680,5,124
Ninetales E+WBF/EB,677,7,122
Samurott FC+HC/Mh,360,16,0
Toucannon (Shadow) Pk+BBl/DrlP,496,16,0
Articuno PS+IW/Hu,334,27,0
Feraligatr SC+HC/IB,637,5,94
Raikou TS+WC/AuS,677,3,122
Tentacruel (Shadow) Ac+Sc/Pbk,631,17,90
Toucannon Pk+BBl/DrlP,629,3,89
Aurorus (Shadow) PS+WBI/MeB,334,16,0
Cradily (Shadow) Ac+RT/GK,413,29,0
Kyurem DB+G/DC,375,14,0
Primarina W+DV/HC,178,26,0
Swampert MS+HC/Eq,638,5,95
Altaria (Mega) DB+SA/M,216,38,0
Gyarados DB+AT/Tw,505,3,4
Hippowdon SdA+WBR/EP,440,27,0
Raikou (Shadow) TS+WC/AuS,613,28,78
Steelix TF+PsF/Eq,615,7,79
Ninetales (Shadow) E+WBF/EB,712,3,146
Samurott (Shadow) FC+HC/Mh,397,26,0
Stunfisk TS+MB/D,651,6,104
Crustle (Shadow) FC+XS/RW,310,2,0
Poliwrath MS+IW/DyP,341,15,0
Abomasnow (Shadow) PS+WBI/EB,316,14,0
Hippowdon (Shadow) SdA+WBR/EP,421,40,0
Drapion (Shadow) PSt+AT/Cr,604,19,72
Orthworm MSl+RT/Eq,402,6,0
Runerigus SC+RT/SB,739,4,164
Seismitoad MS+EP/IW,459,6,0
Steelix (Shadow) TF+PsF/Cr,714,8,147
Blastoise (Shadow) RO+HC/IB,578,5,54
Dudunsparce RO+BS/DR,518,4,13
Jirachi Cf+DD/AuS,699,3,137
Primeape KC+RF/CC,268,37,0
Regirock LO+SE/FB,414,29,0
Forretress (Shadow) VS+RT/ST,676,4,121
Stunfisk (Galarian) MS+RS/Eq,434,16,0
Grimmsnarl SkP+FoP/PR,227,3,0
Latias (Shadow) DB+MsB/AuS,749,2,171
Lugia DT+A/Fl,426,3,0
Sandslash (Alolan) PS+IP/DR,354,15,0
Gyarados (Shadow) DB+AT/Tw,371,14,0
Mandibuzz Sn+FoP/SB,634,6,92
Tapu Fini WG+S/NM,223,27,0
Articuno (Shadow) PS+IW/Hu,300,16,0
Cofagrigus SC+SB/DP,782,3,194
Sandslash (Alolan) (Shadow) PS+IP/DR,246,14,0
Gastrodon MSl+BS/EP,436,27,0
Skeledirge I+TSo/SB,737,3,163
Mantine WA+Tw/WP,412,15,0
Nidoqueen MSl+PF/EP,461,39,0
