Pokemon,Battle Rating,Energy Remaining,HP Remaining
Lapras Psy+SpA/IB,454,12,0
Corviknight SdA+AC/Pbk,546,0,15
Registeel LO+FC/ZC,261,7,0
Florges FW+CW/DV,251,54,0
Grumpig Psy+DyP/SB,298,46,0
Giratina (Altered) DB+DC/SS,448,23,0
Dusknoir A+DyP/ShP,537,3,12
Corviknight (Shadow) SdA+AC/Pbk,437,27,0
Regidrago DB+DrE/VG,307,73,0
Dusknoir (Shadow) A+DyP/ShP,369,26,0
Moltres (Galarian) SkP+Fl/BrB,300,34,0
Clefable FW+MM/M,356,27,0
Walrein PS+ISp/Eq,477,19,0
Cresselia PC+GK/M,343,39,0
Lapras (Shadow) Psy+SpA/IB,177,38,0
Cradily Ac+RT/GK,338,15,0
Dondozo W+S/O,479,36,0
Kingdra DB+S/Sw,615,3,37
Walrein (Shadow) PS+ISp/Eq,518,7,6
Annihilape (Shadow) LK+RF/CC,609,3,35
Empoleon (Shadow) MSo+HC/DrlP,313,54,0
Malamar (Shadow) Psy+FoP/SP,194,57,0
Giratina (Altered) (Shadow) DB+DC/SS,353,38,0
Grumpig (Shadow) Psy+DyP/SB,222,65,0
Lickilicky RO+BS/SB,333,54,0
Annihilape LK+RF/CC,681,3,58
Forretress VS+RT/ST,273,26,0
Empoleon MSo+HC/DrlP,401,27,0
Blastoise RO+HC/SkB,171,42,0
Doublade SC+SSw/GB,593,7,30
Kingdra (Shadow) DB+S/Sw,506,3,2
Malamar Psy+FoP/SP,559,3,19
Togekiss Pk+Psh/AuS,258,54,0
Aromatisse FW+Psh/M,351,15,0
Oranguru Cf+BrS/TBl,403,15,0
Ninetales (Alolan) PS+WBI/CW,227,46,0
Feraligatr (Shadow) SC+HC/IB,349,30,0
Weezing (Galarian) (Shadow) FW+BrS/Sl,265,38,0
Weezing (Galarian) FW+BrS/Sl,234,38,0
Milotic W+AT/Wr,461,8,0
Registeel (Shadow) LO+FC/ZC,386,7,0
Crustle FC+XS/RW,380,22,0
Guzzlord DT+BrS/DC,628,3,41
Turtonator I+BrS/DC,612,3,36
Drapion PSt+Cr/AT,467,19,0
Hydreigon (Shadow) DB+BrS/Fl,470,10,0
Sylveon FW+M/SB,363,15,0
Dragalge DT+AT/O,353,34,0
Tentacruel Ac+Sc/Pbk,272,27,0
Aurorus PS+WBI/MeB,369,26,0
Ninetales (Alolan) (Shadow) PS+WBI/CW,250,38,0
Cresselia (Shadow) PC+GK/M,275,70,0
Goodra DB+AT/PW,540,3,13
Malamar (Mega) Psy+FoP/SP,477,19,0
Seaking Pk+DR/IW,447,0,0
Cobalion DK+SSw/SE,429,7,0
Kommo-o DT+ClS/UH,277,65,0
Latias DB+MsB/AuS,290,69,0
Miltank RO+BS/IB,270,54,0
Golisopod FC+XS/AJ,690,11,61
Melmetal TS+DbI/DyP,288,38,0
Milotic (Shadow) W+AT/Wr,593,3,30
Ninetales E+WBF/EB,687,3,60
Samurott FC+HC/Mh,681,3,58
Toucannon (Shadow) Pk+BBl/DrlP,462,6,0
Articuno PS+IW/Hu,278,42,0
Feraligatr SC+HC/IB,653,3,49
Raikou TS+WC/AuS,370,10,0
Tentacruel (Shadow) Ac+Sc/Pbk,593,3,30
Toucannon Pk+BBl/DrlP,411,26,0
Aurorus (Shadow) PS+WBI/MeB,408,26,0
Cradily (Shadow) Ac+RT/GK,297,34,0
Kyurem DB+G/DC,426,38,0
Primarina W+DV/HC,455,4,0
Swampert MS+HC/Eq,775,3,88
Altaria (Mega) DB+SA/M,562,3,20
Gyarados DB+AT/Tw,568,3,22
Hippowdon SdA+WBR/EP,700,3,64
Raikou (Shadow) TS+WC/AuS,410,10,0
Steelix TF+PsF/Eq,223,22,0
Ninetales (Shadow) E+WBF/EB,659,34,51
Samurott (Shadow) FC+HC/Mh,653,3,49
Stunfisk TS+MB/D,301,2,0
Crustle (Shadow) FC+XS/RW,718,22,70
Poliwrath MS+IW/DyP,506,17,2
Abomasnow (Shadow) PS+WBI/EB,278,14,0
Hippowdon (Shadow) SdA+WBR/EP,656,3,50
Drapion (Shadow) PSt+AT/Cr,568,3,22
Orthworm MSl+RT/Eq,470,36,0
Runerigus SC+RT/SB,518,3,6
Seismitoad MS+EP/IW,603,8,33
Steelix (Shadow) TF+PsF/Cr,294,2,0
Blastoise (Shadow) RO+HC/IB,328,34,0
Dudunsparce RO+BS/DR,451,7,0
Jirachi Cf+DD/AuS,370,23,0
Primeape KC+RF/CC,452,30,0
Regirock LO+SE/FB,531,3,10
Forretress (Shadow) VS+RT/ST,273,10,0
Stunfisk (Galarian) MS+RS/Eq,488,15,0
Grimmsnarl SkP+FoP/PR,318,26,0
Latias (Shadow) DB+MsB/AuS,488,30,0
Lugia DT+A/Fl,289,50,0
Sandslash (Alolan) PS+IP/DR,327,54,0
Gyarados (Shadow) DB+AT/Tw,618,3,38
Mandibuzz Sn+FoP/SB,369,55,0
Tapu Fini WG+S/NM,404,28,0
Articuno (Shadow) PS+IW/Hu,453,7,0
Cofagrigus SC+SB/DP,478,19,0
Sandslash (Alolan) (Shadow) PS+IP/DR,327,38,0
Gastrodon MSl+BS/EP,737,31,76
Skeledirge I+TSo/SB,438,30,0
Mantine WA+Tw/WP,308,31,0
Nidoqueen MSl+PF/EP,596,3,31
Bronzong Cf+WBW/Pbk,312,42,0
Greedent MS+BS/TBl,640,0,45
Oinkologne (Female) MSl+BS/TBl,612,0,36
