Pokemon,Battle Rating,Energy Remaining,HP Remaining
Lapras Psy+SpA/IB,634,10,62
Corviknight SdA+AC/Pbk,393,50,0
Registeel LO+FC/ZC,241,18,0
Florges FW+CW/DV,632,2,61
Grumpig Psy+DyP/SB,233,41,0
Giratina (Altered) DB+DC/SS,571,2,33
Dusknoir A+DyP/ShP,415,57,0
Corviknight (Shadow) SdA+AC/Pbk,699,10,92
Regidrago DB+DrE/VG,502,2,1
Dusknoir (Shadow) A+DyP/ShP,424,45,0
Moltres (Galarian) SkP+Fl/BrB,515,2,7
Clefable FW+MM/M,584,10,39
Walrein PS+ISp/Eq,621,2,56
Cresselia PC+GK/M,305,30,0
Lapras (Shadow) Psy+SpA/IB,564,18,30
Cradily Ac+RT/GK,388,53,0
Dondozo W+S/O,612,18,52
Kingdra DB+S/Sw,577,2,36
Walrein (Shadow) PS+ISp/Eq,668,2,78
Annihilape (Shadow) LK+RF/CC,430,17,0
Empoleon (Shadow) MSo+HC/DrlP,382,53,0
Malamar (Shadow) Psy+FoP/SP,269,29,0
Giratina (Altered) (Shadow) DB+DC/SS,519,2,9
Grumpig (Shadow) Psy+DyP/SB,336,41,0
Lickilicky RO+BS/SB,485,18,0
Annihilape LK+RF/CC,425,29,0
Forretress VS+RT/ST,187,57,0
Empoleon MSo+HC/DrlP,541,2,19
Blastoise RO+HC/SkB,510,2,5
Doublade SC+SSw/GB,346,6,0
Kingdra (Shadow) DB+S/Sw,621,2,56
Malamar Psy+FoP/SP,247,49,0
Togekiss Pk+Psh/AuS,456,29,0
Aromatisse FW+Psh/M,318,57,0
Oranguru Cf+BrS/TBl,230,57,0
Ninetales (Alolan) PS+WBI/CW,781,2,130
Feraligatr (Shadow) SC+HC/IB,688,21,87
Weezing (Galarian) (Shadow) FW+BrS/Sl,610,17,51
Weezing (Galarian) FW+BrS/Sl,647,37,68
Milotic W+AT/Wr,653,10,71
Registeel (Shadow) LO+FC/ZC,266,6,0
Crustle FC+XS/RW,343,41,0
Guzzlord DT+BrS/DC,590,2,42
Turtonator I+BrS/DC,554,2,25
Drapion PSt+Cr/AT,496,10,0
Hydreigon (Shadow) DB+BrS/Fl,729,9,106
Sylveon FW+M/SB,340,57,0
Dragalge DT+AT/O,690,33,88
Tentacruel Ac+Sc/Pbk,575,2,35
Aurorus PS+WBI/MeB,341,6,0
Ninetales (Alolan) (Shadow) PS+WBI/CW,753,2,117
Cresselia (Shadow) PC+GK/M,195,45,0
Goodra DB+AT/PW,456,49,0
Malamar (Mega) Psy+FoP/SP,261,45,0
Seaking Pk+DR/IW,564,2,30
Cobalion DK+SSw/SE,256,45,0
Kommo-o DT+ClS/UH,692,17,89
Latias DB+MsB/AuS,389,29,0
Miltank RO+BS/IB,534,18,16
Golisopod FC+XS/AJ,460,53,0
Melmetal TS+DbI/DyP,227,29,0
Milotic (Shadow) W+AT/Wr,595,2,44
Ninetales E+WBF/EB,399,45,0
Samurott FC+HC/Mh,569,2,32
Toucannon (Shadow) Pk+BBl/DrlP,725,1,104
Articuno PS+IW/Hu,712,2,98
Feraligatr SC+HC/IB,601,2,47
Raikou TS+WC/AuS,344,21,0
Tentacruel (Shadow) Ac+Sc/Pbk,494,49,0
Toucannon Pk+BBl/DrlP,623,41,57
Aurorus (Shadow) PS+WBI/MeB,322,25,0
Cradily (Shadow) Ac+RT/GK,436,53,0
Kyurem DB+G/DC,545,37,21
Primarina W+DV/HC,608,2,50
Swampert MS+HC/Eq,603,2,48
Altaria (Mega) DB+SA/M,634,45,62
Gyarados DB+AT/Tw,593,2,43
Hippowdon SdA+WBR/EP,423,57,0
Raikou (Shadow) TS+WC/AuS,450,17,0
Steelix TF+PsF/Eq,349,26,0
Ninetales (Shadow) E+WBF/EB,415,29,0
Samurott (Shadow) FC+HC/Mh,638,21,64
Stunfisk TS+MB/D,580,2,37
Crustle (Shadow) FC+XS/RW,353,25,0
Poliwrath MS+IW/DyP,457,45,0
Abomasnow (Shadow) PS+WBI/EB,418,45,0
Hippowdon (Shadow) SdA+WBR/EP,584,33,39
Drapion (Shadow) PSt+AT/Cr,593,2,43
Orthworm MSl+RT/Eq,298,34,0
Runerigus SC+RT/SB,515,2,7
Seismitoad MS+EP/IW,593,2,43
Steelix (Shadow) TF+PsF/Cr,383,6,0
Blastoise (Shadow) RO+HC/IB,564,2,30
Dudunsparce RO+BS/DR,558,2,27
Jirachi Cf+DD/AuS,189,45,0
Primeape KC+RF/CC,515,17,7
Regirock LO+SE/FB,295,37,0
Forretress (Shadow) VS+RT/ST,233,57,0
Stunfisk (Galarian) MS+RS/Eq,429,14,0
Grimmsnarl SkP+FoP/PR,313,57,0
Latias (Shadow) DB+MsB/AuS,634,5,62
Lugia DT+A/Fl,627,2,59
Sandslash (Alolan) PS+IP/DR,419,58,0
Gyarados (Shadow) DB+AT/Tw,735,9,109
Mandibuzz Sn+FoP/SB,560,3,28
Tapu Fini WG+S/NM,718,2,101
Articuno (Shadow) PS+IW/Hu,642,2,66
Cofagrigus SC+SB/DP,515,2,7
Sandslash (Alolan) (Shadow) PS+IP/DR,590,2,42
Gastrodon MSl+BS/EP,525,2,12
Skeledirge I+TSo/SB,261,49,0
Mantine WA+Tw/WP,696,2,91
Nidoqueen MSl+PF/EP,670,57,79
Bronzong Cf+WBW/Pbk,342,10,0
Greedent MS+BS/TBl,413,6,0
Oinkologne (Female) MSl+BS/TBl,595,10,44
Abomasnow PS+WBI/EB,330,57,0
Primeape (Shadow) KC+RF/IP,731,5,107
Zapdos TS+DrlP/Tb,597,17,45
Coalossal FS+RS/FmC,206,57,0
Machamp (Shadow) KC+CrC/RS,487,13,0
Spiritomb SkP+SB/RT,488,6,0
Ampharos VS+BrS/TBl,328,29,0
Bombirdier SkP+Fl/RT,421,57,0
Ludicolo A+WBW/EB,345,57,0
Umbreon Sn+FoP/LR,347,78,0
Solrock Psy+WBF/RS,320,41,0
Swampert (Shadow) MS+HC/Eq,658,33,73
Trevenant (Shadow) SC+SB/SeB,694,1,90
Zapdos (Shadow) TS+DrlP/Tb,532,1,15
Latias (Mega) DB+AuS/MsB,448,29,0
Giratina (Origin) SC+SB/DgP,433,57,0
Gourgeist (Super) I+SB/SeB,564,2,30
Cetitan PS+ISp/SP,612,2,52
Blaziken (Shadow) E+AuS/BB,580,21,37
Gliscor WA+Acr/NS,753,1,117
Slurpuff FW+EB/Ft,506,2,3
Trevenant SC+SB/SeB,479,45,0
Hydreigon DB+BrS/DgP,463,57,0
Lunatone Psy+WBI/RS,320,41,0
Ampharos (Shadow) VS+BrS/TBl,470,5,0
Gallade (Shadow) PC+CC/LB,473,13,0
Politoed MS+WBW/Eq,621,18,56
Politoed (Shadow) MS+WBW/Eq,549,2,23
Poliwrath (Shadow) MS+IW/DyP,468,5,0
Zeraora VS+PF/WC,411,9,0
Rapidash (Shadow) I+WC/DR,543,1,20
Talonflame I+Fl/BrB,351,49,0
Gourgeist (Average) I+SB/SeB,560,2,28
Virizion DK+LB/SSw,435,21,0
Drifblim H+IW/SB,536,2,17
Gourgeist (Large) I+SB/SeB,564,2,30
Rapidash I+WC/DR,451,29,0
Dodrio Pk+DrlP/BrB,761,1,121
Uxie Cf+Sw/FS,388,50,0
Nidoqueen (Shadow) MSl+PF/EP,696,9,91
Regice LO+T/Bl,558,14,27
Magnezone VS+WC/MrS,295,25,0
Mawile (Mega) FW+VG/IH,396,42,0
Pelipper WA+WBW/Hu,580,2,37
Toxicroak (Shadow) PSt+DyP/SB,582,1,38
Xerneas Geo+CC/M,350,33,0
Flamigo WA+UH/BrB,696,1,91
Golurk (Shadow) A+ShP/DyP,757,1,119
Conkeldurr (Shadow) FPm+DyP/BrS,491,5,0
Drifblim (Shadow) H+SB/IW,686,33,86
Heracross FC+UH/RT,486,9,0
Latios (Shadow) DB+AuS/LrP,616,1,54
Pangoro KC+CC/NS,335,21,0
Dragonite (Shadow) DB+TP/SP,870,1,171
Skuntank (Shadow) PJ+Cr/TBl,357,53,0
Bellossom (Shadow) Ac+LB/DG,450,21,0
Lucario FPm+AuS/SB,351,17,0
Perrserker SC+CC/FoP,321,25,0
Throh LK+FB/BS,289,25,0
Yveltal SkP+DP/ObW,625,2,58
Garganacl MS+RB/RT,366,22,0
Regirock (Shadow) LO+SE/FB,327,37,0
Skuntank PJ+Cr/TBl,321,53,0
Palossand A+SB/ST,564,2,30
Genesect (Shock) FC+XS/TBS,354,45,0
Machamp KC+CrC/RS,465,21,0
Victini Cf+VC/Psh,519,2,9
Decidueye (Hisuian) PC+AuS/TBl,703,21,94
Electivire (Shadow) TS+WC/IP,137,52,0
Electrode (Hisuian) TS+WC/EB,478,29,0
Gallade PC+CC/LB,379,21,0
Genesect (Burn) FC+XS/TBB,362,49,0
Gourgeist (Small) I+SB/SeB,519,61,9
Greninja (Shadow) WSh+HC/NS,460,57,0
Toxicroak PSt+DyP/SB,655,5,72
Cofagrigus (Shadow) SC+SB/DP,392,53,0
Starmie (Shadow) Psy+AJ/PG,547,21,22
Latios DB+AuS/LrP,686,5,86
Slowbro Cf+DrP/IB,424,30,0
Victreebel (Shadow) Ac+LB/SlB,629,1,60
Amoonguss (Shadow) A+FoP/GK,584,29,39
Avalugg IF+IW/Cr,733,10,108
Genesect (Chill) FC+XS/TBC,549,2,23
Hawlucha LK+FlP/AA,625,5,58
Victreebel Ac+LB/SlB,688,1,87
Blaziken E+AuS/BB,409,21,0
Conkeldurr FPm+DyP/BrS,424,13,0
Magnezone (Shadow) VS+WC/MrS,98,52,0
Mew SC+Psh/WC,352,57,0
Barbaracle FC+CrC/SE,302,21,0
Dhelmise SC+SB/BrS,694,13,90
Reshiram (Shadow) DB+FuF/SE,512,21,6
Electivire TS+WC/IP,528,21,13
Flygon (Shadow) DT+Tw/ST,755,1,118
Abomasnow (Mega) PS+WBI/EB,379,45,0
Camerupt I+EP/RT,407,49,0
Gholdengo H+SB/PG,316,45,0
Oinkologne MSl+BS/TBl,311,57,0
Starmie Psy+AJ/PG,333,49,0
Armarouge I+Psh/FmC,476,53,0
Golurk A+ShP/DyP,647,9,68
Palkia DB+AT/DM,772,25,126
Typhlosion I+BB/TP,440,29,0
Typhlosion (Shadow) I+BB/TP,670,1,79
Clodsire PSt+SE/Eq,549,2,23
Ferrothorn BS+PW/FC,231,45,0
Flygon DT+Tw/ST,798,1,138
Zygarde (50% Forme) DT+Cr/Eq,841,1,158
