Pokemon,Battle Rating,Energy Remaining,HP Remaining
Lapras Psy+SpA/IB,564,18,30
Corviknight SdA+AC/Pbk,699,10,92
Registeel LO+FC/ZC,261,6,0
Florges FW+CW/DV,584,2,39
Grumpig Psy+DyP/SB,336,41,0
Giratina (Altered) DB+DC/SS,523,2,11
Dusknoir A+DyP/ShP,424,45,0
Corviknight (Shadow) SdA+AC/Pbk,668,2,78
Regidrago DB+DrE/VG,662,41,75
Dusknoir (Shadow) A+DyP/ShP,432,29,0
Moltres (Galarian) SkP+Fl/BrB,411,53,0
Clefable FW+MM/M,403,45,0
Walrein PS+ISp/Eq,668,2,78
Cresselia PC+GK/M,197,53,0
Lapras (Shadow) Psy+SpA/IB,586,2,40
Cradily Ac+RT/GK,436,53,0
Dondozo W+S/O,699,2,92
Kingdra DB+S/Sw,621,2,56
Walrein (Shadow) PS+ISp/Eq,619,45,55
Annihilape (Shadow) LK+RF/CC,179,52,0
Empoleon (Shadow) MSo+HC/DrlP,417,53,0
Malamar (Shadow) Psy+FoP/SP,311,29,0
Giratina (Altered) (Shadow) DB+DC/SS,621,37,56
Grumpig (Shadow) Psy+DyP/SB,377,41,0
Lickilicky RO+BS/SB,541,2,19
Annihilape LK+RF/CC,430,17,0
Forretress VS+RT/ST,233,57,0
Empoleon MSo+HC/DrlP,382,53,0
Blastoise RO+HC/SkB,487,10,0
Doublade SC+SSw/GB,339,53,0
Kingdra (Shadow) DB+S/Sw,610,1,51
Malamar Psy+FoP/SP,269,29,0
Togekiss Pk+Psh/AuS,629,17,60
Aromatisse FW+Psh/M,424,57,0
Oranguru Cf+BrS/TBl,337,57,0
Ninetales (Alolan) PS+WBI/CW,753,2,117
Feraligatr (Shadow) SC+HC/IB,753,1,117
Weezing (Galarian) (Shadow) FW+BrS/Sl,725,17,104
Weezing (Galarian) FW+BrS/Sl,610,17,51
Milotic W+AT/Wr,595,2,44
Registeel (Shadow) LO+FC/ZC,188,53,0
Crustle FC+XS/RW,353,25,0
Guzzlord DT+BrS/DC,387,57,0
Turtonator I+BrS/DC,390,49,0
Drapion PSt+Cr/AT,593,2,43
Hydreigon (Shadow) DB+BrS/Fl,688,1,87
Sylveon FW+M/SB,369,53,0
Dragalge DT+AT/O,677,13,82
Tentacruel Ac+Sc/Pbk,494,49,0
Aurorus PS+WBI/MeB,322,25,0
Ninetales (Alolan) (Shadow) PS+WBI/CW,707,2,96
Cresselia (Shadow) PC+GK/M,316,25,0
Goodra DB+AT/PW,601,41,47
Malamar (Mega) Psy+FoP/SP,284,29,0
Seaking Pk+DR/IW,653,21,71
Cobalion DK+SSw/SE,240,21,0
Kommo-o DT+ClS/UH,662,1,75
Latias DB+MsB/AuS,621,13,56
Miltank RO+BS/IB,521,14,10
Golisopod FC+XS/AJ,333,49,0
Melmetal TS+DbI/DyP,272,5,0
Milotic (Shadow) W+AT/Wr,632,29,61
Ninetales E+WBF/EB,415,29,0
Samurott FC+HC/Mh,638,21,64
Toucannon (Shadow) Pk+BBl/DrlP,675,1,81
Articuno PS+IW/Hu,645,2,67
Feraligatr SC+HC/IB,688,21,87
Raikou TS+WC/AuS,440,17,0
Tentacruel (Shadow) Ac+Sc/Pbk,638,5,64
Toucannon Pk+BBl/DrlP,725,1,104
Aurorus (Shadow) PS+WBI/MeB,250,5,0
Cradily (Shadow) Ac+RT/GK,554,21,25
Kyurem DB+G/DC,636,9,63
Primarina W+DV/HC,735,1,109
Swampert MS+HC/Eq,658,33,73
Altaria (Mega) DB+SA/M,722,9,103
Gyarados DB+AT/Tw,735,9,109
Hippowdon SdA+WBR/EP,584,33,39
Raikou (Shadow) TS+WC/AuS,109,44,0
Steelix TF+PsF/Eq,389,14,0
Ninetales (Shadow) E+WBF/EB,336,21,0
Samurott (Shadow) FC+HC/Mh,588,1,41
Stunfisk TS+MB/D,467,57,0
Crustle (Shadow) FC+XS/RW,140,56,0
Poliwrath MS+IW/DyP,468,5,0
Abomasnow (Shadow) PS+WBI/EB,562,21,29
Hippowdon (Shadow) SdA+WBR/EP,714,1,99
Drapion (Shadow) PSt+AT/Cr,502,2,1
Orthworm MSl+RT/Eq,337,10,0
Runerigus SC+RT/SB,446,53,0
Seismitoad MS+EP/IW,532,2,15
Steelix (Shadow) TF+PsF/Cr,257,53,0
Blastoise (Shadow) RO+HC/IB,601,29,47
Dudunsparce RO+BS/DR,396,57,0
Jirachi Cf+DD/AuS,213,45,0
Primeape KC+RF/CC,149,44,0
Regirock LO+SE/FB,323,37,0
Forretress (Shadow) VS+RT/ST,285,21,0
Stunfisk (Galarian) MS+RS/Eq,485,14,0
Grimmsnarl SkP+FoP/PR,422,45,0
Latias (Shadow) DB+MsB/AuS,595,1,44
Lugia DT+A/Fl,558,2,27
Sandslash (Alolan) PS+IP/DR,590,2,42
Gyarados (Shadow) DB+AT/Tw,675,1,81
Mandibuzz Sn+FoP/SB,705,2,95
Tapu Fini WG+S/NM,688,2,87
Articuno (Shadow) PS+IW/Hu,666,17,77
Cofagrigus SC+SB/DP,392,53,0
Sandslash (Alolan) (Shadow) PS+IP/DR,517,14,8
Gastrodon MSl+BS/EP,508,2,4
Skeledirge I+TSo/SB,355,49,0
Mantine WA+Tw/WP,632,2,61
Nidoqueen MSl+PF/EP,696,9,91
Bronzong Cf+WBW/Pbk,345,6,0
Greedent MS+BS/TBl,354,57,0
Oinkologne (Female) MSl+BS/TBl,379,57,0
Abomasnow PS+WBI/EB,418,45,0
Primeape (Shadow) KC+RF/IP,690,1,88
Zapdos TS+DrlP/Tb,534,1,16
Coalossal FS+RS/FmC,223,57,0
Machamp (Shadow) KC+CrC/RS,584,1,39
Spiritomb SkP+SB/RT,547,2,22
Ampharos VS+BrS/TBl,470,5,0
Bombirdier SkP+Fl/RT,486,57,0
Ludicolo A+WBW/EB,363,45,0
Umbreon Sn+FoP/LR,378,54,0
Solrock Psy+WBF/RS,348,33,0
Swampert (Shadow) MS+HC/Eq,606,9,49
Trevenant (Shadow) SC+SB/SeB,640,1,65
Zapdos (Shadow) TS+DrlP/Tb,142,56,0
Latias (Mega) DB+AuS/MsB,629,1,60
Giratina (Origin) SC+SB/DgP,660,25,74
