Pokemon,Battle Rating,Energy Remaining,HP Remaining
Abomasnow PS+WBI/EB,355,14,0
Abomasnow (Mega) PS+WBI/EB,415,1,0
Abomasnow (Shadow) PS+WBI/EB,204,38,0
Absol PC+BrS/Mh,567,0,29
Absol (Mega) PC+DP/Mh,525,0,11
Absol (Shadow) PC+BrS/Mh,644,4,62
Accelgor WSh+EB/BBu,667,14,72
Accelgor (Shadow) WSh+EB/BBu,700,1,86
Aegislash (Shield) PC+SB/FC,727,17,98
Aerodactyl DB+RS/EP,429,1,0
Aerodactyl (Mega) DB+RS/EP,676,1,76
Aerodactyl (Shadow) DB+RS/EP,602,1,44
Aggron DT+RT/T,405,26,0
Aggron (Mega) DT+MeB/RT,400,27,0
Aggron (Shadow) DT+RT/T,361,14,0
Alakazam PC+FiP/SB,876,2,162
Alakazam (Mega) PC+SB/FiP,867,12,158
Alakazam (Shadow) PC+FiP/SB,855,12,153
Alomomola W+HP/Bl,346,49,0
Altaria DB+SA/Ft,632,6,57
Altaria (Mega) DB+M/DG,404,17,0
Altaria (Shadow) DB+SA/Ft,623,0,53
Ambipom A+AA/Re,651,10,65
Ambipom (Shadow) A+AA/LS,655,50,67
Amoonguss A+FoP/GK,662,9,70
Amoonguss (Shadow) A+FoP/GK,693,0,83
Ampharos VS+BrS/TBl,595,0,41
Ampharos (Mega) VS+BrS/TP,319,41,0
Ampharos (Shadow) VS+BrS/TBl,641,4,61
Annihilape LK+RF/CC,765,4,114
Annihilape (Shadow) LK+RF/CC,683,1,79
Appletun A+EB/O,544,9,19
Araquanid BBi+WP/BBu,623,9,53
Araquanid (Shadow) BBi+WP/BBu,637,0,59
Arbok Ac+DP/SW,632,0,57
Arbok (Shadow) Ac+DP/SW,672,1,74
Arboliva ML+EP/TBl,718,10,94
Arcanine Sn+Cr/Ft,651,0,65
Arcanine (Hisuian) Sn+RS/Cr,548,0,21
Arcanine (Shadow) FF+WC/PsF,551,1,22
Archeops WA+AP/Cr,676,1,76
Archeops (Shadow) WA+AP/Cr,611,1,48
Arctibax DB+Av/DC,392,1,0
Armaldo FC+RB/Li,472,40,0
Armaldo (Shadow) FC+RB/Li,506,4,3
Armarouge I+Psh/FmC,751,1,108
Aromatisse FW+Psh/M,366,17,0
Articuno PS+IW/Hu,328,10,0
Articuno (Galarian) PC+Fl/BrB,679,1,77
Articuno (Shadow) PS+IW/Hu,325,14,0
Audino ZH+BS/DV,774,9,118
Audino (Mega) ZH+DV/HB,381,7,0
Aurorus PS+WBI/MeB,315,14,0
Aurorus (Shadow) PS+WBI/MeB,233,28,0
Avalugg IF+IW/Cr,277,50,0
Avalugg (Hisuian) PS+RS/IW,335,14,0
Azelf Cf+Sw/FS,867,15,158
Azumarill B+PR/IB,586,6,37
Banette SC+SB/DG,713,28,92
Banette (Mega) SC+SB/DG,944,2,191
Banette (Shadow) SC+SB/DG,944,2,191
Barbaracle FC+CrC/SE,365,27,0
Basculin WG+AT/AJ,597,0,42
Bastiodon SD+SE/Ft,348,36,0
Bastiodon (Shadow) SD+SE/Ft,443,36,0
Baxcalibur DB+GlR/Av,432,1,0
Beartic PS+IP/Li,276,41,0
Beedrill PSt+DR/XS,716,4,93
Beedrill (Mega) PSt+DR/XS,632,1,57
Beedrill (Shadow) PSt+DR/XS,669,1,73
Beheeyem Cf+RS/DP,769,1,116
Bellossom Ac+LB/DG,386,30,0
Bellossom (Shadow) Ac+LB/DG,423,27,0
Bewear SC+SP/St,525,22,11
Bewear (Shadow) LK+SP/St,447,23,0
Bibarel RO+S/HF,630,10,56
Bibarel (Shadow) RO+S/HF,604,11,45
Bisharp Sn+DP/IH,539,9,17
Blacephalon I+MdB/SB,711,12,91
Blastoise RO+HC/SkB,448,3,0
Blastoise (Mega) RO+HC/IB,426,14,0
Blastoise (Shadow) RO+HC/IB,376,14,0
Blaziken E+AuS/BB,402,14,0
Blaziken (Mega) E+AuS/BB,506,14,3
Blaziken (Shadow) E+AuS/BB,353,41,0
Blissey ZH+WC/DG,431,33,0
Boldore MSl+RS/Bd,553,0,23
Boldore (Shadow) MSl+RS/Bd,725,1,97
Boltund Sp+Cr/T,490,27,0
Bombirdier SkP+Fl/RT,289,36,0
Bouffalant MS+St/Mh,537,9,16
Braviary AS+Fl/CC,562,10,27
Braviary (Hisuian) AS+BrB/Fl,753,1,109
Breloom FPm+DyP/GK,623,4,53
Brionne WG+AJ/DV,741,4,104
Bronzong Cf+WBW/Pbk,804,4,131
Bruxish Cf+AT/PsF,751,1,108
Buzzwole C+SP/Lu,518,3,8
Cacturne SkP+DyP/TBl,513,3,6
Cacturne (Shadow) SkP+DyP/TBl,437,27,0
Camerupt I+EP/RT,452,14,0
Camerupt (Shadow) I+EP/RT,625,4,54
Carbink RTh+RS/M,480,19,0
Carnivine VW+EB/Cr,727,0,98
Carracosta RTh+BS/AP,493,0,0
Carracosta (Shadow) RTh+BS/AP,477,4,0
Celebi Cf+SeB/AuS,839,1,146
Celesteela AS+BS/Bd,720,0,95
Centiskorch E+HW/Lu,537,9,16
Ceruledge I+SB/FmC,746,1,106
Cetitan PS+ISp/SP,217,41,0
Chandelure FS+SB/FmC,758,15,111
Chandelure (Shadow) I+SB/FmC,906,2,175
Chansey ZH+DG/P,790,6,125
Charizard DB+BB/AC,450,27,0
Charizard (Mega X) DB+BB/AC,630,4,56
Charizard (Mega Y) E+BB/AC,606,1,46
Charizard (Shadow) DB+BB/AC,623,1,53
Cherrim (Overcast) BS+DG/SoB,562,0,27
Cherrim (Sunshine) BS+WBF/SoB,706,0,89
Chesnaught LK+SP/FP,459,29,0
Chesnaught (Shadow) LK+SP/FP,462,43,0
Chimecho A+Psh/SB,837,1,145
Cinccino Ch+AT/Tb,432,50,0
Cinderace FS+BB/PB,637,4,59
Clawitzer WG+Crbh/IB,658,17,68
Claydol MSl+IB/RT,802,17,130
Claydol (Shadow) MSl+RT/IB,797,1,128
Clefable FW+MM/M,277,14,0
Clodsire PSt+SE/Eq,420,16,0
Cloyster IS+IW/HP,295,24,0
Cloyster (Shadow) IS+IW/HP,393,14,0
Coalossal FS+RS/FmC,334,49,0
Cobalion DK+SSw/SE,327,17,0
Cofagrigus SC+SB/DP,825,14,140
Cofagrigus (Shadow) SC+SB/DP,813,1,135
Comfey VW+GK/DK,627,6,55
Conkeldurr FPm+DyP/BrS,447,4,0
Conkeldurr (Shadow) FPm+DyP/BrS,532,4,14
Corviknight SdA+AC/Pbk,637,12,59
Corviknight (Shadow) SdA+AC/Pbk,595,39,41
Crabominable B+IP/BkB,494,43,0
Cradily Ac+RT/GK,316,36,0
Cradily (Shadow) Ac+RT/GK,319,4,0
Crawdaunt W+NS/Crbh,372,17,0
Crawdaunt (Shadow) W+NS/Sc,390,27,0
Cresselia PC+GK/M,551,39,22
Cresselia (Shadow) PC+GK/M,541,0,18
Crobat AS+PF/SB,676,0,76
Crobat (Shadow) AS+PF/SB,609,0,47
Crocalor I+DV/Cr,544,0,19
Crustle FC+XS/RW,353,14,0
Crustle (Shadow) FC+XS/RW,420,1,0
Cryogonal IS+NS/TAx,299,24,0
Cursola A+NSh/PG,706,28,89
Dachsbun Ch+BS/PsF,555,6,24
Darkrai Sn+SB/DP,730,0,99
Darkrai (Shadow) Sn+SB/DP,669,0,73
Darmanitan (Galarian) IF+Av/SP,341,28,0
Darmanitan (Standard) I+RS/Ov,593,1,40
Darmanitan (Standard) (Shadow) I+RS/Ov,516,1,7
Dartrix Pk+BrB/EB,625,0,54
Decidueye A+FP/SSh,800,1,129
Decidueye (Hisuian) PC+AuS/TBl,572,3,31
Dedenne TS+D/PbC,588,17,38
Delphox FS+Psh/BB,683,1,79
Delphox (Shadow) FS+Psh/BB,637,28,59
Deoxys (Defense) C+PB/RS,604,0,45
Deoxys (Speed) CB+PB/Sw,739,1,103
Dewgong IS+IW/DR,349,49,0
Dewgong (Shadow) IS+AJ/DR,553,0,23
Dhelmise SC+SB/BrS,813,1,135
Dialga DB+IH/T,496,27,0
Dialga (Origin) DB+ROT/IH,569,4,30
Dialga (Shadow) DB+IH/T,565,1,28
Diancie RTh+RS/M,289,1,0
Diancie (Mega) RTh+RS/M,361,28,0
Dipplin DT+SeB/O,511,6,5
Dodrio Pk+DrlP/BrB,453,24,0
Dondozo W+S/O,425,29,0
Donphan MSl+BS/Eq,781,0,121
Donphan (Shadow) MSl+BS/Eq,739,17,103
Doublade SC+SSw/GB,797,1,128
Dragalge DT+AT/O,516,3,7
Dragapult DT+SB/O,686,1,80
Dragonite DB+TP/SP,489,40,0
Dragonite (Mega) DB+SP/TP,553,4,23
Dragonite (Shadow) DB+TP/SP,518,1,8
Drampa DB+Sw/DgP,429,37,0
Drapion PSt+Cr/AT,398,12,0
Drapion (Shadow) PSt+AT/Cr,411,6,0
Drifblim H+IW/SB,688,0,81
Drifblim (Shadow) H+SB/IW,632,14,57
Druddigon DT+NS/RT,493,0,0
Dubwool DK+BS/Pbk,544,9,19
Dudunsparce RO+BS/DR,506,9,3
Dunsparce RO+DR/RS,500,36,0
Duraludon DT+DC/FC,502,40,1
Durant BBi+XS/SE,548,0,21
Dusknoir A+DyP/ShP,804,1,131
Dusknoir (Shadow) A+DyP/ShP,765,1,114
Eelektross VS+DC/Tb,447,27,0
Eldegoss BS+EB/GK,737,3,102
Electabuzz TS+TP/Re,449,27,0
Electabuzz (Shadow) TS+TP/Tb,311,28,0
Electivire TS+WC/IP,316,41,0
Electivire (Shadow) TS+WC/IP,383,41,0
Electrode VS+FoP/D,408,27,0
Electrode (Hisuian) TS+WC/EB,404,14,0
Electrode (Shadow) VS+FoP/D,309,41,0
Emboar E+BB/RS,478,30,0
Emboar (Shadow) E+BB/RS,313,41,0
Empoleon MSo+HC/DrlP,424,40,0
Empoleon (Shadow) MSo+HC/DrlP,553,4,23
Enamorus (Incarnate) FW+Fl/DG,465,14,0
Enamorus (Therian) FW+MF/M,362,14,0
Entei FS+FmC/ScS,551,0,22
Entei (Shadow) FS+ScS/FmC,669,4,73
Escavalier BBi+RSh/DR,665,0,71
Escavalier (Shadow) BBi+DR/RSh,734,1,101
Espathra Pk+DG/Psh,695,1,84
Espeon Cf+PsF/SB,844,28,148
Eternatus DT+DyC/SlB,562,30,27
Excadrill MS+DR/RS,609,4,47
Excadrill (Shadow) MS+DR/RS,516,1,7
Exeggutor Cf+SeB/P,881,1,164
Exeggutor (Alolan) DT+SeB/DM,525,0,11
Exeggutor (Alolan) (Shadow) DT+SeB/DM,725,1,97
Exeggutor (Shadow) Cf+SeB/P,872,28,160
Exploud A+Cr/DV,497,49,0
Exploud (Shadow) A+Cr/DV,534,10,15
Falinks C+SP/Mh,418,30,0
Falinks (Mega) C+SP/Mh,495,17,0
Fearow Pk+DrlP/DR,469,50,0
Feraligatr SC+HC/IB,581,0,35
Feraligatr (Shadow) SC+HC/IB,532,17,14
Ferrothorn BS+PW/FC,548,9,21
Ferrothorn (Shadow) BS+PW/FC,555,3,24
Flamigo WA+UH/BrB,496,30,0
Flapple DB+Fl/SeB,546,0,20
Flareon E+SP/HW,613,14,49
Floatzel W+AJ/Sw,576,14,33
Florges FW+CW/DV,363,17,0
Flygon DT+Tw/ST,432,40,0
Flygon (Shadow) DT+Tw/ST,595,4,41
Forretress VS+RT/ST,337,43,0
Forretress (Shadow) VS+RT/ST,328,37,0
Fraxure DT+AT/NS,716,1,93
Froslass PS+Av/SB,600,1,43
Froslass (Shadow) PS+Av/SB,548,41,21
Frosmoth PS+IB/BBu,518,4,8
Furfrou SkP+S/GK,695,23,84
Furret SkP+Sw/TBl,672,10,74
Gabite MS+Tw/Dg,758,1,111
Gabite (Shadow) MS+Tw/Dg,716,1,93
Gallade PC+CC/LB,774,1,118
Gallade (Mega) PC+CC/LB,767,28,115
Gallade (Shadow) PC+CC/LB,539,1,17
Galvantula VS+D/CP,254,51,0
Galvantula (Shadow) VS+D/CP,363,41,0
Garbodor Inf+BS/SeB,700,0,86
Garbodor (Shadow) Inf+BS/SeB,630,0,56
Garchomp DT+ST/Tw,453,40,0
Garchomp (Mega) DT+Tw/EP,609,1,47
Garchomp (Shadow) DT+ST/Tw,586,1,37
Gardevoir Cf+TAx/SB,802,1,130
Gardevoir (Mega) Cf+SB/TAx,788,28,124
