Pokemon,Battle Rating,Energy Remaining,HP Remaining
Lapras Psy+SpA/IB,553,0,19
Corviknight SdA+AC/Pbk,259,27,0
Registeel LO+FC/ZC,875,0,133
Florges FW+CW/DV,321,22,0
Grumpig Psy+DyP/SB,277,3,0
Giratina (Altered) DB+DC/SS,308,25,0
Dusknoir A+DyP/ShP,365,30,0
Corviknight (Shadow) SdA+AC/Pbk,290,27,0
Regidrago DB+DrE/VG,320,27,0
Dusknoir (Shadow) A+DyP/ShP,378,3,0
Moltres (Galarian) SkP+Fl/BrB,443,36,0
Clefable FW+MM/M,311,4,0
Walrein PS+ISp/Eq,621,0,43
Cresselia PC+GK/M,346,7,0
Lapras (Shadow) Psy+SpA/IB,404,18,0
Cradily Ac+RT/GK,283,27,0
Dondozo W+S/O,581,0,29
Kingdra DB+S/Sw,333,27,0
Walrein (Shadow) PS+ISp/Eq,525,0,9
Annihilape (Shadow) LK+RF/CC,370,40,0
Empoleon (Shadow) MSo+HC/DrlP,612,0,40
Malamar (Shadow) Psy+FoP/SP,361,45,0
Giratina (Altered) (Shadow) DB+DC/SS,282,48,0
Grumpig (Shadow) Psy+DyP/SB,353,4,0
Lickilicky RO+BS/SB,725,0,80
Annihilape LK+RF/CC,356,22,0
Forretress VS+RT/ST,294,27,0
Empoleon MSo+HC/DrlP,655,0,55
Blastoise RO+HC/SkB,531,0,11
Doublade SC+SSw/GB,427,40,0
Kingdra (Shadow) DB+S/Sw,431,27,0
Malamar Psy+FoP/SP,283,0,0
Togekiss Pk+Psh/AuS,57,35,0
Aromatisse FW+Psh/M,242,0,0
Oranguru Cf+BrS/TBl,269,18,0
Ninetales (Alolan) PS+WBI/CW,522,36,8
Feraligatr (Shadow) SC+HC/IB,452,45,0
Weezing (Galarian) (Shadow) FW+BrS/Sl,482,17,0
Weezing (Galarian) FW+BrS/Sl,380,12,0
Milotic W+AT/Wr,593,36,33
Registeel (Shadow) LO+FC/ZC,734,0,83
Crustle FC+XS/RW,612,0,40
Guzzlord DT+BrS/DC,573,0,26
Turtonator I+BrS/DC,598,0,35
Drapion PSt+Cr/AT,638,0,49
Hydreigon (Shadow) DB+BrS/Fl,156,45,0
Sylveon FW+M/SB,289,8,0
Dragalge DT+AT/O,455,0,0
Tentacruel Ac+Sc/Pbk,411,36,0
Aurorus PS+WBI/MeB,697,0,70
Ninetales (Alolan) (Shadow) PS+WBI/CW,587,0,31
Cresselia (Shadow) PC+GK/M,239,21,0
Goodra DB+AT/PW,105,45,0
Malamar (Mega) Psy+FoP/SP,303,0,0
Seaking Pk+DR/IW,395,36,0
Cobalion DK+SSw/SE,525,0,9
Kommo-o DT+ClS/UH,332,0,0
Latias DB+MsB/AuS,268,18,0
Miltank RO+BS/IB,675,0,62
Golisopod FC+XS/AJ,453,45,0
Melmetal TS+DbI/DyP,604,9,37
Milotic (Shadow) W+AT/Wr,598,0,35
Ninetales E+WBF/EB,389,45,0
Samurott FC+HC/Mh,629,0,46
Toucannon (Shadow) Pk+BBl/DrlP,100,45,0
Articuno PS+IW/Hu,181,27,0
Feraligatr SC+HC/IB,542,0,15
Raikou TS+WC/AuS,433,36,0
Tentacruel (Shadow) Ac+Sc/Pbk,473,9,0
Toucannon Pk+BBl/DrlP,53,45,0
Aurorus (Shadow) PS+WBI/MeB,805,0,108
Cradily (Shadow) Ac+RT/GK,319,27,0
Kyurem DB+G/DC,389,27,0
Primarina W+DV/HC,445,0,0
Swampert MS+HC/Eq,559,0,21
Altaria (Mega) DB+SA/M,283,36,0
Gyarados DB+AT/Tw,215,36,0
Hippowdon SdA+WBR/EP,562,4,22
Raikou (Shadow) TS+WC/AuS,238,36,0
Steelix TF+PsF/Eq,328,18,0
Ninetales (Shadow) E+WBF/EB,596,4,34
Samurott (Shadow) FC+HC/Mh,451,45,0
Stunfisk TS+MB/D,369,22,0
Crustle (Shadow) FC+XS/RW,807,4,109
Poliwrath MS+IW/DyP,500,18,0
Abomasnow (Shadow) PS+WBI/EB,87,45,0
Hippowdon (Shadow) SdA+WBR/EP,553,31,19
Drapion (Shadow) PSt+AT/Cr,593,45,33
Orthworm MSl+RT/Eq,717,0,77
Runerigus SC+RT/SB,522,7,8
Seismitoad MS+EP/IW,629,0,46
Steelix (Shadow) TF+PsF/Cr,423,18,0
Blastoise (Shadow) RO+HC/IB,604,0,37
Dudunsparce RO+BS/DR,652,0,54
Jirachi Cf+DD/AuS,346,0,0
Primeape KC+RF/CC,452,9,0
Regirock LO+SE/FB,644,0,51
Forretress (Shadow) VS+RT/ST,309,0,0
Stunfisk (Galarian) MS+RS/Eq,807,0,109
Grimmsnarl SkP+FoP/PR,428,36,0
Latias (Shadow) DB+MsB/AuS,363,18,0
Lugia DT+A/Fl,210,39,0
Sandslash (Alolan) PS+IP/DR,742,0,86
Gyarados (Shadow) DB+AT/Tw,240,27,0
Mandibuzz Sn+FoP/SB,472,45,0
Tapu Fini WG+S/NM,411,36,0
Articuno (Shadow) PS+IW/Hu,209,27,0
Cofagrigus SC+SB/DP,522,7,8
Sandslash (Alolan) (Shadow) PS+IP/DR,677,0,63
Gastrodon MSl+BS/EP,320,27,0
Skeledirge I+TSo/SB,796,13,105
Mantine WA+Tw/WP,295,0,0
Nidoqueen MSl+PF/EP,607,31,38
Bronzong Cf+WBW/Pbk,338,0,0
Greedent MS+BS/TBl,376,27,0
Oinkologne (Female) MSl+BS/TBl,406,36,0
Abomasnow PS+WBI/EB,550,0,18
Primeape (Shadow) KC+RF/IP,505,9,2
Zapdos TS+DrlP/Tb,100,36,0
Coalossal FS+RS/FmC,754,4,90
Machamp (Shadow) KC+CrC/RS,462,9,0
Spiritomb SkP+SB/RT,528,4,10
Ampharos VS+BrS/TBl,408,0,0
Bombirdier SkP+Fl/RT,253,36,0
Ludicolo A+WBW/EB,312,27,0
Umbreon Sn+FoP/LR,796,0,105
Solrock Psy+WBF/RS,505,13,2
Swampert (Shadow) MS+HC/Eq,508,0,3
Trevenant (Shadow) SC+SB/SeB,95,35,0
Zapdos (Shadow) TS+DrlP/Tb,102,36,0
Latias (Mega) DB+AuS/MsB,311,18,0
Giratina (Origin) SC+SB/DgP,425,16,0
Gourgeist (Super) I+SB/SeB,318,3,0
Cetitan PS+ISp/SP,728,0,81
Blaziken (Shadow) E+AuS/BB,627,0,45
Gliscor WA+Acr/NS,59,44,0
Slurpuff FW+EB/Ft,304,26,0
Trevenant SC+SB/SeB,255,21,0
Hydreigon DB+BrS/DgP,731,0,82
Lunatone Psy+WBI/RS,505,13,2
Ampharos (Shadow) VS+BrS/TBl,213,36,0
Gallade (Shadow) PC+CC/LB,142,18,0
Politoed MS+WBW/Eq,489,18,0
Politoed (Shadow) MS+WBW/Eq,379,36,0
Poliwrath (Shadow) MS+IW/DyP,500,0,0
Zeraora VS+PF/WC,197,36,0
Rapidash (Shadow) I+WC/DR,774,0,97
Talonflame I+Fl/BrB,455,40,0
Gourgeist (Average) I+SB/SeB,268,3,0
Virizion DK+LB/SSw,299,27,0
Drifblim H+IW/SB,463,7,0
Gourgeist (Large) I+SB/SeB,329,3,0
Rapidash I+WC/DR,807,0,109
Dodrio Pk+DrlP/BrB,343,45,0
Uxie Cf+Sw/FS,251,3,0
Nidoqueen (Shadow) MSl+PF/EP,635,4,48
Regice LO+T/Bl,629,0,46
Magnezone VS+WC/MrS,545,0,16
Mawile (Mega) FW+VG/IH,440,27,0
Pelipper WA+WBW/Hu,211,9,0
Toxicroak (Shadow) PSt+DyP/SB,519,4,7
Xerneas Geo+CC/M,404,31,0
Flamigo WA+UH/BrB,220,45,0
Golurk (Shadow) A+ShP/DyP,590,4,32
Conkeldurr (Shadow) FPm+DyP/BrS,438,0,0
Drifblim (Shadow) H+SB/IW,215,12,0
Heracross FC+UH/RT,381,40,0
Latios (Shadow) DB+AuS/LrP,179,45,0
Pangoro KC+CC/NS,782,0,100
Dragonite (Shadow) DB+TP/SP,58,45,0
Skuntank (Shadow) PJ+Cr/TBl,490,36,0
Bellossom (Shadow) Ac+LB/DG,331,0,0
Lucario FPm+AuS/SB,655,0,55
Perrserker SC+CC/FoP,771,0,96
Throh LK+FB/BS,296,27,0
Yveltal SkP+DP/ObW,383,0,0
Garganacl MS+RB/RT,672,0,61
Regirock (Shadow) LO+SE/FB,607,36,38
Skuntank PJ+Cr/TBl,401,36,0
Palossand A+SB/ST,402,21,0
Genesect (Shock) FC+XS/TBS,425,18,0
Machamp KC+CrC/RS,413,9,0
Victini Cf+VC/Psh,150,44,0
Decidueye (Hisuian) PC+AuS/TBl,97,45,0
Electivire (Shadow) TS+WC/IP,253,36,0
Electrode (Hisuian) TS+WC/EB,341,45,0
Gallade PC+CC/LB,375,4,0
Genesect (Burn) FC+XS/TBB,604,0,37
Gourgeist (Small) I+SB/SeB,287,3,0
Greninja (Shadow) WSh+HC/NS,731,0,82
Toxicroak PSt+DyP/SB,405,45,0
Cofagrigus (Shadow) SC+SB/DP,341,12,0
Starmie (Shadow) Psy+AJ/PG,174,45,0
Latios DB+AuS/LrP,369,18,0
Slowbro Cf+DrP/IB,172,18,0
Victreebel (Shadow) Ac+LB/SlB,131,36,0
Amoonguss (Shadow) A+FoP/GK,271,36,0
Avalugg IF+IW/Cr,757,0,91
Genesect (Chill) FC+XS/TBC,604,0,37
Hawlucha LK+FlP/AA,283,35,0
Victreebel Ac+LB/SlB,131,36,0
Blaziken E+AuS/BB,661,9,57
Conkeldurr FPm+DyP/BrS,415,27,0
Magnezone (Shadow) VS+WC/MrS,325,36,0
Mew SC+Psh/WC,301,8,0
Barbaracle FC+CrC/SE,700,18,71
Dhelmise SC+SB/BrS,115,35,0
Reshiram (Shadow) DB+FuF/SE,644,0,51
Electivire TS+WC/IP,204,36,0
Flygon (Shadow) DT+Tw/ST,447,27,0
Abomasnow (Mega) PS+WBI/EB,500,18,0
Camerupt I+EP/RT,807,4,109
Gholdengo H+SB/PG,514,31,5
Oinkologne MSl+BS/TBl,453,36,0
Starmie Psy+AJ/PG,118,45,0
Armarouge I+Psh/FmC,542,4,15
Golurk A+ShP/DyP,652,4,54
Palkia DB+AT/DM,488,18,0
Typhlosion I+BB/TP,615,4,41
Typhlosion (Shadow) I+BB/TP,542,0,15
Clodsire PSt+SE/Eq,661,3,57
Ferrothorn BS+PW/FC,393,36,0
Flygon DT+Tw/ST,539,0,14
Zygarde (50% Forme) DT+Cr/Eq,297,36,0
Decidueye A+FP/SSh,261,12,0
Gogoat VW+LB/RS,70,36,0
Palkia (Origin) DB+AT/DM,428,18,0
Gliscor (Shadow) WA+Acr/NS,59,44,0
Salamence (Shadow) DT+Fl/BrS,105,45,0
Bellossom Ac+LB/DG,309,27,0
Dubwool DK+BS/Pbk,584,0,30
Marshadow SC+CC/TP,433,49,0
Sliggoo DB+BS/DgP,337,27,0
Amoonguss A+FoP/GK,248,36,0
Baxcalibur DB+GlR/Av,731,0,82
Genesect (Douse) FC+XS/TBD,604,0,37
Slowbro (Galarian) Cf+DrP/SlB,284,3,0
Slowbro (Shadow) Cf+DrP/IB,190,0,0
Thievul SkP+NS/PR,505,0,2
Throh (Shadow) LK+BS/BkB,337,36,0
Gigalith LO+SP/MeB,717,0,77
Overqwil PJ+AT/DP,587,45,31
Ursaring (Shadow) SC+Sw/CC,143,45,0
Talonflame (Shadow) I+Fl/BrB,497,4,0
Shelgon (Shadow) DB+Tw/Ft,483,27,0
Charizard (Mega X) DB+BB/AC,579,0,28
Hariyama FPm+UH/HS,340,27,0
Scrafty C+FoP/TP,425,36,0
Garchomp (Shadow) DT+ST/Tw,145,45,0
Wailord RO+S/Bl,782,0,100
Dialga (Origin) DB+ROT/IH,731,0,82
Drampa DB+Sw/DgP,731,0,82
Piloswine PS+ISp/Av,697,45,70
Altaria DB+SA/Ft,298,36,0
Blacephalon I+MdB/SB,579,0,28
Medicham (Mega) PC+DyP/IP,363,13,0
Charizard DB+BB/AC,525,22,9
Dragonite DB+TP/SP,227,18,0
Ferrothorn (Shadow) BS+PW/FC,440,27,0
Venusaur VW+FP/Sl,232,0,0
Dragonite (Mega) DB+SP/TP,238,18,0
Morpeko (Full Belly) TS+AuW/PsF,528,0,10
Piloswine (Shadow) PS+Av/ISp,824,0,115
Venusaur (Shadow) VW+FP/Sl,147,45,0
Hypno Cf+TP/SB,261,3,0
Incineroar Sn+BrS/BB,909,0,145
Sableye (Mega) SC+FoP/PG,610,4,39
Toxtricity Ac+WC/PUP,345,45,0
Vikavolt (Shadow) VS+XS/D,152,36,0
Gyarados (Mega) DB+AT/Cr,632,0,47
Salamence (Mega) DT+Fl/BrS,65,45,0
Toedscruel MSl+SeB/EP,402,0,0
Tyranitar DB+BrS/SE,658,0,56
Altaria (Shadow) DB+SA/Ft,198,36,0
Suicune IF+IB/Sc,672,0,61
Greninja WSh+HC/NS,757,0,91
Sandslash MS+NS/RT,649,12,53
Shelgon DB+Tw/Ft,456,45,0
Deoxys (Defense) C+PB/RS,468,7,0
Garchomp DT+ST/Tw,533,0,12
Gengar (Shadow) SC+ShP/SB,283,36,0
Roserade PSt+WBF/LfS,120,36,0
Scizor BP+NS/TBl,459,18,0
Swampert (Mega) MS+HC/Sl,545,0,16
Hariyama (Shadow) FPm+UH/HS,421,27,0
Magneton (Shadow) VS+D/MgB,406,36,0
Scizor (Shadow) BP+NS/TBl,689,9,67
Enamorus (Therian) FW+MF/M,72,53,0
Raichu (Alolan) TS+TBl/WC,218,45,0
Kingambit MSo+FoP/FB,867,0,130
Meganium VW+FP/Eq,275,9,0
Snorlax L+BS/Eq,655,0,55
Tyranitar (Shadow) DB+BrS/SE,644,0,51
Charizard (Shadow) DB+BB/AC,502,4,1
Lokix SkP+XS/TBl,384,36,0
Muk (Shadow) PJ+DP/TP,327,18,0
Scolipede (Shadow) PSt+AT/Mh,514,35,5
Urshifu (Single Strike) SkP+Pbk/DyP,782,0,100
Avalugg (Hisuian) PS+RS/IW,745,0,87
Camerupt (Mega) I+EP/RT,790,4,103
Druddigon DT+NS/RT,545,0,16
Latios (Mega) DB+AuS/LrP,430,18,0
Palkia (Shadow) DB+AT/DM,644,0,51
Rapidash (Galarian) FW+BS/WC,375,22,0
Salamence DT+Fl/BrS,56,45,0
Steelix (Mega) DT+PsF/Eq,624,27,44
Arctibax DB+Av/DC,731,0,82
Lucario (Mega) FPm+AuS/MM,598,0,35
Mamoswine PS+ISp/HH,824,0,115
Tapu Lele A+NM/Psh,404,3,0
Victreebel (Mega) Ac+LB/SlB,158,36,0
Blaziken (Mega) E+AuS/BB,641,0,50
Pidgeot WA+Tw/BrB,468,9,0
Camerupt (Shadow) I+EP/RT,774,4,97
Glalie PS+Av/SB,649,0,53
Slowbro (Mega) Cf+S/DrP,201,18,0
Raichu TS+BkB/WC,204,36,0
Sandslash (Shadow) SdA+NS/RT,661,0,57
Centiskorch E+HW/Lu,666,7,59
Lurantis Lf+LB/SP,97,36,0
Chesnaught (Shadow) LK+SP/FP,344,9,0
Meganium (Shadow) VW+FP/Eq,307,9,0
Quaquaval LK+CC/HC,432,18,0
Torkoal E+FW/Ov,782,0,100
Torterra MSl+FP/SE,638,0,49
Keldeo (Resolute) LK+SeS/AJ,462,27,0
Magneton VS+D/MgB,579,0,28
Pidgeot (Shadow) WA+BrB/Tw,303,9,0
Rayquaza DT+BkS/DrA,255,27,0
Scizor (Mega) FC+NS/XS,601,0,36
Vikavolt VS+XS/Fl,347,0,0
Dachsbun Ch+BS/PsF,124,54,0
Muk PJ+TP/DP,395,40,0
Chesnaught LK+SP/FP,304,9,0
Excadrill (Shadow) MS+DR/RS,618,0,42
Venusaur (Mega) VW+FP/Sl,261,0,0
Dialga DB+IH/T,731,0,82
Genesect FC+XS/TBN,508,0,3
Gengar SC+ShP/SB,244,45,0
Kartana FC+LB/SSw,215,36,0
Lugia (Shadow) DT+Fl/FS,240,21,0
Mamoswine (Shadow) PS+ISp/HH,824,0,115
Metagross SC+MM/Eq,466,36,0
Pawmot TS+BkB/WC,195,36,0
Regice (Shadow) LO+T/Bl,576,0,27
Weezing RO+SlB/SB,697,4,70
Glalie (Shadow) PS+Av/SB,824,0,115
Machoke (Shadow) KC+CrC/DyP,456,9,0
Xatu (Shadow) Pk+Psh/SB,107,35,0
Volcanion I+Sc/Ov,807,9,109
Weezing (Shadow) RO+SlB/SB,629,40,46
Aggron (Mega) DT+MeB/RT,598,0,35
Kabutops FC+AJ/SE,819,0,113
Scolipede PSt+AT/Mh,381,30,0
Sinistcha A+SB/EB,305,39,0
Slowking (Galarian) Ac+S/SB,556,3,20
Xatu Pk+Psh/SB,57,35,0
Fearow Pk+DrlP/DR,57,45,0
Ho-Oh I+BrB/SF,768,4,95
Raichu (Mega X) VS+WC/TP,269,45,0
Qwilfish (Hisuian) PJ+AT/DP,621,27,43
Mr. Mime Psy+SB/P,159,53,0
Ursaring SC+Sw/CC,658,0,56
Zekrom DB+Cr/WC,714,9,76
Ceruledge I+SB/FmC,790,4,103
Kabutops (Shadow) FC+AJ/SE,694,0,69
Samurott (Hisuian) FC+IW/DP,686,0,66
Swanna (Shadow) G+AJ/Fl,79,18,0
Chimecho A+Psh/SB,314,22,0
Arcanine (Shadow) FF+WC/PsF,717,0,77
Noctowl WA+SB/SA,231,27,0
Relicanth WG+AT/AP,697,0,70
Tyranitar (Mega) DB+BrS/SE,655,0,55
Bruxish Cf+AT/PsF,144,36,0
Dewgong IS+IW/DR,740,0,85
Gigalith (Shadow) LO+MeB/SP,658,0,56
Kilowattrel TS+Acr/AA,105,45,0
Lanturn Sp+S/Tb,564,0,23
Orbeetle Cf+Psh/BBu,232,3,0
Thundurus (Incarnate) (Shadow) TS+TP/BkB,108,36,0
Alomomola W+HP/Bl,754,0,90
Gallade (Mega) PC+CC/LB,119,18,0
Leavanny SC+LB/XS,208,18,0
Snorlax (Shadow) L+BS/Eq,516,0,6
Eternatus DT+DyC/SlB,505,0,2
Muk (Alolan) PJ+DP/AS,395,36,0
Solgaleo FS+PsF/IH,610,0,39
Wyrdeer Cf+WC/St,347,0,0
Electrode (Shadow) VS+FoP/D,579,0,28
Garchomp (Mega) DT+Tw/EP,470,0,0
Metagross (Shadow) SC+MM/Eq,740,0,85
Qwilfish (Shadow) PSt+AT/IB,610,27,39
Tapu Koko VS+Tb/NM,416,0,0
Vaporeon WG+AT/LR,757,0,91
Dialga (Shadow) DB+IH/T,644,0,51
Froslass PS+Av/SB,607,0,38
Golem (Alolan) (Shadow) VS+WC/RB,302,45,0
Swanna G+AJ/Fl,213,0,0
Torterra (Shadow) MSl+FP/ST,355,27,0
Dipplin DT+SeB/O,491,0,0
Reshiram DB+Cr/Ov,714,9,76
Tauros (Aqua) DK+AJ/TBl,351,27,0
Hypno (Shadow) Cf+TP/IP,95,49,0
Serperior VW+FP/AA,233,9,0
Zoroark (Hisuian) SC+SB/FoP,677,4,63
Galvantula (Shadow) VS+D/CP,140,36,0
Heatran FS+MgS/EP,824,0,115
Rhyperior MSl+DR/RW,740,0,85
Sceptile (Shadow) FC+LB/BkS,111,45,0
Magmar KC+FiP/ScS,661,4,57
Metagross (Mega) SC+MM/Eq,587,27,31
Muk (Alolan) (Shadow) PJ+DP/AS,421,27,0
Regieleki VS+ThC/HB,232,36,0
Swalot MS+Sl/IB,621,13,43
Ampharos (Mega) VS+BrS/TP,213,36,0
Blastoise (Mega) RO+HC/IB,604,0,37
Hitmontop C+CC/TAx,508,0,3
Machoke KC+CrC/DyP,412,18,0
Delphox FS+Psh/BB,807,4,109
Electabuzz (Shadow) TS+TP/Tb,198,36,0
Flapple DB+Fl/SeB,378,9,0
Meloetta (Aria) Cf+Psh/DG,337,0,0
Salazzle I+PF/DgP,593,0,33
Wailord (Shadow) RO+Sc/Bl,709,0,74
Zamazenta (Crowned Shield) IF+CC/BB,824,0,115
Golem (Alolan) VS+RB/WC,638,0,49
Qwilfish PSt+AT/SB,573,0,26
Delphox (Shadow) FS+Psh/BB,776,4,98
Cinderace FS+BB/PB,776,4,98
Hatterene PC+Psh/PW,120,26,0
Rhyperior (Shadow) MSl+DR/RW,683,0,65
Suicune (Shadow) IF+Sc/IB,757,0,91
Aerodactyl DB+RS/EP,516,22,6
Excadrill MS+DR/RS,694,0,69
Mudsdale MSl+BS/Eq,559,40,21
Sneasler (Shadow) SC+CC/XS,486,0,0
Staraptor (Shadow) WA+Fl/CC,437,9,0
Urshifu (Rapid Strike) W+AJ/DyP,663,0,58
Klefki A+FoP/PR,629,0,46
Slowking Cf+S/Bl,209,18,0
Tauros (Combat) DK+CC/TBl,351,27,0
Whiscash MS+MB/Sc,697,0,70
Gurdurr LK+BkB/SE,410,45,0
Gurdurr (Shadow) LK+BkB/SE,441,27,0
Heatran (Shadow) FS+MgS/EP,796,0,105
Celebi Cf+SeB/AuS,225,0,0
Electrode VS+FoP/D,401,0,0
