Pokemon,Battle Rating,Energy Remaining,HP Remaining
Lapras Psy+SpA/IB,649,0,44
Corviknight SdA+AC/Pbk,404,50,0
Registeel LO+FC/ZC,332,60,0
Florges FW+CW/DV,402,45,0
Grumpig Psy+DyP/SB,429,5,0
Giratina (Altered) DB+DC/SS,523,0,7
Dusknoir A+DyP/ShP,503,15,1
Corviknight (Shadow) SdA+AC/Pbk,642,0,42
Regidrago DB+DrE/VG,503,0,1
Dusknoir (Shadow) A+DyP/ShP,557,0,17
Moltres (Galarian) SkP+Fl/BrB,765,0,78
Clefable FW+MM/M,246,50,0
Walrein PS+ISp/Eq,622,0,36
Cresselia PC+GK/M,449,5,0
Lapras (Shadow) Psy+SpA/IB,608,0,32
Cradily Ac+RT/GK,402,55,0
Dondozo W+S/O,360,25,0
Kingdra DB+S/Sw,493,5,0
Walrein (Shadow) PS+ISp/Eq,534,0,10
Annihilape (Shadow) LK+RF/CC,204,25,0
Empoleon (Shadow) MSo+HC/DrlP,574,0,22
Malamar (Shadow) Psy+FoP/SP,291,50,0
Giratina (Altered) (Shadow) DB+DC/SS,455,40,0
Grumpig (Shadow) Psy+DyP/SB,602,0,30
Lickilicky RO+BS/SB,659,0,47
Annihilape LK+RF/CC,193,50,0
Forretress VS+RT/ST,591,35,27
Empoleon MSo+HC/DrlP,612,20,33
Blastoise RO+HC/SkB,415,0,0
Doublade SC+SSw/GB,211,55,0
Kingdra (Shadow) DB+S/Sw,585,0,25
Malamar Psy+FoP/SP,255,55,0
Togekiss Pk+Psh/AuS,422,55,0
Aromatisse FW+Psh/M,464,30,0
Oranguru Cf+BrS/TBl,417,30,0
Ninetales (Alolan) PS+WBI/CW,639,0,41
Feraligatr (Shadow) SC+HC/IB,323,50,0
Weezing (Galarian) (Shadow) FW+BrS/Sl,690,0,56
Weezing (Galarian) FW+BrS/Sl,622,25,36
Milotic W+AT/Wr,242,55,0
Registeel (Shadow) LO+FC/ZC,491,0,0
Crustle FC+XS/RW,649,0,44
Guzzlord DT+BrS/DC,680,0,53
Turtonator I+BrS/DC,768,0,79
Drapion PSt+Cr/AT,540,0,12
Hydreigon (Shadow) DB+BrS/Fl,714,0,63
Sylveon FW+M/SB,473,30,0
Dragalge DT+AT/O,482,30,0
Tentacruel Ac+Sc/Pbk,414,20,0
Aurorus PS+WBI/MeB,826,0,96
Ninetales (Alolan) (Shadow) PS+WBI/CW,557,0,17
Cresselia (Shadow) PC+GK/M,376,40,0
Goodra DB+AT/PW,331,50,0
Malamar (Mega) Psy+FoP/SP,320,35,0
Seaking Pk+DR/IW,585,0,25
Cobalion DK+SSw/SE,438,50,0
Kommo-o DT+ClS/UH,350,35,0
Latias DB+MsB/AuS,294,50,0
Miltank RO+BS/IB,748,0,73
Golisopod FC+XS/AJ,421,50,0
Melmetal TS+DbI/DyP,473,50,0
Milotic (Shadow) W+AT/Wr,277,55,0
Ninetales E+WBF/EB,557,0,17
Samurott FC+HC/Mh,288,50,0
Toucannon (Shadow) Pk+BBl/DrlP,843,0,101
Articuno PS+IW/Hu,829,20,97
Feraligatr SC+HC/IB,279,50,0
Raikou TS+WC/AuS,307,40,0
Tentacruel (Shadow) Ac+Sc/Pbk,479,20,0
Toucannon Pk+BBl/DrlP,748,0,73
Aurorus (Shadow) PS+WBI/MeB,785,0,84
Cradily (Shadow) Ac+RT/GK,469,55,0
Kyurem DB+G/DC,612,0,33
Primarina W+DV/HC,517,0,5
Swampert MS+HC/Eq,316,20,0
Altaria (Mega) DB+SA/M,639,0,41
Gyarados DB+AT/Tw,510,0,3
Hippowdon SdA+WBR/EP,307,55,0
Raikou (Shadow) TS+WC/AuS,364,40,0
Steelix TF+PsF/Eq,571,0,21
Ninetales (Shadow) E+WBF/EB,437,50,0
Samurott (Shadow) FC+HC/Mh,334,50,0
Stunfisk TS+MB/D,464,5,0
Crustle (Shadow) FC+XS/RW,612,0,33
Poliwrath MS+IW/DyP,293,30,0
Abomasnow (Shadow) PS+WBI/EB,636,0,40
Hippowdon (Shadow) SdA+WBR/EP,345,40,0
Drapion (Shadow) PSt+AT/Cr,619,0,35
Orthworm MSl+RT/Eq,435,55,0
Runerigus SC+RT/SB,348,55,0
Seismitoad MS+EP/IW,313,50,0
Steelix (Shadow) TF+PsF/Cr,622,0,36
Blastoise (Shadow) RO+HC/IB,328,35,0
Dudunsparce RO+BS/DR,598,0,29
Jirachi Cf+DD/AuS,331,50,0
Primeape KC+RF/CC,414,20,0
Regirock LO+SE/FB,500,0,0
Forretress (Shadow) VS+RT/ST,591,15,27
Stunfisk (Galarian) MS+RS/Eq,376,60,0
Grimmsnarl SkP+FoP/PR,632,0,39
Latias (Shadow) DB+MsB/AuS,349,50,0
Lugia DT+A/Fl,744,0,72
Sandslash (Alolan) PS+IP/DR,768,0,79
Gyarados (Shadow) DB+AT/Tw,704,15,60
Mandibuzz Sn+FoP/SB,598,55,29
Tapu Fini WG+S/NM,471,35,0
Articuno (Shadow) PS+IW/Hu,918,0,123
Cofagrigus SC+SB/DP,485,55,0
Sandslash (Alolan) (Shadow) PS+IP/DR,714,0,63
Gastrodon MSl+BS/EP,297,55,0
Skeledirge I+TSo/SB,727,0,67
Mantine WA+Tw/WP,724,0,66
Nidoqueen MSl+PF/EP,309,20,0
Bronzong Cf+WBW/Pbk,520,0,6
Greedent MS+BS/TBl,578,0,23
Oinkologne (Female) MSl+BS/TBl,578,0,23
Abomasnow PS+WBI/EB,520,0,6
Primeape (Shadow) KC+RF/IP,489,30,0
Zapdos TS+DrlP/Tb,619,0,35
Coalossal FS+RS/FmC,799,0,88
Machamp (Shadow) KC+CrC/RS,434,5,0
Spiritomb SkP+SB/RT,636,0,40
Ampharos VS+BrS/TBl,578,0,23
Bombirdier SkP+Fl/RT,693,0,57
Ludicolo A+WBW/EB,470,10,0
Umbreon Sn+FoP/LR,755,0,75
Solrock Psy+WBF/RS,551,0,15
