Pokemon,Battle Rating,Energy Remaining,HP Remaining
Lapras Psy+SpA/IB,290,29,0
Corviknight SdA+AC/Pbk,646,0,43
Registeel LO+FC/ZC,455,27,0
Florges FW+CW/DV,578,1,23
Grumpig Psy+DyP/SB,491,20,0
Giratina (Altered) DB+DC/SS,731,3,68
Dusknoir A+DyP/ShP,676,2,52
Corviknight (Shadow) SdA+AC/Pbk,721,8,65
Regidrago DB+DrE/VG,588,3,26
Dusknoir (Shadow) A+DyP/ShP,612,2,33
Moltres (Galarian) SkP+Fl/BrB,510,0,3
Clefable FW+MM/M,494,0,0
Walrein PS+ISp/Eq,195,37,0
Cresselia PC+GK/M,475,21,0
Lapras (Shadow) Psy+SpA/IB,320,2,0
Cradily Ac+RT/GK,308,38,0
Dondozo W+S/O,413,3,0
Kingdra DB+S/Sw,483,29,0
Walrein (Shadow) PS+ISp/Eq,237,37,0
Annihilape (Shadow) LK+RF/CC,782,8,83
Empoleon (Shadow) MSo+HC/DrlP,471,17,0
Malamar (Shadow) Psy+FoP/SP,625,8,37
Giratina (Altered) (Shadow) DB+DC/SS,659,2,47
Grumpig (Shadow) Psy+DyP/SB,324,28,0
Lickilicky RO+BS/SB,445,18,0
Annihilape LK+RF/CC,598,0,29
Forretress VS+RT/ST,765,8,78
Empoleon MSo+HC/DrlP,370,11,0
Blastoise RO+HC/SkB,397,0,0
Doublade SC+SSw/GB,259,19,0
Kingdra (Shadow) DB+S/Sw,625,2,37
Malamar Psy+FoP/SP,615,0,34
Togekiss Pk+Psh/AuS,295,11,0
Aromatisse FW+Psh/M,191,46,0
Oranguru Cf+BrS/TBl,467,29,0
Ninetales (Alolan) PS+WBI/CW,731,8,68
Feraligatr (Shadow) SC+HC/IB,468,11,0
Weezing (Galarian) (Shadow) FW+BrS/Sl,452,26,0
Weezing (Galarian) FW+BrS/Sl,496,9,0
Milotic W+AT/Wr,400,0,0
Registeel (Shadow) LO+FC/ZC,137,19,0
Crustle FC+XS/RW,619,0,35
Guzzlord DT+BrS/DC,755,0,75
Turtonator I+BrS/DC,642,3,42
Drapion PSt+Cr/AT,625,0,37
Hydreigon (Shadow) DB+BrS/Fl,649,8,44
Sylveon FW+M/SB,646,9,43
Dragalge DT+AT/O,666,3,49
Tentacruel Ac+Sc/Pbk,390,3,0
Aurorus PS+WBI/MeB,506,0,2
Ninetales (Alolan) (Shadow) PS+WBI/CW,680,8,53
Cresselia (Shadow) PC+GK/M,625,3,37
Goodra DB+AT/PW,653,3,45
Malamar (Mega) Psy+FoP/SP,612,0,33
Seaking Pk+DR/IW,415,11,0
Cobalion DK+SSw/SE,894,8,116
Kommo-o DT+ClS/UH,846,20,102
Latias DB+MsB/AuS,375,28,0
Miltank RO+BS/IB,471,36,0
Golisopod FC+XS/AJ,520,9,6
Melmetal TS+DbI/DyP,690,8,56
Milotic (Shadow) W+AT/Wr,485,0,0
Ninetales E+WBF/EB,481,3,0
Samurott FC+HC/Mh,434,20,0
Toucannon (Shadow) Pk+BBl/DrlP,317,19,0
Articuno PS+IW/Hu,670,0,50
Feraligatr SC+HC/IB,389,11,0
Raikou TS+WC/AuS,585,17,25
Tentacruel (Shadow) Ac+Sc/Pbk,357,29,0
Toucannon Pk+BBl/DrlP,440,17,0
Aurorus (Shadow) PS+WBI/MeB,235,28,0
Cradily (Shadow) Ac+RT/GK,497,18,0
Kyurem DB+G/DC,494,35,0
Primarina W+DV/HC,472,9,0
Swampert MS+HC/Eq,234,28,0
Altaria (Mega) DB+SA/M,670,0,50
Gyarados DB+AT/Tw,574,3,22
Hippowdon SdA+WBR/EP,187,19,0
Raikou (Shadow) TS+WC/AuS,880,8,112
Steelix TF+PsF/Eq,472,0,0
Ninetales (Shadow) E+WBF/EB,371,2,0
Samurott (Shadow) FC+HC/Mh,581,11,24
Stunfisk TS+MB/D,429,0,0
Crustle (Shadow) FC+XS/RW,506,26,2
Poliwrath MS+IW/DyP,451,1,0
Abomasnow (Shadow) PS+WBI/EB,676,8,52
Hippowdon (Shadow) SdA+WBR/EP,228,19,0
Drapion (Shadow) PSt+AT/Cr,571,0,21
Orthworm MSl+RT/Eq,551,0,15
Runerigus SC+RT/SB,513,38,4
Seismitoad MS+EP/IW,229,37,0
Steelix (Shadow) TF+PsF/Cr,632,0,39
Blastoise (Shadow) RO+HC/IB,454,0,0
Dudunsparce RO+BS/DR,343,11,0
Jirachi Cf+DD/AuS,253,10,0
Primeape KC+RF/CC,812,8,92
Regirock LO+SE/FB,309,29,0
Forretress (Shadow) VS+RT/ST,717,8,64
Stunfisk (Galarian) MS+RS/Eq,427,8,0
Grimmsnarl SkP+FoP/PR,666,35,49
Latias (Shadow) DB+MsB/AuS,455,28,0
Lugia DT+A/Fl,510,3,3
Sandslash (Alolan) PS+IP/DR,642,8,42
Gyarados (Shadow) DB+AT/Tw,683,2,54
Mandibuzz Sn+FoP/SB,540,1,12
Tapu Fini WG+S/NM,297,56,0
