Pokemon,Battle Rating,Energy Remaining,HP Remaining
Lapras Psy+SpA/IB,530,4,9
Corviknight SdA+AC/Pbk,670,4,50
Registeel LO+FC/ZC,488,0,0
Florges FW+CW/DV,342,35,0
Grumpig Psy+DyP/SB,327,14,0
Giratina (Altered) DB+DC/SS,176,21,0
Dusknoir A+DyP/ShP,474,4,0
Corviknight (Shadow) SdA+AC/Pbk,653,14,45
Regidrago DB+DrE/VG,210,7,0
Dusknoir (Shadow) A+DyP/ShP,365,0,0
Moltres (Galarian) SkP+Fl/BrB,670,14,50
Clefable FW+MM/M,301,7,0
Walrein PS+ISp/Eq,561,4,18
Cresselia PC+GK/M,353,7,0
Lapras (Shadow) Psy+SpA/IB,476,7,0
Cradily Ac+RT/GK,188,28,0
Dondozo W+S/O,751,4,74
Kingdra DB+S/Sw,571,18,21
Walrein (Shadow) PS+ISp/Eq,758,0,76
Annihilape (Shadow) LK+RF/CC,196,35,0
Empoleon (Shadow) MSo+HC/DrlP,860,0,106
Malamar (Shadow) Psy+FoP/SP,358,0,0
Giratina (Altered) (Shadow) DB+DC/SS,217,14,0
Grumpig (Shadow) Psy+DyP/SB,374,7,0
Lickilicky RO+BS/SB,433,0,0
Annihilape LK+RF/CC,168,35,0
Forretress VS+RT/ST,355,49,0
Empoleon MSo+HC/DrlP,595,0,28
Blastoise RO+HC/SkB,595,4,28
Doublade SC+SSw/GB,547,25,14
Kingdra (Shadow) DB+S/Sw,401,0,0
Malamar Psy+FoP/SP,341,21,0
Togekiss Pk+Psh/AuS,642,0,42
Aromatisse FW+Psh/M,328,7,0
Oranguru Cf+BrS/TBl,195,63,0
Ninetales (Alolan) PS+WBI/CW,523,25,7
Feraligatr (Shadow) SC+HC/IB,792,0,86
Weezing (Galarian) (Shadow) FW+BrS/Sl,632,4,39
Weezing (Galarian) FW+BrS/Sl,687,11,55
Milotic W+AT/Wr,704,4,60
Registeel (Shadow) LO+FC/ZC,666,4,49
Crustle FC+XS/RW,350,7,0
Guzzlord DT+BrS/DC,214,28,0
Turtonator I+BrS/DC,292,4,0
Drapion PSt+Cr/AT,330,21,0
Hydreigon (Shadow) DB+BrS/Fl,136,35,0
Sylveon FW+M/SB,340,14,0
Dragalge DT+AT/O,224,14,0
Tentacruel Ac+Sc/Pbk,751,4,74
Aurorus PS+WBI/MeB,301,7,0
Ninetales (Alolan) (Shadow) PS+WBI/CW,510,4,3
Cresselia (Shadow) PC+GK/M,442,7,0
Goodra DB+AT/PW,235,21,0
Malamar (Mega) Psy+FoP/SP,503,18,1
Seaking Pk+DR/IW,557,0,17
Cobalion DK+SSw/SE,324,28,0
Kommo-o DT+ClS/UH,244,4,0
Latias DB+MsB/AuS,246,14,0
Miltank RO+BS/IB,448,0,0
Golisopod FC+XS/AJ,564,0,19
Melmetal TS+DbI/DyP,666,18,49
Milotic (Shadow) W+AT/Wr,700,0,59
Ninetales E+WBF/EB,207,56,0
Samurott FC+HC/Mh,792,0,86
Toucannon (Shadow) Pk+BBl/DrlP,826,0,96
Articuno PS+IW/Hu,574,4,22
Feraligatr SC+HC/IB,568,0,20
Raikou TS+WC/AuS,311,28,0
Tentacruel (Shadow) Ac+Sc/Pbk,758,0,76
Toucannon Pk+BBl/DrlP,670,0,50
Aurorus (Shadow) PS+WBI/MeB,198,49,0
Cradily (Shadow) Ac+RT/GK,200,14,0
Kyurem DB+G/DC,204,0,0
Primarina W+DV/HC,710,0,62
Swampert MS+HC/Eq,234,7,0
Altaria (Mega) DB+SA/M,265,28,0
Gyarados DB+AT/Tw,612,0,33
Hippowdon SdA+WBR/EP,122,7,0
Raikou (Shadow) TS+WC/AuS,341,28,0
Steelix TF+PsF/Eq,180,0,0
Ninetales (Shadow) E+WBF/EB,585,4,25
Samurott (Shadow) FC+HC/Mh,792,0,86
Stunfisk TS+MB/D,137,0,0
Crustle (Shadow) FC+XS/RW,366,0,0
Poliwrath MS+IW/DyP,571,4,21
Abomasnow (Shadow) PS+WBI/EB,232,0,0
Hippowdon (Shadow) SdA+WBR/EP,165,7,0
Drapion (Shadow) PSt+AT/Cr,636,4,40
Orthworm MSl+RT/Eq,301,35,0
Runerigus SC+RT/SB,136,14,0
Seismitoad MS+EP/IW,171,0,0
Steelix (Shadow) TF+PsF/Cr,211,14,0
Blastoise (Shadow) RO+HC/IB,829,0,97
Dudunsparce RO+BS/DR,347,28,0
Jirachi Cf+DD/AuS,460,4,0
Primeape KC+RF/CC,187,28,0
Regirock LO+SE/FB,472,7,0
Forretress (Shadow) VS+RT/ST,615,18,34
Stunfisk (Galarian) MS+RS/Eq,109,14,0
Grimmsnarl SkP+FoP/PR,629,4,38
Latias (Shadow) DB+MsB/AuS,286,0,0
Lugia DT+A/Fl,833,4,98
Sandslash (Alolan) PS+IP/DR,327,7,0
Gyarados (Shadow) DB+AT/Tw,751,70,74
Mandibuzz Sn+FoP/SB,680,11,53
Tapu Fini WG+S/NM,741,14,71
Articuno (Shadow) PS+IW/Hu,710,14,62
Cofagrigus SC+SB/DP,323,14,0
Sandslash (Alolan) (Shadow) PS+IP/DR,157,35,0
Gastrodon MSl+BS/EP,193,0,0
Skeledirge I+TSo/SB,447,4,0
Mantine WA+Tw/WP,731,0,68
Nidoqueen MSl+PF/EP,129,14,0
Bronzong Cf+WBW/Pbk,322,21,0
Greedent MS+BS/TBl,273,21,0
Oinkologne (Female) MSl+BS/TBl,279,14,0
Abomasnow PS+WBI/EB,234,14,0
Primeape (Shadow) KC+RF/IP,554,0,16
Zapdos TS+DrlP/Tb,724,4,66
Coalossal FS+RS/FmC,253,35,0
Machamp (Shadow) KC+CrC/RS,468,0,0
Spiritomb SkP+SB/RT,374,28,0
Ampharos VS+BrS/TBl,284,28,0
Bombirdier SkP+Fl/RT,670,7,50
