Pokemon,Battle Rating,Energy Remaining,HP Remaining
Tinkaton FW+GH/Bd,705,9,67
Corviknight SdA+AC/IH,634,4,44
Corviknight (Shadow) SdA+AC/Pbk,705,1,67
Florges FW+CW/DV,647,4,48
Empoleon MSo+HC/DrlP,690,6,62
Melmetal TS+DbI/DyP,459,22,0
Mimikyu SC+SS/PR,585,4,28
Snorlax (Shadow) Psy+BS/Eq,570,4,23
Empoleon (Shadow) MSo+HC/DrlP,616,1,38
Moltres (Galarian) SkP+Fl/BrB,739,1,78
Virizion DK+LB/SSw,225,33,0
Zygarde (Complete Forme) DT+Cr/Bd,214,15,0
Feraligatr SC+HC/IB,625,6,41
Feraligatr (Shadow) SC+HC/IB,647,1,48
Snorlax Psy+BS/Eq,561,9,20
Jellicent H+S/SB,479,17,0
Giratina (Altered) DB+AP/ShF,377,4,0
Guzzlord DT+BrS/SlB,465,10,0
Skeledirge I+TSo/SB,136,14,0
Cramorant Pk+Dve/Fl,717,96,71
Ninetales (Alolan) PS+WBI/CW,662,10,53
Rillaboom Scr+DrB/EP,416,44,0
Lapras Psy+SpA/IB,595,44,31
Registeel LO+FC/FB,644,9,47
Dusknoir A+DyP/ShP,365,17,0
Lapras (Shadow) Psy+SpA/IB,650,1,49
Ninetales (Alolan) (Shadow) PS+WBI/CW,687,17,61
Dusknoir (Shadow) A+DyP/ShP,193,35,0
Muk (Alolan) PJ+BrS/IP,576,54,25
Clefable FW+MM/DK,641,4,46
Dondozo W+S/O,542,54,14
Forretress VS+RT/ST,500,15,0
Giratina (Altered) (Shadow) DB+AP/SS,304,38,0
Regidrago DB+DrE/VG,592,10,30
Blastoise Bi+HC/SkB,460,22,0
Cresselia PC+GK/M,604,7,34
Talonflame I+Fl/BrB,217,14,0
Runerigus SC+RT/SB,176,44,0
Walrein (Shadow) PS+ISp/Eq,726,6,74
Deoxys (Defense) LK+PB/Tb,619,4,39
Steelix TF+PsF/Eq,380,38,0
Cresselia (Shadow) PC+GK/M,671,4,56
Forretress (Shadow) VS+RT/ST,500,54,0
Muk (Alolan) (Shadow) PJ+BrS/IP,739,6,78
Walrein PS+ISp/Eq,785,1,93
Malamar (Mega) Psy+FoP/SP/Psb+,418,33,0
Ninetales E+WBF/EB,135,19,0
Steelix (Shadow) TF+PsF/Cr,472,9,0
Seaking Pk+DR/IW,680,6,59
Ampharos VS+BrS/TBl,402,22,0
Cradily (Shadow) Ac+RT/GK,491,36,0
Primarina W+HC/M,536,6,12
Toucannon Pk+BBl/DrlP,430,51,0
Ampharos (Shadow) VS+BrS/TBl,476,22,0
Bellibolt SkP+PbC/ZC,342,54,0
Talonflame (Shadow) I+Fl/BrB,264,14,0
Malamar (Shadow) Psy+FoP/SP,595,38,31
Togekiss Pk+Psh/AuS,656,1,51
Seismitoad MS+EP/IW,492,20,0
Aromatisse FW+M/Psh,671,4,56
Kingdra DB+S/Sw,421,33,0
Ninetales (Shadow) E+WBF/EB,154,14,0
Samurott FC+HC/Mh,647,6,48
Swampert MS+HC/Eq,290,33,0
Milotic (Shadow) W+AT/Wr,598,1,32
Toucannon (Shadow) Pk+BBl/DrlP,524,51,8
Bombirdier SkP+Fl/DR,739,1,78
Golisopod FC+XS/AJ,677,1,58
Kingdra (Shadow) DB+S/Sw,631,1,43
Malamar Psy+SP/FoP,444,49,0
Oinkologne (Female) TD+BS/TBl,647,9,48
Articuno PS+IW/Hu,886,1,126
Miltank RO+BS/HH,322,38,0
Turtonator I+BrS/DC,292,35,0
Annihilape LK+RF/IP,403,22,0
Gyarados (Shadow) DB+AT/Tw,711,35,69
Genesect (Shock) FC+MgB/TBS,561,6,20
Sylveon FW+DK/SB,604,4,34
Cradily Ac+RT/GK,546,2,15
Gyarados DB+AT/Tw,708,51,68
Annihilape (Shadow) LK+RF/IP,477,22,0
Orthworm MSl+IH/RT,595,9,31
Piloswine PS+ISp/HH,524,4,8
Drapion PSt+Cr/AT,613,54,37
Doublade SC+SSw/IH,530,38,10
Piloswine (Shadow) PS+ISp/HH,303,33,0
Cofagrigus SC+SB/EB,570,4,23
Crustle FC+XS/RW,849,1,114
Raichu (Mega X) VS+BkB/TBl/VT+,173,35,0
Hippowdon SdA+WBR/EP,209,28,0
Milotic W+AT/Wr,622,17,40
Blastoise (Shadow) Bi+HC/SkB,644,6,47
Cobalion DK+SSw/SE,382,22,0
Kyurem DB+G/DC,582,10,27
Slurpuff FW+DK/EB,684,15,60
Articuno (Shadow) PS+IW/Hu,745,1,80
Oranguru Cf+BrS/TBl,631,4,43
Hippowdon (Shadow) SdA+WBR/EP,233,17,0
Altaria (Mega) DB+M/Ft,287,1,0
Charizard DB+BB/AC,331,35,0
Samurott (Shadow) FC+HC/Mh,628,12,42
Swampert (Shadow) MS+HC/Eq,358,22,0
Tentacruel Ac+Sc/Pbk,763,17,86
Weezing (Galarian) (Shadow) FW+BrS/Sl,760,1,85
Politoed (Shadow) MS+WBW/Eq,726,6,74
Tentacruel (Shadow) Ac+Sc/Pbk,886,1,126
Genesect (Chill) FC+MgB/TBC,668,6,55
Grumpig Psy+DyP/SB,374,33,0
Grumpig (Shadow) Psy+DyP/SB,470,38,0
Lickilicky RO+BS/SB,311,38,0
Zapdos TS+DrlP/Tb,665,1,54
Stunfisk (Galarian) MS+RS/Eq,443,9,0
Weezing (Galarian) FW+BrS/Sl,677,38,58
Latias DB+MsB/AuS,327,33,0
Mawile (Mega) FW+VG/IH,733,22,76
Umbreon Sn+DP/LR,391,9,0
Charizard (Shadow) DB+BB/AC,367,30,0
Cofagrigus (Shadow) SC+SB/EB,456,33,0
Raikou TS+WC/AuS,430,22,0
Gastrodon MSl+BS/EP,268,44,0
Abomasnow PS+WBI/EB,650,15,49
Greninja (Shadow) WSh+HC/BrS,483,46,0
Nidoqueen MSl+PF/EP,270,6,0
Raikou (Shadow) TS+WC/AuS,201,51,0
Rapidash I+WC/DR,168,14,0
Aurorus PS+WBI/MeB,530,60,10
Drapion (Shadow) PSt+AT/Cr,726,6,74
Rapidash (Shadow) I+WC/DR,148,3,0
Abomasnow (Shadow) PS+WBI/EB,751,1,82
Mandibuzz Sn+DP/SB,631,60,43
Mantine WA+Tw/WP,849,6,114
Sandslash (Alolan) PS+IP/DR,592,49,30
Crustle (Shadow) FC+XS/RW,530,1,10
Dragalge DT+AT/O,357,38,0
Dragonite (Mega) DB+SP/TP/O+,849,1,114
Hydreigon (Shadow) DB+BrS/Fl,390,1,0
Ludicolo A+WBW/EB,458,44,0
Stunfisk TS+MB/D,415,9,0
Audino (Mega) CB+DV/BS,555,12,18
Kommo-o DT+ClS/UH,530,20,10
Sandslash (Alolan) (Shadow) PS+IP/DR,696,6,64
Dodrio Pk+DrlP/BrB,464,51,0
Genesect (Douse) FC+MgB/TBD,561,6,20
Zapdos (Shadow) TS+DrlP/Tb,524,1,8
Grimmsnarl SkP+FoP/DK,521,1,7
Politoed MS+WBW/Eq,634,22,44
Flamigo Pk+UH/BrB,430,51,0
Drifblim H+IW/SB,631,1,43
Mewtwo (Armored) Cf+Pst/DyP,644,9,47
Scizor (Shadow) FC+NS/TBl,696,1,64
Centiskorch E+Lu/HW,169,35,0
Goodra DB+AT/PW,350,54,0
Trevenant (Shadow) SC+SB/SeB,413,12,0
Yveltal SkP+DP/ObW,739,1,78
Lugia DT+A/EP,766,44,87
Pelipper WA+WBW/Hu,690,51,62
Ursaluna Scr+TP/HH,219,28,0
Latias (Shadow) DB+MsB/AuS,375,17,0
Spiritomb SkP+SB/RT,389,17,0
Genesect FC+MgB/TBN,668,6,55
Nidoking PSt+Av/EP,368,38,0
Victreebel SkP+LB/SlB,564,4,21
Bronzong Cf+WBW/Bd,607,54,35
Overqwil PJ+AT/DP,671,1,56
Trevenant SC+SB/SeB,404,44,0
Greedent Bi+BS/TBl,604,9,34
Hawlucha LK+FlP/AA,558,1,19
Scizor FC+NS/TBl,739,1,78
Bellossom (Shadow) Ac+LB/DG,726,15,74
Coalossal FS+RS/FmC,337,1,0
Blaziken (Shadow) E+AuS/BB,224,19,0
Charizard (Mega X) DB+BB/AC,138,30,0
Genesect (Burn) FC+MgB/XS,730,6,75
Oinkologne TD+BS/TBl,671,4,56
Tapu Fini WG+S/NM,776,1,90
Aurorus (Shadow) PS+WBI/MeB,564,12,21
Bellossom Ac+LB/DG,751,10,82
Cetitan PS+ISp/SP,788,1,94
Dudunsparce A+DR/RS,375,33,0
Machamp (Shadow) KC+CrC/RS,613,6,37
Nidoqueen (Shadow) MSl+PF/EP,309,6,0
Thievul SkP+NS/IW,426,22,0
Greninja (Mega) WSh+HC/BrS/S+,487,46,0
Skuntank PJ+Cr/TBl,674,38,57
Galvantula VS+Lu/D,579,1,26
Jirachi Cf+DD/AuS,634,38,44
Toedscruel MSl+SeB/EP,218,38,0
Zeraora VS+PF/DyP,489,22,0
Electivire TS+WC/IP,558,6,19
Electrode (Hisuian) TS+WC/EB,302,33,0
