Pokemon,Battle Rating,Energy Remaining,HP Remaining
Tinkaton FW+GH/Bd,157,2,0
Corviknight SdA+AC/IH,354,44,0
Corviknight (Shadow) SdA+AC/Pbk,370,30,0
Florges FW+CW/DV,335,8,0
Empoleon MSo+HC/DrlP,439,30,0
Melmetal TS+DbI/DyP,344,16,0
Mimikyu SC+SS/PR,188,9,0
Snorlax (Shadow) Psy+BS/Eq,391,30,0
Empoleon (Shadow) MSo+HC/DrlP,424,9,0
Moltres (Galarian) SkP+Fl/BrB,571,29,25
Virizion DK+LB/SSw,425,15,0
Zygarde (Complete Forme) DT+Cr/Bd,637,3,48
Feraligatr SC+HC/IB,474,15,0
Feraligatr (Shadow) SC+HC/IB,580,8,28
Snorlax Psy+BS/Eq,577,11,27
Jellicent H+S/SB,721,23,77
Giratina (Altered) DB+AP/ShF,772,8,95
Guzzlord DT+BrS/SlB,643,1,50
Skeledirge I+TSo/SB,879,9,132
Cramorant Pk+Dve/Fl,490,15,0
Ninetales (Alolan) PS+WBI/CW,341,22,0
Rillaboom Scr+DrB/EP,377,23,0
Lapras Psy+SpA/IB,522,3,8
Registeel LO+FC/FB,394,4,0
Dusknoir A+DyP/ShP,804,9,106
Lapras (Shadow) Psy+SpA/IB,370,37,0
Ninetales (Alolan) (Shadow) PS+WBI/CW,386,8,0
Dusknoir (Shadow) A+DyP/ShP,885,2,134
Muk (Alolan) PJ+BrS/IP,342,22,0
Clefable FW+MM/DK,180,2,0
Dondozo W+S/O,372,36,0
Forretress VS+RT/ST,475,4,0
Giratina (Altered) (Shadow) DB+AP/SS,752,16,88
Regidrago DB+DrE/VG,738,1,83
Blastoise Bi+HC/SkB,358,30,0
Cresselia PC+GK/M,652,4,53
Talonflame I+Fl/BrB,354,9,0
Runerigus SC+RT/SB,718,23,76
Walrein (Shadow) PS+ISp/Eq,362,16,0
Deoxys (Defense) LK+PB/Tb,652,37,53
Steelix TF+PsF/Eq,300,44,0
Cresselia (Shadow) PC+GK/M,591,44,32
Forretress (Shadow) VS+RT/ST,548,4,17
Muk (Alolan) (Shadow) PJ+BrS/IP,379,8,0
Walrein PS+ISp/Eq,352,30,0
Malamar (Mega) Psy+FoP/SP/Psb+,701,1,70
Ninetales E+WBF/EB,361,23,0
Steelix (Shadow) TF+PsF/Cr,603,11,36
Seaking Pk+DR/IW,511,22,4
Ampharos VS+BrS/TBl,540,29,14
Cradily (Shadow) Ac+RT/GK,347,16,0
Primarina W+HC/M,250,9,0
Toucannon Pk+BBl/DrlP,396,2,0
Ampharos (Shadow) VS+BrS/TBl,629,1,45
Bellibolt SkP+PbC/ZC,377,37,0
Talonflame (Shadow) I+Fl/BrB,431,9,0
Malamar (Shadow) Psy+FoP/SP,663,1,57
Togekiss Pk+Psh/AuS,395,15,0
Seismitoad MS+EP/IW,421,37,0
Aromatisse FW+M/Psh,90,42,0
Kingdra DB+S/Sw,686,1,65
Ninetales (Shadow) E+WBF/EB,399,16,0
Samurott FC+HC/Mh,497,15,0
Swampert MS+HC/Eq,381,23,0
Milotic (Shadow) W+AT/Wr,459,15,0
Toucannon (Shadow) Pk+BBl/DrlP,477,2,0
Bombirdier SkP+Fl/DR,732,1,81
Golisopod FC+XS/AJ,475,15,0
Kingdra (Shadow) DB+S/Sw,640,1,49
Malamar Psy+SP/FoP,704,1,71
Oinkologne (Female) TD+BS/TBl,367,44,0
Articuno PS+IW/Hu,378,44,0
Miltank RO+BS/HH,484,4,0
Turtonator I+BrS/DC,666,4,58
Annihilape LK+RF/IP,704,1,71
Gyarados (Shadow) DB+AT/Tw,698,1,69
Genesect (Shock) FC+MgB/TBS,157,35,0
Sylveon FW+DK/SB,103,49,0
Cradily Ac+RT/GK,375,44,0
Gyarados DB+AT/Tw,583,15,29
Annihilape (Shadow) LK+RF/IP,655,1,54
Orthworm MSl+IH/RT,285,9,0
Piloswine PS+ISp/HH,454,15,0
Drapion PSt+Cr/AT,372,36,0
Doublade SC+SSw/IH,790,2,101
Piloswine (Shadow) PS+ISp/HH,196,49,0
Cofagrigus SC+SB/EB,718,16,76
Crustle FC+XS/RW,336,9,0
Raichu (Mega X) VS+BkB/TBl/VT+,522,9,8
Hippowdon SdA+WBR/EP,399,37,0
Milotic W+AT/Wr,356,30,0
Blastoise (Shadow) Bi+HC/SkB,460,15,0
Cobalion DK+SSw/SE,336,29,0
Kyurem DB+G/DC,715,1,75
Slurpuff FW+DK/EB,100,49,0
Articuno (Shadow) PS+IW/Hu,453,8,0
Oranguru Cf+BrS/TBl,781,23,98
Hippowdon (Shadow) SdA+WBR/EP,525,22,9
Altaria (Mega) DB+M/Ft,226,2,0
Charizard DB+BB/AC,476,30,0
Samurott (Shadow) FC+HC/Mh,454,9,0
Swampert (Shadow) MS+HC/Eq,545,8,16
Tentacruel Ac+Sc/Pbk,322,30,0
Weezing (Galarian) (Shadow) FW+BrS/Sl,85,35,0
Politoed (Shadow) MS+WBW/Eq,545,22,16
Tentacruel (Shadow) Ac+Sc/Pbk,313,2,0
Genesect (Chill) FC+MgB/TBC,157,35,0
Grumpig Psy+DyP/SB,695,16,68
Grumpig (Shadow) Psy+DyP/SB,931,2,150
Lickilicky RO+BS/SB,545,3,16
Zapdos TS+DrlP/Tb,660,1,56
Stunfisk (Galarian) MS+RS/Eq,462,4,0
Weezing (Galarian) FW+BrS/Sl,231,23,0
Latias DB+MsB/AuS,735,2,82
Mawile (Mega) FW+VG/IH,95,42,0
Umbreon Sn+DP/LR,632,2,46
Charizard (Shadow) DB+BB/AC,450,2,0
