Pokemon,Battle Rating,Energy Remaining,HP Remaining
Mimikyu SC+SS/PR,611,0,41
Lickilicky RO+BS/SB,570,21,26
Corviknight SdA+AC/Pbk,284,51,0
Tinkaton FW+GH/Bd,815,8,116
Corviknight (Shadow) SdA+AC/Pbk,391,27,0
Florges FW+CW/DV,318,35,0
Virizion DK+LB/SSw,203,12,0
Empoleon (Shadow) MSo+HC/DrlP,287,10,0
Empoleon MSo+HC/DrlP,554,3,20
Moltres (Galarian) SkP+Fl/BrB,436,11,0
Forretress VS+RT/ST,633,1,49
Jellicent H+S/SB,346,51,0
Zygarde (Complete Forme) DT+Cr/Eq,433,6,0
Ninetales (Alolan) PS+WBI/CW,348,38,0
Forretress (Shadow) VS+RT/ST,703,0,75
Ninetales (Alolan) (Shadow) PS+WBI/CW,338,10,0
Kingdra DB+S/Sw,401,31,0
Dusknoir A+DyP/ShP,605,0,39
Lapras Psy+SpA/IB,422,31,0
Registeel LO+FC/FB,673,2,64
Dusknoir (Shadow) A+DyP/ShP,508,3,3
Blastoise RO+HC/SkB,364,39,0
Cramorant Pk+Dve/Fl,496,11,0
Feraligatr (Shadow) SC+HC/IB,411,11,0
Lapras (Shadow) Psy+SpA/IB,272,30,0
Malamar (Shadow) Psy+FoP/SP,405,35,0
Regidrago DB+DrE/VG,349,35,0
Talonflame I+Fl/BrB,464,30,0
Dondozo W+S/O,265,8,0
Walrein PS+ISp/Eq,312,19,0
Walrein (Shadow) PS+ISp/Eq,295,10,0
Giratina (Altered) DB+DC/SS,497,17,0
Malamar Psy+FoP/SP,366,35,0
Malamar (Mega) Psy+FoP/SP/Psb+,401,35,0
Bellibolt SkP+PbC/ZC,769,23,99
Ninetales E+WBF/EB,649,3,55
Annihilape LK+RF/CC,378,31,0
Kingdra (Shadow) DB+S/Sw,287,18,0
Talonflame (Shadow) I+Fl/BrB,779,14,103
Annihilape (Shadow) LK+RF/CC,611,16,41
Steelix TF+PsF/Cr,635,2,50
Cresselia PC+GK/M,293,40,0
Giratina (Altered) (Shadow) DB+DC/SS,524,1,9
Cradily Ac+RT/GK,573,1,27
Runerigus SC+RT/SB,546,5,17
Milotic W+AT/Wr,342,23,0
Seaking Pk+DR/IW,465,16,0
Steelix (Shadow) TF+PsF/Cr,684,1,68
Feraligatr SC+HC/IB,408,35,0
Swampert MS+HC/Eq,378,16,0
