Pokemon,Battle Rating,Energy Remaining,HP Remaining
Mimikyu SC+SS/PR,362,20,0
Lickilicky RO+BS/SB,562,1,22
Corviknight SdA+AC/Pbk,393,40,0
Tinkaton FW+GH/Bd,410,32,0
Corviknight (Shadow) SdA+AC/Pbk,440,16,0
Florges FW+CW/DV,700,0,70
Virizion DK+LB/SSw,320,21,0
Empoleon (Shadow) MSo+HC/DrlP,319,29,0
Empoleon MSo+HC/DrlP,502,0,1
Moltres (Galarian) SkP+Fl/BrB,287,24,0
Forretress VS+RT/ST,438,16,0
Jellicent H+S/SB,346,1,0
Zygarde (Complete Forme) DT+Cr/Eq,446,40,0
Ninetales (Alolan) PS+WBI/CW,691,0,67
Forretress (Shadow) VS+RT/ST,585,0,30
Ninetales (Alolan) (Shadow) PS+WBI/CW,622,0,43
Kingdra DB+S/Sw,522,17,8
Dusknoir A+DyP/ShP,483,4,0
Lapras Psy+SpA/IB,611,2,39
Registeel LO+FC/FB,341,40,0
Dusknoir (Shadow) A+DyP/ShP,403,40,0
Blastoise RO+HC/SkB,367,57,0
Cramorant Pk+Dve/Fl,433,16,0
Feraligatr (Shadow) SC+HC/IB,665,0,58
Lapras (Shadow) Psy+SpA/IB,374,49,0
Malamar (Shadow) Psy+FoP/SP,620,16,42
Regidrago DB+DrE/VG,375,37,0
Talonflame I+Fl/BrB,505,0,2
Dondozo W+S/O,634,2,47
Walrein PS+ISp/Eq,602,9,36
Walrein (Shadow) PS+ISp/Eq,562,1,22
Giratina (Altered) DB+DC/SS,313,20,0
Malamar Psy+FoP/SP,694,1,68
Malamar (Mega) Psy+FoP/SP/Psb+,688,1,66
Bellibolt SkP+PbC/ZC,511,1,4
Ninetales E+WBF/EB,540,0,14
Annihilape LK+RF/CC,475,0,0
Kingdra (Shadow) DB+S/Sw,467,21,0
Talonflame (Shadow) I+Fl/BrB,871,20,130
Annihilape (Shadow) LK+RF/CC,359,36,0
Steelix TF+PsF/Cr,582,12,29
Cresselia PC+GK/M,648,1,52
Giratina (Altered) (Shadow) DB+DC/SS,361,20,0
Cradily Ac+RT/GK,494,0,0
Runerigus SC+RT/SB,577,0,27
Milotic W+AT/Wr,365,57,0
Seaking Pk+DR/IW,508,1,3
Steelix (Shadow) TF+PsF/Cr,591,0,32
Feraligatr SC+HC/IB,554,1,19
Swampert MS+HC/Eq,591,0,32
Clefable FW+MM/M,580,16,28
Cradily (Shadow) Ac+RT/GK,880,1,133
Cresselia (Shadow) PC+GK/M,574,4,26
Ninetales (Shadow) E+WBF/EB,484,36,0
Oranguru Cf+BrS/TBl,628,17,45
Ampharos (Shadow) VS+BrS/TBl,372,8,0
Aromatisse FW+Psh/M,585,8,30
Orthworm MSl+RT/Eq,457,40,0
Togekiss Pk+Psh/AuS,496,0,0
Turtonator I+BrS/DC,657,0,55
Ampharos VS+BrS/TBl,363,24,0
Gyarados DB+AT/Tw,271,40,0
Hydreigon (Shadow) DB+BrS/Fl,642,1,50
Melmetal TS+DbI/DyP,565,0,23
Hippowdon SdA+WBR/EP,648,0,52
Milotic (Shadow) W+AT/Wr,634,1,47
Raikou (Shadow) TS+WC/AuS,99,40,0
Toucannon (Shadow) Pk+BBl/DrlP,402,16,0
Cobalion DK+SSw/SE,432,16,0
Golisopod FC+XS/AJ,393,29,0
Hippowdon (Shadow) SdA+WBR/EP,568,32,24
Sylveon FW+M/SB,668,0,59
Toucannon Pk+BBl/DrlP,374,32,0
Guzzlord DT+BrS/DC,588,29,31
Seismitoad MS+EP/IW,677,0,62
Primarina W+DV/HC,617,9,41
Aurorus PS+WBI/MeB,580,0,28
Weezing (Galarian) FW+BrS/Sl,482,16,0
Dragalge DT+AT/O,401,16,0
Samurott FC+HC/Mh,500,1,0
Sandslash (Alolan) PS+IP/DR,734,0,82
Sandslash (Alolan) (Shadow) PS+IP/DR,677,0,62
Weezing (Galarian) (Shadow) FW+BrS/Sl,306,36,0
Drapion PSt+Cr/AT,628,0,45
Tentacruel Ac+Sc/Pbk,372,32,0
Dudunsparce RO+BS/DR,602,0,36
Goodra DB+AT/PW,370,33,0
Stunfisk TS+MB/D,380,36,0
Tentacruel (Shadow) Ac+Sc/Pbk,384,12,0
Blastoise (Shadow) RO+HC/IB,542,1,15
Gyarados (Shadow) DB+AT/Tw,328,25,0
Aurorus (Shadow) PS+WBI/MeB,520,0,7
Raichu (Mega X) VS+BkB/TBl/VT+,465,8,0
Crustle FC+XS/RW,654,0,54
Drapion (Shadow) PSt+AT/Cr,551,0,18
Oinkologne (Female) MSl+BS/TBl,588,1,31
Kommo-o DT+ClS/UH,310,56,0
Skeledirge I+TSo/SB,594,0,33
Swampert (Shadow) MS+HC/Eq,418,40,0
Cofagrigus SC+SB/DP,453,24,0
Gastrodon MSl+BS/EP,568,0,24
Ludicolo A+WBW/EB,785,1,100
Articuno PS+IW/Hu,591,16,32
Grimmsnarl SkP+FoP/PR,410,32,0
Grumpig Psy+DyP/SB,682,5,64
Samurott (Shadow) FC+HC/Mh,500,0,0
Miltank RO+BS/IB,453,32,0
Raikou TS+WC/AuS,350,4,0
Abomasnow (Shadow) PS+WBI/EB,325,12,0
Kyurem DB+G/DC,502,12,1
Stunfisk (Galarian) MS+RS/Eq,640,0,49
Latias DB+MsB/AuS,697,1,69
Mandibuzz Sn+FoP/SB,577,0,27
Politoed (Shadow) MS+WBW/Eq,594,1,33
Zapdos TS+DrlP/Tb,352,16,0
Dragonite (Mega) DB+SP/TP/O+,307,36,0
Drifblim H+IW/SB,477,16,0
Jirachi Cf+DD/AuS,608,0,38
Primeape KC+RF/CC,404,36,0
