Pokemon,Battle Rating,Energy Remaining,HP Remaining
Abomasnow PS+WBI/EB,150,22,0
Abomasnow (Shadow) PS+WBI/EB,174,22,0
Absol PC+BrS/Mh,179,30,0
Absol (Shadow) PC+BrS/Mh,214,30,0
Accelgor WSh+BBu/EB,565,4,19
Accelgor (Shadow) WSh+BBu/EB,218,46,0
Aegislash (Shield) PC+SB/FC,221,52,0
Aerodactyl DB+RS/EP,127,54,0
Aerodactyl (Shadow) DB+RS/EP,117,46,0
Aggron DT+RT/T,182,4,0
Aggron (Shadow) DT+RT/T,208,4,0
Alakazam PC+FiP/SB,175,30,0
Alakazam (Shadow) PC+FiP/SB,217,30,0
Alomomola W+HP/Bl,545,2,13
Altaria DB+SA/Ft,350,28,0
Altaria (Shadow) DB+SA/Ft,161,54,0
Ambipom A+AA/Re,378,4,0
Ambipom (Shadow) A+AA/LS,190,46,0
Amoonguss A+FoP/GK,269,20,0
Amoonguss (Shadow) A+FoP/GK,305,4,0
Ampharos VS+BrS/TBl,384,28,0
Ampharos (Shadow) VS+BrS/TBl,180,46,0
Annihilape LK+RF/CC,77,22,0
Annihilape (Shadow) LK+RF/CC,77,22,0
Appletun A+SeB/O,386,20,0
Araquanid BBi+WP/BBu,120,46,0
Arbok Ac+DP/SW,338,12,0
Arbok (Shadow) Ac+DP/SW,140,54,0
Arboliva ML+EP/TBl,430,4,0
Arcanine Sn+Cr/Ft,487,36,0
Arcanine (Hisuian) Sn+RS/Cr,438,36,0
Arcanine (Shadow) FF+WC/PsF,187,46,0
Archeops WA+AP/Cr,135,46,0
Archeops (Shadow) WA+AP/Cr,178,46,0
Arctibax DB+Av/DC,163,46,0
Armaldo FC+RB/Li,104,30,0
Armaldo (Shadow) FC+RB/Li,104,30,0
Armarouge I+Psh/FmC,135,30,0
Aromatisse Ch+Psh/M,396,20,0
Articuno PS+IW/Hu,115,46,0
Articuno (Galarian) PC+Fl/BrB,164,46,0
Articuno (Shadow) PS+IW/Hu,134,46,0
Audino ZH+BS/DV,666,18,48
Aurorus PS+WBI/MeB,65,22,0
Aurorus (Shadow) PS+WBI/MeB,65,22,0
Avalugg IF+IW/Cr,121,54,0
Avalugg (Hisuian) PS+RS/IW,79,46,0
Azelf Cf+Sw/FS,237,54,0
Azumarill B+PR/IB,480,20,0
Banette SC+SB/DG,135,54,0
Banette (Shadow) SC+SB/DG,181,54,0
Barbaracle FC+CrC/SE,63,22,0
Basculin WG+AT/AJ,210,54,0
Bastiodon SD+SE/Ft,327,10,0
Bastiodon (Shadow) SD+SE/Ft,376,10,0
Baxcalibur DB+Av/DC,149,46,0
Beartic PS+IP/Li,151,30,0
Beedrill PSt+DR/XS,463,4,0
Beedrill (Shadow) PSt+DR/XS,124,22,0
Beheeyem Cf+RS/DP,394,4,0
Bellibolt SkP+PbC/ZC,260,44,0
Bellossom Ac+LB/DG,355,12,0
Bellossom (Shadow) Ac+LB/DG,223,46,0
Bewear SC+SP/Pbk,326,30,0
Bibarel RO+S/HF,631,4,38
Bibarel (Shadow) RO+S/HF,562,4,18
Bisharp Sn+DP/IH,93,46,0
Blacephalon I+MdB/SB,142,30,0
Blastoise RO+HC/SkB,367,12,0
Blastoise (Shadow) RO+HC/IB,147,46,0
Blaziken E+AuS/BB,149,22,0
Blaziken (Shadow) E+AuS/BB,178,22,0
Blissey ZH+WC/DG,467,54,0
Boldore MSl+RS/Bd,468,4,0
Boldore (Shadow) MSl+RS/Bd,649,4,43
Boltund Sp+Cr/T,600,36,29
Bombirdier SkP+Fl/RT,174,54,0
Bouffalant MS+St/Mh,127,38,0
Braviary AS+Fl/CC,656,20,45
Braviary (Hisuian) AS+BrB/Fl,456,20,0
Breloom FPm+DyP/GK,212,14,0
Brionne WG+AJ/DV,663,4,47
Bronzong Cf+WBW/Pbk,187,4,0
Bruxish Cf+AT/PsF,174,54,0
Buzzwole C+SP/Lu,291,38,0
Cacturne SkP+DyP/TBl,343,54,0
Cacturne (Shadow) SkP+DyP/TBl,326,38,0
Camerupt I+ScS/RT,117,54,0
Camerupt (Shadow) I+RT/ScS,127,54,0
Carbink RTh+RS/M,503,2,1
Carnivine VW+PW/Cr,260,46,0
Carracosta WG+AP/BS,663,4,47
Carracosta (Shadow) WG+Li/AP,663,4,47
Celebi Cf+SeB/AuS,219,46,0
Celesteela AS+BS/Bd,252,44,0
Centiskorch E+HW/Lu,423,4,0
Ceruledge I+SB/FmC,141,54,0
Cetitan PS+ISp/SP,97,30,0
Chandelure FS+SB/FmC,538,4,11
Chandelure (Shadow) I+SB/FmC,154,46,0
Chansey ZH+DG/P,743,6,70
Charizard DB+BB/AC,149,38,0
Charizard (Shadow) DB+BB/AC,185,38,0
Cherrim (Overcast) BS+DG/SoB,496,36,0
Cherrim (Sunshine) BS+WBF/SoB,420,4,0
Chesnaught LK+FP/SP,260,38,0
Chesnaught (Shadow) LK+FP/SP,310,38,0
Chimecho A+Psh/SB,338,4,0
Cinccino Ch+AT/Tb,423,4,0
Cinderace FS+Ft/FmC,531,20,9
Clawitzer WG+Crbh/DP,663,4,47
Claydol MSl+IB/RT,306,20,0
Claydol (Shadow) MSl+RT/IB,345,20,0
Clefable FW+MM/M,159,30,0
Clodsire PSt+SE/Eq,185,4,0
Cloyster IS+IW/HP,364,4,0
Cloyster (Shadow) IS+IW/HP,163,54,0
Coalossal FS+RS/FmC,227,20,0
Cobalion DK+SSw/SE,52,14,0
Cofagrigus SC+SB/DP,97,54,0
Cofagrigus (Shadow) SC+SB/DP,97,54,0
Comfey VW+GK/DK,524,36,7
Conkeldurr C+DyP/BrS,133,22,0
Conkeldurr (Shadow) C+DyP/BrS,104,6,0
Corviknight SdA+AC/Pbk,204,36,0
Crabominable B+IP/BkB,176,46,0
Cradily Ac+RT/GK,238,36,0
Cradily (Shadow) Ac+RT/GK,130,54,0
Crawdaunt W+NS/Crbh,173,46,0
Crawdaunt (Shadow) W+NS/Sc,198,38,0
Cresselia PC+GK/M,211,36,0
Cresselia (Shadow) PC+GK/M,231,36,0
Crobat AS+PF/SB,372,20,0
Crobat (Shadow) AS+PF/SB,401,4,0
Crocalor I+Cr/Ft,153,54,0
Crustle FC+XS/RW,70,30,0
Crustle (Shadow) FC+XS/RW,103,30,0
Cryogonal IS+NS/TAx,117,46,0
Cursola A+NSh/PG,418,4,0
Dachsbun Ch+PsF/BS,412,4,0
Darkrai Sn+SB/DP,487,4,0
Darkrai (Shadow) Sn+SB/DP,252,46,0
Darmanitan (Galarian) IF+Av/IP,138,14,0
Darmanitan (Standard) I+RS/Ov,223,54,0
Darmanitan (Standard) (Shadow) I+RS/Ov,240,46,0
Dartrix Pk+BrB/SeB,252,46,0
Decidueye A+FP/SSh,160,46,0
Decidueye (Hisuian) PC+AuS/TBl,167,22,0
Dedenne TS+D/PbC,607,36,31
Delphox FS+Psh/BB,173,46,0
Delphox (Shadow) FS+Psh/BB,173,46,0
Deoxys (Defense) C+PB/RS,230,4,0
Deoxys (Speed) CB+PB/Sw,438,20,0
Dewgong IS+IW/DR,322,4,0
Dhelmise SC+SB/BrS,163,38,0
Dialga DB+IH/T,98,54,0
Dialga (Origin) DB+ROT/IH,98,54,0
Dialga (Shadow) DB+IH/T,99,54,0
Diancie RTh+RS/M,464,12,0
Dipplin DT+SeB/O,324,4,0
Dodrio Pk+DrlP/BrB,145,30,0
Dondozo W+S/O,314,4,0
Donphan MSl+BS/TBl,113,46,0
Donphan (Shadow) MSl+BS/TBl,113,46,0
Doublade SC+SSw/GB,43,38,0
Dragalge DT+AT/O,85,46,0
Dragapult DT+SB/O,339,4,0
Dragonite DB+TP/SP,141,30,0
Dragonite (Shadow) DB+TP/SP,175,30,0
Drampa DB+Sw/DgP,164,46,0
Drapion PSt+Cr/AT,225,4,0
Drapion (Shadow) PSt+AT/Cr,130,54,0
Drifblim H+IW/SB,286,28,0
